"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","back","targ","trial_type","trial_index","time_elapsed","internal_node_id","resp","pid","sid"
"12397","key"," "," ","16.666790322580642","500","250","0","0.32","psychophysics","0","12430","0.0-0.0","0.43999999999999995","jaimie","null"
"5489","key"," "," ","16.666806060606056","500","250","1","0.62","psychophysics","1","17928","0.0-1.0","0.31999999999999984","jaimie","null"
"3641","key"," "," ","16.666838709677428","500","250","0","0.32","psychophysics","2","21577","0.0-2.0","0.34999999999999987","jaimie","null"
"2728","key"," "," ","16.66680487804878","500","250","0","0.54","psychophysics","3","24313","0.0-3.0","0.5","jaimie","null"
"5065","key"," "," ","16.66682838283828","500","250","0","0.2","psychophysics","4","29385","0.0-4.0","0.2599999999999998","jaimie","null"
"4922","key"," "," ","16.666800000000006","500","250","1","0.74","psychophysics","5","34313","0.0-5.0","0.7100000000000002","jaimie","null"
"4761","key"," "," ","16.666771929824556","500","250","0","0.8","psychophysics","6","39081","0.0-6.0","0.8000000000000003","jaimie","null"
"3738","key"," "," ","16.666843049327348","500","250","0","0.74","psychophysics","7","42825","0.0-7.0","0.7700000000000002","jaimie","null"
"3208","key"," "," ","16.666770833333356","500","250","0","0.5","psychophysics","8","46041","0.0-8.0","0.43999999999999995","jaimie","null"
"5350","key"," "," ","16.66680685358257","500","250","1","0.38","psychophysics","9","51400","0.0-9.0","0.2299999999999998","jaimie","null"
"3646","key"," "," ","16.666811926605494","500","250","0","0.38","psychophysics","10","55049","0.0-10.0","0.3799999999999999","jaimie","null"
"3513","key"," "," ","16.66682857142857","500","250","0","0.38","psychophysics","11","58569","0.0-11.0","0.34999999999999987","jaimie","null"
"6955","key"," "," ","16.66680815347722","500","250","1","0.2","psychophysics","12","65529","0.0-12.0","0.06","jaimie","null"
"4441","key"," "," ","16.66682264150943","500","250","1","0.28","psychophysics","13","69977","0.0-13.0","0.1399999999999998","jaimie","null"
"5080","key"," "," ","16.66682622950824","500","250","0","0.36","psychophysics","14","75065","0.0-14.0","0.2899999999999998","jaimie","null"
"2682","key"," "," ","16.66680000000006","500","250","1","0.56","psychophysics","15","77753","0.0-15.0","0.5","jaimie","null"
"3962","key"," "," ","16.666793248945144","500","250","1","0.76","psychophysics","16","81721","0.0-16.0","0.7400000000000002","jaimie","null"
"3802","key"," "," ","16.666736842105276","500","250","1","0.38","psychophysics","17","85530","0.0-17.0","0.31999999999999984","jaimie","null"
"3785","key"," "," ","16.666796460176975","500","250","0","0.2","psychophysics","18","89322","0.0-18.0","0.2599999999999998","jaimie","null"
"4806","key"," "," ","16.666833333333315","500","250","0","0.56","psychophysics","19","94137","0.0-19.0","0.6500000000000001","jaimie","null"
"2570","key"," "," ","16.66670779220776","500","250","0","0.36","psychophysics","20","96713","0.0-20.0","0.47","jaimie","null"
"3737","key"," "," ","16.666856502242165","500","250","1","0.8","psychophysics","21","100457","0.0-21.0","0.8000000000000003","jaimie","null"
"4089","key"," "," ","16.666812244897983","500","250","0","0.64","psychophysics","22","104553","0.0-22.0","0.6800000000000002","jaimie","null"
"4253","key"," "," ","16.66681889763775","500","250","0","0.34","psychophysics","23","108809","0.0-23.0","0.34999999999999987","jaimie","null"
"3775","key"," "," ","16.666815789473684","500","250","1","0.36","psychophysics","24","112618","0.0-24.0","0.2299999999999998","jaimie","null"
"3592","key"," "," ","16.666753488372088","500","250","1","0.76","psychophysics","25","116217","0.0-25.0","0.7700000000000002","jaimie","null"
"3672","key"," "," ","16.666790909090857","500","250","0","0.34","psychophysics","26","119897","0.0-26.0","0.31999999999999984","jaimie","null"
"3145","key"," "," ","16.66681382978718","500","250","1","0.5","psychophysics","27","123049","0.0-27.0","0.53","jaimie","null"
"4234","key"," "," ","16.666830039525685","500","250","1","0.22","psychophysics","28","127290","0.0-28.0","0.1399999999999998","jaimie","null"
"3833","key"," "," ","16.6667913043478","500","250","1","0.44","psychophysics","29","131130","0.0-29.0","0.2899999999999998","jaimie","null"
