"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","start","jitterX","jitterY","parA"
"true","fullscreen","0","2538","0.0-0.0","null","null","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2732","0.0-1.0","null","null","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","html-button-response","2","25470","0.0-2.0","null","null","","","","","22737","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","",""
"","psychophysics","3","30244","0.0-3.0","null","null","","","","","4769",""," ","key"," ","16.67361754385966","960","250","","","","","","",""
"","psychophysics","4","32798","0.0-4.0","null","null","","","","","2550",""," ","key"," ","16.666000000000025","500","250","inst","","","","","",""
"","psychophysics","5","38514","0.0-5.0","null","null","","","","","5714",""," ","key"," ","16.679409356725145","500","250","sample0","","","","","",""
"","psychophysics","6","40809","0.0-6.0","null","null","","","","","2293",""," ","key"," ","16.66600000000004","500","250","sample1","","","","","",""
"","psychophysics","7","50033","0.0-7.0","null","null","","","","","9219",""," ","key"," ","16.67111050724638","500","250","sample2","100","","","","",""
"","psychophysics","8","56465","0.0-8.0","null","null","","","","","6428",""," ","key"," ","16.666000000000007","500","250","sample3","102","","","","",""
"","psychophysics","9","65031","0.0-9.0","null","null","","","","","8564",""," ","key"," ","16.66998245614034","500","250","sample4","100","","","","",""
"","psychophysics","10","67819","0.0-10.0","null","null","","","","","2786",""," ","key"," ","16.68777108433734","500","250","sample5","","","","","",""
"","psychophysics","11","76460","0.0-11.0","null","null","","","","","8638",""," ","key"," ","16.666","500","250","sample6","502","","","","",""
"","psychophysics","12","82340","0.0-12.0","null","null","","","","","5876",""," ","key"," ","16.671789772727276","500","250","inst","","","","","",""
"","psychophysics","13","85625","0.0-13.0","null","null","","","","","3283",""," ","key"," ","16.666000000000036","500","250","inst","","","","","",""
"","psychophysics","14","88506","0.0-14.0","null","null","","","","","2878",""," ","key"," ","16.68150581395347","500","250","inst","","","","","",""
"","psychophysics","15","89540","0.0-15.0","null","null","","","","","1032",""," ","key"," ","16.666000000000064","500","250","inst","","","","","",""
"","psychophysics","16","90441","0.0-16.0","null","null","","","","","899",""," ","key"," ","16.66599999999991","500","250","inst","","","","","",""
"","psychophysics","17","96787","0.0-17.0","null","null","","","","","6343",""," ","key"," ","16.665999999999965","500","250","instPog0","160","1","190","0","0","160"
"","psychophysics","18","104902","0.0-18.0","null","null","","","","","8111",""," ","key"," ","16.67443711340206","500","250","instPog1","162","1","190","0","0","160"
"","psychophysics","19","112718","0.0-19.0","null","null","","","","","7810",""," ","key"," ","16.66908760683761","500","250","instPog2","176","1","160","0","0","160"
"","psychophysics","20","124148","0.0-20.0","null","null","","","","","11426",""," ","key"," ","16.69263742690058","500","250","inst","","","","","",""
"","psychophysics","21","132152","0.0-21.0","null","null","","","","","null","","null","key","null","16.672048016701446","500","250","pog","171","1","113","0","0","161"
"","psychophysics","22","136265","0.0-22.0","null","null","","","","","4110",""," ","key"," ","16.665999999999922","500","250","pog","172","1","162","0","0","156"
"","psychophysics","23","142552","0.0-23.0","null","null","","","","","6284",""," ","key"," ","16.676821808510677","500","250","pog","164","1","118","0","0","149"
"","psychophysics","24","147951","0.0-24.0","null","null","","","","","5396",""," ","key"," ","16.66599999999996","500","250","pog","136","1","142","0","0","128"
"","psychophysics","25","155954","0.0-25.0","null","null","","","","","null","","null","key","null","16.67249060542802","500","250","pog","169","1","109","0","0","154"
"","psychophysics","26","162305","0.0-26.0","null","null","","","","","6347",""," ","key"," ","16.71821372031657","500","250","pog","173","1","137","0","0","164"
"","psychophysics","27","169552","0.0-27.0","null","null","","","","","7244",""," ","key"," ","16.67450115473436","500","250","pog","149","1","115","0","0","143"
"","psychophysics","28","175300","0.0-28.0","null","null","","","","","5744",""," ","key"," ","16.66600000000006","500","250","pog","184","1","216","0","0","165"
"","psychophysics","29","181478","0.0-29.0","null","null","","","","","6175",""," ","key"," ","16.719037940379355","500","250","pog","177","1","151","0","0","155"
"","psychophysics","30","188767","0.0-30.0","null","null","","","","","7285",""," ","key"," ","16.673098623853257","500","250","pog","195","1","165","0","0","190"
"","psychophysics","31","194529","0.0-31.0","null","null","","","","","5758",""," ","key"," ","16.66599999999997","500","250","pog","189","1","197","0","0","179"
"","psychophysics","32","200872","0.0-32.0","null","null","","","","","6340",""," ","key"," ","16.671163588390538","500","250","pog","129","1","185","0","0","120"
"","psychophysics","33","206051","0.0-33.0","null","null","","","","","5176",""," ","key"," ","16.71993527508088","500","250","pog","145","1","149","0","0","134"
"","psychophysics","34","211918","0.0-34.0","null","null","","","","","5859",""," ","key"," ","16.67393447293449","500","250","pog","189","1","195","0","0","176"
"","psychophysics","35","218170","0.0-35.0","null","null","","","","","6249",""," ","key"," ","16.666000000000007","500","250","pog","166","1","118","0","0","157"
"","psychophysics","36","219787","0.0-36.0","null","null","","","","","1612",""," ","key"," ","16.695437499999873","500","250","inst","","","","","",""
"","psychophysics","37","221303","0.0-37.0","null","null","","","","","1515",""," ","key"," ","16.665999999999702","500","250","instPzPre","50","0","50","","","50"
"","psychophysics","38","223958","0.0-38.0","null","null","","","","","2652",""," ","key"," ","16.665999999999833","500","250","instPz0","50","2","50","","","50"
"","psychophysics","39","235927","0.0-39.0","null","null","","","","","11956",""," ","key"," ","16.669767085076707","500","250","instPz1","50","2","25","","","50"
"","psychophysics","40","242231","0.0-40.0","null","null","","","","","6300",""," ","key"," ","16.677140583554316","500","250","instPz2","34","2","20","","","35"
"","psychophysics","41","247225","0.0-41.0","null","null","","","","","4990",""," ","key"," ","16.66599999999997","500","250","instPz3","30","2","30","","","100"
"","psychophysics","42","260109","0.0-42.0","null","null","","","","","12881",""," ","key"," ","16.67335278858625","500","250","instPz4","57","2","30","","","100"
"","psychophysics","43","261100","0.0-43.0","null","null","","","","","981",""," ","key"," ","16.665999999999904","500","250","inst","","","","","",""
"","psychophysics","44","265000","0.0-44.0","null","null","","","","","3895",""," ","key"," ","16.665999999999936","500","250","pz","32","2","26","","","59"
"","psychophysics","45","272380","0.0-45.0","null","null","","","","","7379",""," ","key"," ","16.670809523809503","500","250","pz","19","2","37","","","28"
"","psychophysics","46","280385","0.0-46.0","null","null","","","","","null","","null","key","null","16.672743749999913","500","250","pz","39","2","28","","","46"
"","psychophysics","47","280477","0.0-47.0","null","null","","","","","89",""," ","key"," ","16.66599999999744","500","250","pz","23","2","23","","","38"
"","psychophysics","48","285022","0.0-48.0","null","null","","","","","4543",""," ","key"," ","16.666000000000007","500","250","pz","36","2","22","","","45"
"","psychophysics","49","290424","0.0-49.0","null","null","","","","","5399",""," ","key"," ","16.676773993808045","500","250","pz","39","2","57","","","40"
"","psychophysics","50","295958","0.0-50.0","null","null","","","","","5529",""," ","key"," ","16.66599999999999","500","250","pz","17","2","51","","","20"
