"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","jitterX","jitterY","start","parA"
"true","fullscreen","0","3549","0.0-0.0","614eb489b0a5f38772bab599","64cab28611180e0471e3202d","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3665","0.0-1.0","614eb489b0a5f38772bab599","64cab28611180e0471e3202d","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","html-button-response","2","5880","0.0-2.0","614eb489b0a5f38772bab599","64cab28611180e0471e3202d","","","","","2214","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","",""
"","psychophysics","3","10057","0.0-3.0","614eb489b0a5f38772bab599","64cab28611180e0471e3202d","","","","","4169",""," ","key"," ","16.660605577689246","640","250","","","","","","",""
"","psychophysics","4","17464","0.0-4.0","614eb489b0a5f38772bab599","64cab28611180e0471e3202d","","","","","7405",""," ","key"," ","16.736879818594105","500","250","inst","","","","","",""
"","psychophysics","5","22364","0.0-5.0","614eb489b0a5f38772bab599","64cab28611180e0471e3202d","","","","","4892",""," ","key"," ","16.663333333333334","500","250","sample0","","","","","",""
"","psychophysics","6","24466","0.0-6.0","614eb489b0a5f38772bab599","64cab28611180e0471e3202d","","","","","2100",""," ","key"," ","16.659831999999994","500","250","sample1","","","","","",""
"","psychophysics","7","39093","0.0-7.0","614eb489b0a5f38772bab599","64cab28611180e0471e3202d","","","","","14625",""," ","key"," ","16.66178791334093","500","250","sample2","102","","","","",""
"","psychophysics","8","46500","0.0-8.0","614eb489b0a5f38772bab599","64cab28611180e0471e3202d","","","","","7405",""," ","key"," ","16.6615598194131","500","250","sample3","106","","","","",""
"","psychophysics","9","58336","0.0-9.0","614eb489b0a5f38772bab599","64cab28611180e0471e3202d","","","","","11832",""," ","key"," ","16.662038081805363","500","250","sample4","102","","","","",""
"","psychophysics","10","65782","0.0-10.0","614eb489b0a5f38772bab599","64cab28611180e0471e3202d","","","","","7440",""," ","key"," ","16.661486547085204","500","250","sample5","","","","","",""
