"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","version","parA"
"","psychophysics","27","163429","0.0-27.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2555",""," ","key"," ","16.640522875816995","500","250","zol","0.9499999999999998","18","28","-0.25","1",""
"","psychophysics","28","166150","0.0-28.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2714",""," ","key"," ","16.666666666666668","500","250","zol","1.3800000000000003","-29","18","-0.68","1",""
"","psychophysics","29","170344","0.0-29.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","4189",""," ","key"," ","16.661354581673308","500","250","zol","1.4300000000000004","22","-23","-0.13","1",""
"","psychophysics","30","173723","0.0-30.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3372",""," ","key"," ","16.668316831683168","500","250","zol","1.4900000000000002","9","-3","-0.49","1",""
"","psychophysics","31","177506","0.0-31.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3777",""," ","key"," ","16.668141592920353","500","250","zol","1.0699999999999998","-2","-30","0.23","1",""
"","psychophysics","32","180533","0.0-32.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3022",""," ","key"," ","16.666666666666668","500","250","zol","1.0499999999999998","11","1","-0.25","1",""
"","psychophysics","33","183003","0.0-33.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2464",""," ","key"," ","16.639455782312925","500","250","zol","0.7999999999999999","3","21","-0.1","1",""
"","psychophysics","34","186299","0.0-34.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3290",""," ","key"," ","16.634517766497463","500","250","zol","1.29","28","-5","-0.29","1",""
"","psychophysics","35","189332","0.0-35.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3026",""," ","key"," ","16.662983425414364","500","250","zol","1.1300000000000001","-29","-1","-0.33","1",""
"","psychophysics","36","190457","0.0-36.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","1121",""," ","key"," ","16.65671641791045","500","250","inst","","","","","",""
"","psychophysics","37","194872","0.0-37.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","4411",""," ","key"," ","16.666666666666668","500","250","instBr0","NaN","0","0","0","","300"
"","psychophysics","38","207294","0.0-38.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","12416",""," ","key"," ","16.666666666666668","500","250","instBr1","NaN","0","0","-40","","300"
"","psychophysics","39","216657","0.0-39.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","9358",""," ","key"," ","16.666666666666668","500","250","instBr","-26","0","0","40","1","300"
"","psychophysics","40","217676","0.0-40.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","1015",""," ","key"," ","16.666666666666668","500","250","inst","","","","","",""
"","psychophysics","41","219932","0.0-41.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2251",""," ","key"," ","16.671641791044777","500","250","br","-26","-7","14","-21","1","275"
"","psychophysics","42","223572","0.0-42.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3635",""," ","key"," ","16.660550458715598","500","250","br","-25","-8","-2","-10","1","232"
"","psychophysics","43","230894","0.0-43.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","7319",""," ","key"," ","16.666666666666668","500","250","br","-26","10","12","11","1","220"
"","psychophysics","44","234028","0.0-44.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","3127",""," ","key"," ","16.668449197860962","500","250","br","-27","13","-5","-37","1","231"
"","psychophysics","45","242033","0.0-45.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","null","","null","key","null","16.598752598752597","500","250","br","-23","21","20","17","1","270"
"","psychophysics","46","242096","0.0-46.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","56",""," ","key"," ","15.666666666666666","500","250","br","16","30","30","16","1","240"
"","psychophysics","47","250101","0.0-47.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","null","","null","key","null","16.598752598752597","500","250","br","-18","28","-22","40","1","293"
"","psychophysics","48","250272","0.0-48.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","156",""," ","key"," ","15.9","500","250","br","13","-16","-22","13","1","242"
"","psychophysics","49","255656","0.0-49.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","5378",""," ","key"," ","16.667701863354036","500","250","br","-18","21","25","26","1","200"
"","psychophysics","50","258146","0.0-50.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","2487",""," ","key"," ","16.66891891891892","500","250","br","-19","-2","21","-30","1","228"
"","psychophysics","51","262809","0.0-51.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","4658",""," ","key"," ","16.666666666666668","500","250","br","-23","-8","9","15","1","266"
"","psychophysics","52","267357","0.0-52.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","4543",""," ","key"," ","16.665441176470587","500","250","br","-28","4","14","5","1","290"
"","psychophysics","53","272461","0.0-53.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","5099",""," ","key"," ","16.665573770491804","500","250","br","-24","-26","-9","-49","1","259"
"","psychophysics","54","278422","0.0-54.0","6339d15f5c1c670b3075f0fc","64caaf51c7ef4753e5880959","","","","","5956",""," ","key"," ","16.666666666666668","500","250","br","-20","-22","-24","28","1","212"
