"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","start","version","jitterX","jitterY","parA"
"","psychophysics","193","972335","0.0-193.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4570",""," ","key"," ","16.65103284671544","500","250","pz","87","38","1","","","54"
"","psychophysics","194","976886","0.0-194.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4549",""," ","key"," ","16.650670329670444","500","250","pz","52","21","1","","","32"
"","psychophysics","195","981103","0.0-195.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4214",""," ","key"," ","16.649412698412707","500","250","pz","57","28","1","","","31"
"","psychophysics","196","985449","0.0-196.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4345",""," ","key"," ","16.65018846153846","500","250","pz","97","51","1","","","60"
"","psychophysics","197","986718","0.0-197.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","1268",""," ","key"," ","16.65197333333393","500","250","inst","","","","","",""
"","psychophysics","198","997837","0.0-198.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","11116",""," ","key"," ","16.65052323838095","500","250","instPog0","340","370","2","0","0","340"
"","psychophysics","199","1002177","0.0-199.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","4339",""," ","key"," ","16.650511538461657","500","250","instPog1","352","370","2","0","0","340"
"","psychophysics","200","1008045","0.0-200.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5866",""," ","key"," ","16.651037037036943","500","250","instPog2","330","340","2","0","0","340"
"","psychophysics","201","1008791","0.0-201.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","744",""," ","key"," ","16.653795454545286","500","250","inst","","","","","",""
"","psychophysics","202","1014859","0.0-202.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","6067",""," ","key"," ","16.650581267217532","500","250","pog","327","357","2","0","0","330"
"","psychophysics","203","1019959","0.0-203.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5099",""," ","key"," ","16.65134313725524","500","250","pog","296","288","2","0","0","313"
"","psychophysics","204","1024985","0.0-204.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5024",""," ","key"," ","16.650219999999972","500","250","pog","311","315","2","0","0","323"
"","psychophysics","205","1031790","0.0-205.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","6802",""," ","key"," ","16.65127450980414","500","250","pog","354","334","2","0","0","367"
"","psychophysics","206","1037503","0.0-206.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","5712",""," ","key"," ","16.65105555555545","500","250","pog","354","296","2","0","0","372"
"","psychophysics","207","1041491","0.0-207.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","3984",""," ","key"," ","16.651594142259533","500","250","pog","338","334","2","0","0","365"
"","psychophysics","208","1045230","0.0-208.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","3737",""," ","key"," ","16.64964125560536","500","250","pog","292","370","2","0","0","318"
"","psychophysics","209","1051579","0.0-209.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","6347",""," ","key"," ","16.65072178477672","500","250","pog","348","316","2","0","0","368"
"","psychophysics","210","1059582","0.0-210.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","null","","null","key","null","16.64984133611686","500","250","pog","293","363","2","0","0","310"
"","psychophysics","211","1059877","0.0-211.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","292",""," ","key"," ","16.6531764705775","500","250","pog","376","376","2","0","0","333"
"","psychophysics","212","1067611","0.0-212.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","7733",""," ","key"," ","16.65062634989199","500","250","pog","275","391","2","0","0","302"
"","psychophysics","213","1073872","0.0-213.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","6258",""," ","key"," ","16.650117333333938","500","250","pog","285","349","2","0","0","308"
"","psychophysics","214","1076895","0.0-214.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","3020",""," ","key"," ","16.649425414365133","500","250","pog","293","351","2","0","0","313"
"","psychophysics","215","1080657","0.0-215.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","3761",""," ","key"," ","16.65194666666703","500","250","pog","293","303","2","0","0","309"
"","psychophysics","216","1083828","0.0-216.0","58ac890076c5b70001662993","64dbc284911f3c7d19e1fd0f","","","","","3170",""," ","key"," ","16.651566137565872","500","250","pog","348","358","2","0","0","359"
