"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","version","parA"
"true","fullscreen","0","4487","0.0-0.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4717","0.0-1.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","html-button-response","2","7527","0.0-2.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","2809","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","",""
"","psychophysics","3","44479","0.0-3.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","36946",""," ","key"," ","16.66766666666667","960","250","","","","","","",""
"","psychophysics","4","48630","0.0-4.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","4150",""," ","key"," ","16.66769354838708","500","250","inst","","","","","",""
"","psychophysics","5","54794","0.0-5.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","6161",""," ","key"," ","16.667783197831987","500","250","sample0","","","","","",""
"","psychophysics","6","58094","0.0-6.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","3298",""," ","key"," ","16.667736040609146","500","250","sample1","","","","","",""
"","psychophysics","7","80032","0.0-7.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","21936",""," ","key"," ","16.667603041825096","500","250","sample2","102","","","","",""
"","psychophysics","8","90778","0.0-8.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","10743",""," ","key"," ","16.6678740279938","500","250","sample3","100","","","","",""
"","psychophysics","9","110161","0.0-9.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","19373",""," ","key"," ","16.667674698795185","500","250","sample4","102","","","","",""
"","psychophysics","10","117025","0.0-10.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","6854",""," ","key"," ","16.668102189781013","500","250","sample5","","","","","",""
"","psychophysics","11","130976","0.0-11.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","13942",""," ","key"," ","16.667854066985647","500","250","sample6","506","","","","",""
"","psychophysics","12","140039","0.0-12.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","9054",""," ","key"," ","16.6674585635359","500","250","inst","","","","","",""
"","psychophysics","13","149992","0.0-13.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","9951",""," ","key"," ","16.6677919463087","500","250","inst","","","","","",""
"","psychophysics","14","159151","0.0-14.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","9155",""," ","key"," ","16.6674480874317","500","250","inst","","","","","",""
"","psychophysics","15","162392","0.0-15.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","3240",""," ","key"," ","16.66793264248716","500","250","inst","","","","","",""
"","psychophysics","16","166223","0.0-16.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","3829",""," ","key"," ","16.66776855895194","500","250","inst","","","","","",""
"","psychophysics","17","171592","0.0-17.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","5364",""," ","key"," ","16.667785046728962","500","250","instZol0","0","0","0","0","",""
"","psychophysics","18","185775","0.0-18.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","14179",""," ","key"," ","16.667461176470592","500","250","instZol1","0.3999999999999998","0","0","-1.3","",""
"","psychophysics","19","207687","0.0-19.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","21884",""," ","key"," ","16.66768417047184","500","250","instZol2","-1.5999999999999996","0","0","2","2",""
"","psychophysics","20","211569","0.0-20.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","3879",""," ","key"," ","16.667655172413827","500","250","inst","","","","","",""
"","psychophysics","21","219589","0.0-21.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","null","","null","key","null","16.667766666666648","500","250","zol","-1.26","-1","8","0.16","2",""
"","psychophysics","22","224032","0.0-22.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","4440",""," ","key"," ","16.668098113207556","500","250","zol","-2.0400000000000005","11","11","0.44","2",""
"","psychophysics","23","232041","0.0-23.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","null","","null","key","null","16.667808333333355","500","250","zol","-3.5200000000000022","-23","16","0.12","2",""
"","psychophysics","24","236433","0.0-24.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","4386",""," ","key"," ","16.66795038167949","500","250","zol","-1.6800000000000004","17","15","0.08","2",""
"","psychophysics","25","243840","0.0-25.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","7399",""," ","key"," ","16.667867117117108","500","250","zol","-1.01","19","10","-0.29","2",""
"","psychophysics","26","251847","0.0-26.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","null","","null","key","null","16.668054279749462","500","250","zol","-1.26","-4","17","-0.14","2",""
"","psychophysics","27","257339","0.0-27.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","5481",""," ","key"," ","16.667683890577525","500","250","zol","-1.5900000000000005","17","26","-0.61","2",""
"","psychophysics","28","264040","0.0-28.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","6693",""," ","key"," ","16.667386533665844","500","250","zol","-2.170000000000001","-7","-12","0.47","2",""
"","psychophysics","29","272055","0.0-29.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","null","","null","key","null","16.667779166666637","500","250","zol","-0.6900000000000001","-19","1","-0.51","2",""
"","psychophysics","30","279079","0.0-30.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","7021",""," ","key"," ","16.707317422434457","500","250","zol","-1.17","30","15","0.17","2",""
"","psychophysics","31","287085","0.0-31.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","null","","null","key","null","16.667663883089745","500","250","zol","-0.30999999999999994","-8","10","0.31","2",""
"","psychophysics","32","294782","0.0-32.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","7689",""," ","key"," ","16.66797396963121","500","250","zol","-1.7700000000000005","-4","21","0.37","2",""
"","psychophysics","33","299927","0.0-33.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","5142",""," ","key"," ","16.66751623376633","500","250","zol","-1.26","28","29","-0.74","2",""
"","psychophysics","34","305924","0.0-34.0","5da4152a3ab39a0011295a3e","64dbc31b0d3fae870b1270b3","","","","","5993",""," ","key"," ","16.66798328690803","500","250","zol","-1.4500000000000002","-14","18","-0.35","2",""
