"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","version","parA"
"true","fullscreen","0","2582","0.0-0.0","6091e1be3df7254e526f7168","64dbc205e07afd246cac225f","","","","","","","","","","","","","","","","","","",""
"true","preload","1","2722","0.0-1.0","6091e1be3df7254e526f7168","64dbc205e07afd246cac225f","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","html-button-response","2","4275","0.0-2.0","6091e1be3df7254e526f7168","64dbc205e07afd246cac225f","","","","","1552","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","",""
"","psychophysics","3","6780","0.0-3.0","6091e1be3df7254e526f7168","64dbc205e07afd246cac225f","","","","","2500",""," ","key"," ","16.66512666666667","853.3333333333334","250","","","","","","",""
"","psychophysics","4","8811","0.0-4.0","6091e1be3df7254e526f7168","64dbc205e07afd246cac225f","","","","","2030",""," ","key"," ","16.6644132231405","500","250","inst","","","","","",""
"","psychophysics","5","10846","0.0-5.0","6091e1be3df7254e526f7168","64dbc205e07afd246cac225f","","","","","2033",""," ","key"," ","16.66429752066115","500","250","sample0","","","","","",""
"","psychophysics","6","12135","0.0-6.0","6091e1be3df7254e526f7168","64dbc205e07afd246cac225f","","","","","1286",""," ","key"," ","16.66472368421053","500","250","sample1","","","","","",""
"","psychophysics","7","20105","0.0-7.0","6091e1be3df7254e526f7168","64dbc205e07afd246cac225f","","","","","7967",""," ","key"," ","16.663941422594142","500","250","sample2","98","","","","",""
"","psychophysics","8","25089","0.0-8.0","6091e1be3df7254e526f7168","64dbc205e07afd246cac225f","","","","","4983",""," ","key"," ","16.66397315436242","500","250","sample3","100","","","","",""
"","psychophysics","9","32433","0.0-9.0","6091e1be3df7254e526f7168","64dbc205e07afd246cac225f","","","","","7338",""," ","key"," ","16.664378132118443","500","250","sample4","102","","","","",""
"","psychophysics","10","34672","0.0-10.0","6091e1be3df7254e526f7168","64dbc205e07afd246cac225f","","","","","2234",""," ","key"," ","16.663917910447736","500","250","sample5","","","","","",""
"","psychophysics","11","40074","0.0-11.0","6091e1be3df7254e526f7168","64dbc205e07afd246cac225f","","","","","5398",""," ","key"," ","16.664182662538686","500","250","sample6","504","","","","",""
"","psychophysics","12","43342","0.0-12.0","6091e1be3df7254e526f7168","64dbc205e07afd246cac225f","","","","","3266",""," ","key"," ","16.662635897435898","500","250","inst","","","","","",""
