"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","jitterX","jitterY","start","parA"
"true","fullscreen","0","2887","0.0-0.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3186","0.0-1.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","html-button-response","2","4390","0.0-2.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","1193","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","",""
"","psychophysics","3","9165","0.0-3.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","4715",""," ","key"," ","16.84102816901408","683","250","","","","","","",""
"","psychophysics","4","13213","0.0-4.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","4042",""," ","key"," ","16.80380416666667","500","250","inst","","","","","",""
"","psychophysics","5","26165","0.0-5.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","12944",""," ","key"," ","16.708045278137128","500","250","sample0","","","","","",""
"","psychophysics","6","29587","0.0-6.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","3407",""," ","key"," ","16.66498039215686","500","250","sample1","","","","","",""
"","psychophysics","7","40310","0.0-7.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","10709",""," ","key"," ","16.664942457231728","500","250","sample2","98","","","","",""
"","psychophysics","8","48757","0.0-8.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","8440",""," ","key"," ","16.664952569169962","500","250","sample3","100","","","","",""
"","psychophysics","9","56122","0.0-9.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","7357",""," ","key"," ","16.664929545454537","500","250","sample4","100","","","","",""
"","psychophysics","10","61021","0.0-10.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","4882",""," ","key"," ","16.722051369863014","500","250","sample5","","","","","",""
"","psychophysics","11","69611","0.0-11.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","8576",""," ","key"," ","16.7299142300195","500","250","sample6","498","","","","",""
"","psychophysics","12","74657","0.0-12.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","5031",""," ","key"," ","16.664927152317848","500","250","inst","","","","","",""
"","psychophysics","13","77373","0.0-13.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","2708",""," ","key"," ","16.664969135802504","500","250","inst","","","","","",""
"","psychophysics","14","80211","0.0-14.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","2833",""," ","key"," ","16.664899408284036","500","250","inst","","","","","",""
"","psychophysics","15","81542","0.0-15.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","1318",""," ","key"," ","16.665025316455655","500","250","inst","","","","","",""
"","psychophysics","16","82955","0.0-16.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","1401",""," ","key"," ","16.66486904761907","500","250","inst","","","","","",""
"","psychophysics","17","87715","0.0-17.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","4754",""," ","key"," ","16.66497887323946","500","250","instBr0","NaN","","0","0","0","300"
"","psychophysics","18","92975","0.0-18.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","5249",""," ","key"," ","16.664923809523813","500","250","instBr1","NaN","","0","0","-40","300"
"","psychophysics","19","102011","0.0-19.0","604227d56f34b50536d0df92","64cab2577ddd9b23578781bf","","","","","9023",""," ","key"," ","16.726794063079776","500","250","instBr","27","2","0","0","40","300"
