"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","ml_len","ml_start","ml_x","ml_y","resp","targ","back"
"1990","key"," "," ","13.338000000000001","500","250","inst","psychophysics","0","2004","0.0-0.0","16","34","","","","","","",""
"4157","key"," "," ","13.338000000000001","500","250","inst","psychophysics","1","6164","0.0-1.0","16","34","","","","","","",""
"13589","key"," "," ","13.338165029469549","500","250","instML","psychophysics","2","19754","0.0-2.0","16","34","178","-29.666666666666668","-10","-9","-25.666666666666686","",""
"664","key"," "," ","13.341408163265292","500","250","inst","psychophysics","3","20420","0.0-3.0","16","34","","","","","","",""
"9603","key"," "," ","13.338233657858135","500","250","ml","psychophysics","4","30024","0.0-4.0","16","34","152","-13","-4","11","-16","",""
"11260","key"," "," ","13.338199052132696","500","250","ml","psychophysics","5","41289","0.0-5.0","16","34","242","-31","-13","-19","-21","",""
"10129","key"," "," ","13.33822031662269","500","250","ml","psychophysics","6","51419","0.0-6.0","16","34","196","-48","-7","-7","-24","",""
"9395","key"," "," ","13.338238636363629","500","250","ml","psychophysics","7","60815","0.0-7.0","16","34","176","42","-14","22","-12","",""
"6014","key"," "," ","13.337999999999981","500","250","ml","psychophysics","8","66831","0.0-8.0","16","34","234","47","14","-13","-10","",""
"6309","key"," "," ","13.338355932203385","500","250","ml","psychophysics","9","73142","0.0-9.0","16","34","244","44","-29","-30","-14","",""
"10653","key"," "," ","13.338209273182962","500","250","ml","psychophysics","10","83797","0.0-10.0","16","34","198","37","15","-29","-14","",""
"10506","key"," "," ","13.338213468869123","500","250","ml","psychophysics","11","94304","0.0-11.0","16","34","246","-59","-21","-5","-14","",""
"10753","key"," "," ","13.338208695652158","500","250","ml","psychophysics","12","105059","0.0-12.0","16","34","206","-25","15","-21","-12","",""
"7894","key"," "," ","13.338282571912018","500","250","ml","psychophysics","13","112955","0.0-13.0","16","34","220","46","6","-14","-15","",""
"12889","key"," "," ","13.338174093264252","500","250","ml","psychophysics","14","125845","0.0-14.0","16","34","170","32","-22","-9","-9","",""
"6752","key"," "," ","13.338330039525676","500","250","ml","psychophysics","15","132599","0.0-15.0","16","34","154","-34","-11","16","-12","",""
"6575","key"," "," ","13.338000000000005","500","250","ml","psychophysics","16","139176","0.0-16.0","16","34","216","32","20","11","-15","",""
"3698","key"," "," ","13.338608695652194","500","250","ml","psychophysics","17","142876","0.0-17.0","16","34","204","5","26","-22","-13","",""
"6257","key"," "," ","13.337999999999994","500","250","ml","psychophysics","18","149135","0.0-18.0","16","34","208","-40","-23","-24","-15","",""
"1040","key"," "," ","13.337999999999786","500","250","inst","psychophysics","19","150177","0.0-19.0","16","34","","","","","","",""
"31701","key"," "," ","13.338282407407403","500","250","instPog","psychophysics","20","181878","0.0-20.0","16","34","","","","","180","180",""
"898","key"," "," ","13.338000000000289","500","250","inst","psychophysics","21","182778","0.0-21.0","16","34","","","","","","",""
"27876","key"," "," ","13.33824078506462","500","250","pog","psychophysics","22","210654","0.0-22.0","16","34","","","","","197","189",""
"5839","key"," "," ","13.338000000000013","500","250","pog","psychophysics","23","216494","0.0-23.0","16","34","","","","","160","154",""
"7443","key"," "," ","13.338299820466768","500","250","pog","psychophysics","24","223938","0.0-24.0","16","34","","","","","152","145",""
"7670","key"," "," ","13.338292682926816","500","250","pog","psychophysics","25","231610","0.0-25.0","16","34","","","","","159","156",""
"5154","key"," "," ","13.338000000000058","500","250","pog","psychophysics","26","236765","0.0-26.0","16","34","","","","","145","138",""
"6431","key"," "," ","13.338347193347184","500","250","pog","psychophysics","27","243197","0.0-27.0","16","34","","","","","134","133",""
"8866","key"," "," ","13.338253012048158","500","250","pog","psychophysics","28","252065","0.0-28.0","16","34","","","","","177","178",""
"4472","key"," "," ","13.337999999999978","500","250","pog","psychophysics","29","256538","0.0-29.0","16","34","","","","","144","145",""
"4443","key"," "," ","13.338501501501561","500","250","pog","psychophysics","30","260984","0.0-30.0","16","34","","","","","188","191",""
"3990","key"," "," ","13.338000000000056","500","250","pog","psychophysics","31","264975","0.0-31.0","16","34","","","","","167","168",""
"6663","key"," "," ","13.338336673346726","500","250","pog","psychophysics","32","271639","0.0-32.0","16","34","","","","","206","190",""
"2536","key"," "," ","13.337999999999912","500","250","pog","psychophysics","33","274177","0.0-33.0","16","34","","","","","160","151",""
"4490","key"," "," ","13.338000000000084","500","250","pog","psychophysics","34","278669","0.0-34.0","16","34","","","","","147","144",""
"9784","key"," "," ","13.338229508196685","500","250","pog","psychophysics","35","288454","0.0-35.0","16","34","","","","","140","139",""
"12102","key"," "," ","13.338184123484021","500","250","pog","psychophysics","36","300557","0.0-36.0","16","34","","","","","193","193",""
"708","key"," "," ","13.341230769230886","500","250","inst","psychophysics","37","301267","0.0-37.0","16","34","","","","","","",""
"4352","key"," "," ","13.337999999999928","500","250","instTilt","psychophysics","38","305622","0.0-38.0","16","34","","","","","NaN","0","0"
"12663","key"," "," ","13.338177028451055","500","250","instTilt","psychophysics","39","318288","0.0-39.0","16","34","","","","","-1","0","0"
"5711","key"," "," ","13.338391100702479","500","250","instTilt","psychophysics","40","324000","0.0-40.0","16","34","","","","","0","0","0"
"435","key"," "," ","13.337999999999738","500","250","inst","psychophysics","41","324438","0.0-41.0","16","34","","","","","","",""
"2519","key"," "," ","13.33799999999997","500","250","tilt","psychophysics","42","326958","0.0-42.0","16","34","","","","","0","1","0"
"2284","key"," "," ","13.338000000000058","500","250","tilt","psychophysics","43","329244","0.0-43.0","16","34","","","","","0","1","1"
"5667","key"," "," ","13.338396226415188","500","250","tilt","psychophysics","44","334914","0.0-44.0","16","34","","","","","10","9","0"
"6059","key"," "," ","13.338370860927167","500","250","tilt","psychophysics","45","340975","0.0-45.0","16","34","","","","","4","3","0"
"6370","key"," "," ","13.337999999999928","500","250","tilt","psychophysics","46","347346","0.0-46.0","16","34","","","","","4","6","1"
"4190","key"," "," ","13.338533546325726","500","250","tilt","psychophysics","47","351538","0.0-47.0","16","34","","","","","-7","-7","1"
"2611","key"," "," ","13.33799999999987","500","250","tilt","psychophysics","48","354150","0.0-48.0","16","34","","","","","8","7","1"
"6638","key"," "," ","13.338338028169092","500","250","tilt","psychophysics","49","360790","0.0-49.0","16","34","","","","","-9","-10","0"
"13338","key"," "," ","13.338167167167136","500","250","tilt","psychophysics","50","374129","0.0-50.0","16","34","","","","","0","2","1"
"1998","key"," "," ","13.337999999999763","500","250","tilt","psychophysics","51","376128","0.0-51.0","16","34","","","","","-4","-3","0"
"2136","key"," "," ","13.338000000000173","500","250","tilt","psychophysics","52","378267","0.0-52.0","16","34","","","","","-7","-2","1"
"2778","key"," "," ","13.338807692307736","500","250","tilt","psychophysics","53","381047","0.0-53.0","16","34","","","","","5","3","0"
"1585","key"," "," ","13.33800000000017","500","250","tilt","psychophysics","54","382634","0.0-54.0","16","34","","","","","0","0","0"
"1921","key"," "," ","13.337999999999814","500","250","tilt","psychophysics","55","384557","0.0-55.0","16","34","","","","","-4","-7","1"
"3990","key"," "," ","13.337999999999958","500","250","tilt","psychophysics","56","388548","0.0-56.0","16","34","","","","","-10","-9","0"
"2438","key"," "," ","13.338923076923123","500","250","tilt","psychophysics","57","390989","0.0-57.0","16","34","","","","","3","-2","0"
"2073","key"," "," ","13.33800000000009","500","250","tilt","psychophysics","58","393070","0.0-58.0","16","34","","","","","-6","-6","1"
"2675","key"," "," ","13.337999999999884","500","250","tilt","psychophysics","59","395748","0.0-59.0","16","34","","","","","9","6","1"
"2993","key"," "," ","13.337999999999788","500","250","tilt","psychophysics","60","398742","0.0-60.0","16","34","","","","","-1","-1","1"
"1538","key"," "," ","13.33799999999996","500","250","tilt","psychophysics","61","400283","0.0-61.0","16","34","","","","","-4","-3","1"
"1909","key"," "," ","13.339183098591477","500","250","tilt","psychophysics","62","402193","0.0-62.0","16","34","","","","","-6","-4","1"
"20508","key"," "," ","13.338217957059216","500","250","tilt","psychophysics","63","422702","0.0-63.0","16","34","","","","","3","2","0"
"1425","key"," "," ","13.338000000000356","500","250","tilt","psychophysics","64","424129","0.0-64.0","16","34","","","","","-7","-9","0"
"2890","key"," "," ","13.337999999999873","500","250","tilt","psychophysics","65","427021","0.0-65.0","16","34","","","","","11","10","0"
"2579","key"," "," ","13.337999999999983","500","250","tilt","psychophysics","66","429608","0.0-66.0","16","34","","","","","-5","-6","0"
"1471","key"," "," ","13.339532110091392","500","250","tilt","psychophysics","67","431082","0.0-67.0","16","34","","","","","4","2","0"
"2148","key"," "," ","13.337999999999738","500","250","tilt","psychophysics","68","433231","0.0-68.0","16","34","","","","","-5","-7","1"
"1685","key"," "," ","13.338000000000374","500","250","tilt","psychophysics","69","434918","0.0-69.0","16","34","","","","","6","4","1"
"1384","key"," "," ","13.338000000000127","500","250","tilt","psychophysics","70","436304","0.0-70.0","16","34","","","","","-7","-9","1"
"2044","key"," "," ","13.33799999999993","500","250","tilt","psychophysics","71","438350","0.0-71.0","16","34","","","","","-7","-8","0"
"606","key"," "," ","13.338000000000466","500","250","inst","psychophysics","72","438958","0.0-72.0","16","34","","","","","","",""
"5498","key"," "," ","13.338408759124112","500","250","instPz","psychophysics","73","444458","0.0-73.0","16","34","","","","","17","50",""
"1168","key"," "," ","13.338000000000198","500","250","instPz","psychophysics","74","445628","0.0-74.0","16","34","","","","","10","50",""
"2111","key"," "," ","13.337999999999946","500","250","instPz","psychophysics","75","447741","0.0-75.0","16","34","","","","","10","50",""
"811","key"," "," ","13.338000000000466","500","250","inst","psychophysics","76","448554","0.0-76.0","16","34","","","","","","",""
"13552","key"," "," ","13.338330049261055","500","250","pz","psychophysics","77","462107","0.0-77.0","16","34","","","","","44","41",""
"6545","key"," "," ","13.33799999999999","500","250","pz","psychophysics","78","468654","0.0-78.0","16","34","","","","","23","21",""
"15096","key"," "," ","13.33829619805483","500","250","pz","psychophysics","79","483751","0.0-79.0","16","34","","","","","38","35",""
