96,17,16,17,16,99
100,17,16,17,16,99
100,17,16,17,16,99
101,17,16,16,17,102
100,17,17,16,17,100
100,16,17,16,17,100
100,17,17,16,16,102
102,14,17,17,16,100
99,17,17,17,16,101
100,17,16,17,17,102
99,17,17,17,16,100
99,17,17,16,17,103
98,18,18,15,18,102
101,16,16,17,16,99
101,16,17,16,17,100
100,17,16,17,17,100
99,17,16,17,17,100
100,16,17,17,17,99
101,17,16,16,17,101
99,15,17,17,17,98
185,14,17,17,16,100
101,16,17,16,17,100
99,17,17,17,17,100
99,16,17,16,17,96
100,17,17,16,17,7010
100,17,17,17,16,101
99,16,17,16,16,101
146,18,19,17,16,101
101,16,17,17,16,101
101,17,15,17,16,101
103,14,16,17,16,101
102,14,16,18,15,100
101,16,17,16,16,100
100,17,16,17,15,100
101,18,14,17,16,100
100,16,17,16,17,99
103,14,17,16,17,99
100,17,17,16,16,102
97,17,16,18,16,100
101,17,16,16,17,99
99,17,16,17,17,100
101,16,17,16,17,101
100,16,16,17,16,100
99,16,17,17,16,100
101,15,18,16,17,100
100,16,16,18,16,99
101,16,17,16,18,99
100,16,17,17,16,100
100,16,17,15,17,99
99,18,16,17,16,101
100,17,16,16,17,101
100,16,17,16,17,99
100,17,17,17,15,101
101,16,16,18,16,99
100,17,16,18,16,101
100,16,17,17,17,99
100,16,17,17,16,99
99,16,17,15,17,99
100,16,17,16,16,101
100,17,17,17,16,99
99,17,16,16,16,100
99,16,16,18,16,99
100,16,17,16,17,100
100,17,18,15,17,100
99,16,18,16,16,101
99,17,16,17,16,100
99,18,16,16,16,100
99,17,17,16,18,99
101,16,17,16,17,99
101,17,16,15,16,101
99,16,17,17,16,100
98,16,18,16,16,100
101,16,17,16,16,99
101,16,17,16,17,100
100,16,16,16,16,100
101,16,18,16,15,100
99,16,17,17,17,99
99,18,16,17,17,100
100,16,17,16,18,100
99,16,18,16,16,99
100,17,17,16,16,101
100,16,16,16,17,99
100,17,15,17,16,101
100,16,17,17,17,100
99,17,16,17,17,99
100,17,17,16,15,100
100,16,17,16,17,99
101,17,16,16,16,100
100,16,17,17,17,100
99,18,16,17,16,100
99,17,17,17,16,99
101,16,17,17,16,101
100,16,16,17,17,100
99,16,17,17,17,99
101,16,17,17,15,100
101,16,16,17,16,100
100,17,17,17,16,100
101,17,16,16,29,105
99,17,16,21,541968,102
99,16,17,16,17,101
