24,15,16,16
16,17,16,15
17,16,16,16
16,16,17,17
17,16,16,15
16,16,17,16
18,15,17,16
17,17,16,15
17,15,16,15
16,15,17,16
17,15,17,16
17,17,16,17
16,16,16,16
17,17,17,16
16,16,16,17
17,17,16,16
17,16,16,17
17,16,16,16
17,15,17,16
16,17,16,16
16,15,17,17
16,16,16,17
17,15,16,16
17,15,16,17
16,16,17,16
17,16,16,16
17,15,17,16
16,16,16,17
17,17,16,16
15,18,16,16
16,16,16,16
17,15,17,16
17,16,17,17
17,17,16,16
17,16,17,16
18,16,16,16
19,14,15,16
17,16,16,16
17,16,18,16
17,16,17,17
17,16,16,16
17,15,18,16
16,17,16,16
17,16,16,15
17,16,16,16
16,16,17,16
17,16,16,16
17,15,17,15
16,16,16,16
16,16,16,16
17,16,16,17
16,17,16,16
16,17,17,16
17,16,16,17
16,18,16,15
16,16,16,16
16,15,16,17
17,16,16,17
16,17,16,16
16,15,17,16
16,15,17,17
17,16,16,17
17,16,16,16
19,13,18,16
16,16,18,16
17,15,17,16
17,16,16,16
16,16,17,16
17,17,17,17
17,17,16,16
16,16,17,16
17,15,18,16
17,16,16,16
16,16,16,15
16,15,17,17
17,17,16,17
18,15,17,16
15,17,18,16
16,17,17,16
16,16,16,16
17,17,16,17
16,16,17,16
19,14,17,17
17,17,16,16
17,16,18,16
17,16,16,16
17,16,17,16
17,16,17,17
17,16,15,17
17,16,18,15
16,16,17,16
17,17,16,17
16,17,17,16
17,16,17,17
17,16,16,17
18,15,17,16
16,16,16,17
17,16,16,16
17,16,17,16
16,16,17,16
