"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","len","start","x","y","trial_type","trial_index","time_elapsed","internal_node_id","resp","pid","sid"
"106209","key"," "," ","18.95278758694489","500","250","206","46","29","-24","psychophysics","0","106285","0.0-0.0","-18","null","null"
"7066","key"," "," ","27.47294117647061","500","250","162","18","-12","24","psychophysics","1","113356","0.0-1.0","-13","null","null"
"6141","key"," "," ","27.402857142857165","500","250","220","-38","10","-11","psychophysics","2","119499","0.0-2.0","-25","null","null"
"6030","key"," "," ","27.645555555555568","500","250","176","-38","28","12","psychophysics","3","125532","0.0-3.0","-22","null","null"
"5853","key"," "," ","27.301698113207507","500","250","190","-41","13","-14","psychophysics","4","131389","0.0-4.0","-26","null","null"
"4107","key"," "," ","27.24400000000004","500","250","214","-45","4","-14","psychophysics","5","135500","0.0-5.0","-24","null","null"
"7374","key"," "," ","27.653684210526333","500","250","154","-11","-6","23","psychophysics","6","142878","0.0-6.0","-20","null","null"
"9900","key"," "," ","28.824210526315802","500","250","162","22","-25","6","psychophysics","7","152781","0.0-7.0","-11","null","null"
"6334","key"," "," ","27.58052631578954","500","250","230","26","-7","18","psychophysics","8","159118","0.0-8.0","-19","null","null"
"4951","key"," "," ","27.98847457627114","500","250","186","11","22","-11","psychophysics","9","164078","0.0-9.0","-16","null","null"
