"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","block","event","trial_type","trial_index","time_elapsed","internal_node_id","resp","target","pid","sid"
"184488","key"," "," ","16.699994568661175","942","200","no_feedback","trial","psychophysics","0","184509","0.0-0.0-0.0","53","48","4","2"
"29564","key"," "," ","16.704508474576276","942","200","no_feedback","trial","psychophysics","1","214093","0.0-0.0-0.1","54","46","4","2"
"12352","key"," "," ","16.666801619433166","942","200","no_feedback","trial","psychophysics","2","226462","0.0-0.0-0.2","45","41","4","2"
"11809","key"," "," ","16.666864406779638","942","200","no_feedback","trial","psychophysics","3","238285","0.0-0.0-0.3","33","31","4","2"
"19858","key"," "," ","16.66681208053691","942","200","no_feedback","trial","psychophysics","4","258157","0.0-0.0-0.4","72","63","4","2"
"9207","key"," "," ","16.666811594202876","942","200","no_feedback","trial","psychophysics","5","267373","0.0-0.0-0.5","79","66","4","2"
"12792","key"," "," ","16.666910039113453","942","200","no_feedback","trial","psychophysics","6","280176","0.0-0.0-0.6","58","53","4","2"
"6371","key"," "," ","16.66685863874343","942","200","no_feedback","trial","psychophysics","7","286558","0.0-0.0-0.7","39","35","4","2"
"7765","key"," "," ","16.666666666666668","942","200","no_feedback","trial","psychophysics","8","294333","0.0-0.0-0.8","67","59","4","2"
"5521","key"," "," ","16.66755287009052","942","200","no_feedback","trial","psychophysics","9","299870","0.0-0.0-0.9","64","56","4","2"
"4096","key"," "," ","16.666341463414568","942","200","feedback","trial","psychophysics","10","303981","0.0-1.0-0.0","47","43","4","2"
"12165","key"," "," ","16.667041095890415","942","250","feedback","feedback","psychophysics","11","316159","0.0-1.0-1.0","","","4","2"
"5765","key"," "," ","16.66660869565212","942","200","feedback","trial","psychophysics","12","321933","0.0-1.0-0.1","28","26","4","2"
"1873","key"," "," ","16.67362831858403","942","250","feedback","feedback","psychophysics","13","323824","0.0-1.0-1.1","","","4","2"
"9283","key"," "," ","16.666906474820124","942","200","feedback","trial","psychophysics","14","333118","0.0-1.0-0.2","28","28","4","2"
"1645","key"," "," ","16.83591836734677","942","250","feedback","feedback","psychophysics","15","334782","0.0-1.0-1.2","","","4","2"
"8194","key"," "," ","16.666788617886173","942","200","feedback","trial","psychophysics","16","342991","0.0-1.0-0.3","39","37","4","2"
"1523","key"," "," ","16.85288888888899","942","250","feedback","feedback","psychophysics","17","344525","0.0-1.0-1.3","","","4","2"
"6951","key"," "," ","16.66653846153853","942","200","feedback","trial","psychophysics","18","351486","0.0-1.0-0.4","52","47","4","2"
"1587","key"," "," ","16.842105263157894","942","250","feedback","feedback","psychophysics","19","353102","0.0-1.0-1.4","","","4","2"
"5374","key"," "," ","16.66681114551085","942","200","feedback","trial","psychophysics","20","358494","0.0-1.0-0.5","32","30","4","2"
"1069","key"," "," ","16.66625000000022","942","250","feedback","feedback","psychophysics","21","359582","0.0-1.0-1.5","","","4","2"
"10224","key"," "," ","16.66646003262649","942","200","feedback","trial","psychophysics","22","369822","0.0-1.0-0.6","28","27","4","2"
"1062","key"," "," ","16.66123076923048","942","250","feedback","feedback","psychophysics","23","370910","0.0-1.0-1.6","","","4","2"
"6504","key"," "," ","16.66743589743587","942","200","feedback","trial","psychophysics","24","377424","0.0-1.0-0.7","25","25","4","2"
"1027","key"," "," ","16.66622950819695","942","250","feedback","feedback","psychophysics","25","378462","0.0-1.0-1.7","","","4","2"
"6786","key"," "," ","16.667076167076168","942","200","feedback","trial","psychophysics","26","385262","0.0-1.0-0.8","43","43","4","2"
"1346","key"," "," ","16.67111111111094","942","250","feedback","feedback","psychophysics","27","386624","0.0-1.0-1.8","","","4","2"
"14549","key"," "," ","16.666582568807282","942","200","feedback","trial","psychophysics","28","401182","0.0-1.0-0.9","63","61","4","2"
"1025","key"," "," ","16.673870967741447","942","250","feedback","feedback","psychophysics","29","402224","0.0-1.0-1.9","","","4","2"
