"rt","stimulus","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","response_type","key_press","avg_frame_time","center_x","center_y","block","event","resp","target"
"3114","Set You Browser to Full Screen Please.<br><br>","0","html-button-response","0","3117","0.0-0.0","8","8","","","","","","","","",""
"5149","You will see two horizontal lines, an upper line and a lower line.<br> Your job is to adjust the lower line so it is the <strong>same length</strong> as the upper line","0","html-button-response","1","8268","0.0-1.0","8","8","","","","","","","","",""
"3647","Use the left arrow to shorten the bottom line <br> Use the right arrow to lengthen it.","0","html-button-response","2","11917","0.0-2.0","8","8","","","","","","","","",""
"3252","When the line is best adjusted, use the space bar to continue!","0","html-button-response","3","15169","0.0-3.0","8","8","","","","","","","","",""
"2661","We Are Going To Run 20 Trials Now","0","html-button-response","4","17832","0.0-4.0","8","8","","","","","","","","",""
"18067",""," ","psychophysics","5","35908","0.0-5.0-0.0","8","8","key"," ","16.711111111111112","720","200","no_feedback","trial","71","59"
"7824",""," ","psychophysics","6","43736","0.0-5.0-0.1","8","8","key"," ","16.70940170940171","720","200","no_feedback","trial","25","24"
"8357",""," ","psychophysics","7","52097","0.0-5.0-0.2","8","8","key"," ","16.711422845691384","720","200","no_feedback","trial","25","23"
"18322",""," ","psychophysics","8","70423","0.0-5.0-0.3","8","8","key"," ","16.710766423357665","720","200","no_feedback","trial","49","33"
"9958",""," ","psychophysics","9","80384","0.0-5.0-0.4","8","8","key"," ","16.709243697478993","720","200","no_feedback","trial","31","26"
"19949",""," ","psychophysics","10","100337","0.0-5.0-0.5","8","8","key"," ","16.70997485331098","720","200","no_feedback","trial","83","63"
"13302",""," ","psychophysics","11","113642","0.0-5.0-0.6","8","8","key"," ","16.71069182389937","720","200","no_feedback","trial","58","46"
"11677",""," ","psychophysics","12","125323","0.0-5.0-0.7","8","8","key"," ","16.710601719197708","720","200","no_feedback","trial","68","52"
"6443",""," ","psychophysics","13","131769","0.0-5.0-0.8","8","8","key"," ","16.7109375","720","200","no_feedback","trial","27","24"
"9666",""," ","psychophysics","14","141443","0.0-5.0-0.9","8","8","key"," ","16.71107266435986","720","200","no_feedback","trial","58","57"
"8722.99999999997",""," ","psychophysics","15","150170","0.0-5.0-0.10","8","8","key"," ","16.712092130518233","720","200","no_feedback","trial","28","21"
"10895",""," ","psychophysics","16","161074","0.0-5.0-0.11","8","8","key"," ","16.707055214723926","720","200","no_feedback","trial","52","45"
"8883.99999999997",""," ","psychophysics","17","169969","0.0-5.0-0.12","8","8","key"," ","16.70809792843691","720","200","no_feedback","trial","39","33"
"14495",""," ","psychophysics","18","184472","0.0-5.0-0.13","8","8","key"," ","16.71049596309112","720","200","no_feedback","trial","43","37"
"11563.99999999997",""," ","psychophysics","19","196042","0.0-5.0-0.14","8","8","key"," ","16.710564399421127","720","200","no_feedback","trial","41","37"
