"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","start","version","jitterX","jitterY","parA"
"true","fullscreen","0","4957","0.0-0.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","","","","","","","","","","","","","",""
"true","preload","1","4962","0.0-1.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","false","[]","[]","[]","","","","","","","","","","","","","",""
"","psychophysics","2","19685","0.0-2.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","14611","key"," "," ","16.79504908675799","500","250","inst","","","","","",""
"","psychophysics","3","23801","0.0-3.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","4095","key"," "," ","16.697930894308953","500","250","sample1","","","","","",""
"","psychophysics","4","71791","0.0-4.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","47985","key"," "," ","16.697598677340757","500","250","sample2","112","","","","",""
"","psychophysics","5","83732","0.0-5.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","11936","key"," "," ","16.69753501400559","500","250","sample3","102","","","","",""
"","psychophysics","6","97711","0.0-6.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","13973","key"," "," ","16.697620813397123","500","250","sample4","100","","","","",""
"","psychophysics","7","104517","0.0-7.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","6753","key"," "," ","16.738706896551744","500","250","sample5","","","","","",""
"","psychophysics","8","115940","0.0-8.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","11417","key"," "," ","16.697674963396782","500","250","sample7","502","","","","",""
"","psychophysics","9","120359","0.0-9.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","4414","key"," "," ","16.697684410646367","500","250","inst","","","","","",""
"","psychophysics","10","124778","0.0-10.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","4411","key"," "," ","16.69746212121214","500","250","inst","","","","","",""
"","psychophysics","11","129988","0.0-11.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","5206","key"," "," ","16.697601286173672","500","250","inst","","","","","",""
"","psychophysics","12","133085","0.0-12.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","3087","key"," "," ","16.69760000000006","500","250","inst","","","","","",""
"","psychophysics","13","135639","0.0-13.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","2548","key"," "," ","16.697172185430567","500","250","inst","","","","","",""
"","psychophysics","14","139606","0.0-14.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","3842","key"," "," ","17.13129870129877","500","250","instEB0","40","40","","0","0","40"
"","psychophysics","15","156298","0.0-15.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","16689","key"," "," ","16.69762962962963","500","250","instEB1","67","30","1","0","0","70"
"","psychophysics","16","181528","0.0-16.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","25224","key"," "," ","16.697607284768203","500","250","instEB2","43","60","1","0","0","40"
"","psychophysics","17","200553","0.0-17.0","5dd4189ef30aa640b4e9c094","64b4424ad4e0270a62f8fd51","","","","","19018","key"," "," ","16.697618629174002","500","250","instEB3","70","45","1","0","0","65"
