"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","version","jitterX","jitterY","start","parA"
"true","fullscreen","0","5173","0.0-0.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","","","","","","","","","","","","","",""
"true","preload","1","5179","0.0-1.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","false","[]","[]","[]","","","","","","","","","","","","","",""
"","psychophysics","2","11061","0.0-2.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","5857","key"," "," ","16.714042613636366","500","250","inst","","","","","",""
"","psychophysics","3","15307","0.0-3.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","4239","key"," "," ","16.6670157480315","500","250","sample1","","","","","",""
"","psychophysics","4","33116","0.0-4.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","17796","key"," "," ","16.66673127340824","500","250","sample2","100","","","","",""
"","psychophysics","5","44429","0.0-5.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","11309","key"," "," ","16.666539143279167","500","250","sample3","100","","","","",""
"","psychophysics","6","55115","0.0-6.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","10678","key"," "," ","16.66675975039001","500","250","sample4","98","","","","",""
"","psychophysics","7","61822","0.0-7.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","6703","key"," "," ","16.70831249999999","500","250","sample5","","","","","",""
"","psychophysics","8","78906","0.0-8.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","17075","key"," "," ","16.6666533203125","500","250","sample7","502","","","","",""
"","psychophysics","9","85038","0.0-9.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","6122","key"," "," ","16.666858310626687","500","250","inst","","","","","",""
"","psychophysics","10","92138","0.0-10.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","7096","key"," "," ","16.66681647058823","500","250","inst","","","","","",""
"","psychophysics","11","97584","0.0-11.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","5442","key"," "," ","16.66659202453986","500","250","inst","","","","","",""
"","psychophysics","12","101130","0.0-12.0","5f5128c3aa1c4e30e4506d2c","64b442049b351427205efffe","","","","","3543","key"," "," ","16.66679245283019","500","250","inst","","","","","",""
