"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","start","version","jitterX","jitterY","parA"
"","psychophysics","29","193666","0.0-29.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3445","key"," "," ","33.334922330097115","499.9999891627921","249.99999458139604","eb","30","42","2","0","0","28"
"","psychophysics","30","196110","0.0-30.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2437","key"," "," ","33.332000000000136","499.9999891627921","249.99999458139604","eb","35","41","2","0","0","31"
"","psychophysics","31","198254","0.0-31.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2142","key"," "," ","33.33199999999996","499.9999891627921","249.99999458139604","eb","55","52","2","0","0","48"
"","psychophysics","32","202324","0.0-32.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","4065","key"," "," ","33.33199999999993","499.9999891627921","249.99999458139604","eb","43","31","2","0","0","36"
"","psychophysics","33","206066","0.0-33.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3739","key"," "," ","33.331999999999816","499.9999891627921","249.99999458139604","eb","42","52","2","0","0","34"
"","psychophysics","34","213648","0.0-34.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","7577","key"," "," ","33.334946902654885","499.9999891627921","249.99999458139604","eb","30","54","2","0","0","28"
"","psychophysics","35","215065","0.0-35.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","1414","key"," "," ","33.331999999999844","499.9999891627921","249.99999458139604","inst","","","","","",""
"","psychophysics","36","217657","0.0-36.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2584","key"," "," ","33.331999999999795","499.9999891627921","249.99999458139604","instPz0","50","50","2","","","50"
"","psychophysics","37","225117","0.0-37.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","7450","key"," "," ","33.333493273542494","499.9999891627921","249.99999458139604","instPz1","48","25","2","","","50"
"","psychophysics","38","228715","0.0-38.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3595","key"," "," ","33.33199999999977","499.9999891627921","249.99999458139604","instPz2","22","15","2","","","25"
"","psychophysics","39","237557","0.0-39.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","8838","key"," "," ","33.33326515151511","499.9999891627921","249.99999458139604","instPz3","38","25","2","","","50"
"","psychophysics","40","244716","0.0-40.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","7156","key"," "," ","33.33200000000004","499.9999891627921","249.99999458139604","instPz4","22","15","2","","","30"
"","psychophysics","41","246108","0.0-41.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","1389","key"," "," ","33.331999999999844","499.9999891627921","249.99999458139604","inst","","","","","",""
"","psychophysics","42","250461","0.0-42.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","4350","key"," "," ","33.332000000000065","499.9999891627921","249.99999458139604","pz","36","33","2","","","49"
"","psychophysics","43","252809","0.0-43.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2345","key"," "," ","33.34151428571453","499.9999891627921","249.99999458139604","pz","33","40","2","","","45"
"","psychophysics","44","255335","0.0-44.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2520","key"," "," ","33.331999999999994","499.9999891627921","249.99999458139604","pz","41","38","2","","","53"
"","psychophysics","45","257072","0.0-45.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","1732","key"," "," ","33.331999999999915","499.9999891627921","249.99999458139604","pz","49","49","2","","","56"
"","psychophysics","46","258403","0.0-46.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","1329","key"," "," ","33.3320000000001","499.9999891627921","249.99999458139604","pz","49","49","2","","","55"
"","psychophysics","47","261086","0.0-47.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2678","key"," "," ","33.332000000000406","499.9999891627921","249.99999458139604","pz","32","37","2","","","39"
"","psychophysics","48","266325","0.0-48.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","5236","key"," "," ","33.33414102564096","499.9999891627921","249.99999458139604","pz","28","41","2","","","40"
"","psychophysics","49","271784","0.0-49.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","5455","key"," "," ","33.33199999999988","499.9999891627921","249.99999458139604","pz","35","58","2","","","41"
"","psychophysics","50","273921","0.0-50.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2130","key"," "," ","33.33728571428588","499.9999891627921","249.99999458139604","pz","22","20","2","","","31"
"","psychophysics","51","277197","0.0-51.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3271","key"," "," ","33.33200000000028","499.9999891627921","249.99999458139604","pz","28","21","2","","","46"
"","psychophysics","52","279136","0.0-52.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","1934","key"," "," ","33.331999999999894","499.9999891627921","249.99999458139604","pz","37","40","2","","","60"
"","psychophysics","53","284821","0.0-53.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","5678","key"," "," ","33.33397633136118","499.9999891627921","249.99999458139604","pz","14","26","2","","","24"
"","psychophysics","54","286547","0.0-54.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","1722","key"," "," ","33.33199999999945","499.9999891627921","249.99999458139604","pz","36","34","2","","","52"
"","psychophysics","55","290460","0.0-55.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3911","key"," "," ","33.331999999999894","499.9999891627921","249.99999458139604","pz","30","46","2","","","43"
"","psychophysics","56","292996","0.0-56.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2532","key"," "," ","33.33645333333406","499.9999891627921","249.99999458139604","pz","20","27","2","","","28"
"","psychophysics","57","293921","0.0-57.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","922","key"," "," ","33.33199999999919","499.9999891627921","249.99999458139604","inst","","","","","",""
"","psychophysics","58","296128","0.0-58.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2201","key"," "," ","33.33200000000025","499.9999891627921","249.99999458139604","instBr0","NaN","0","","0","0","300"
"","psychophysics","59","304574","0.0-59.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","8443","key"," "," ","33.33331620553347","499.9999891627921","249.99999458139604","instBr1","NaN","-40","","0","0","300"
"","psychophysics","60","313300","0.0-60.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","8724","key"," "," ","33.33315769230763","499.9999891627921","249.99999458139604","instBr","-21","40","1","0","0","300"
"","psychophysics","61","313982","0.0-61.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","677","key"," "," ","33.3320000000007","499.9999891627921","249.99999458139604","inst","","","","","",""
"","psychophysics","62","320670","0.0-62.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","6685","key"," "," ","33.33199999999985","499.9999891627921","249.99999458139604","br","-19","26","1","-25","-4","300"
"","psychophysics","63","325827","0.0-63.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","5153","key"," "," ","33.33200000000017","499.9999891627921","249.99999458139604","br","-23","16","1","-3","14","300"
"","psychophysics","64","328290","0.0-64.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2460","key"," "," ","33.33199999999966","499.9999891627921","249.99999458139604","br","-25","-22","1","-1","1","300"
"","psychophysics","65","335194","0.0-65.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","6896","key"," "," ","33.33523300970883","499.9999891627921","249.99999458139604","br","-27","31","1","-7","15","300"
"","psychophysics","66","341775","0.0-66.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","6579","key"," "," ","33.3320000000002","499.9999891627921","249.99999458139604","br","-28","35","1","-26","-25","300"
"","psychophysics","67","349711","0.0-67.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","7935","key"," "," ","33.333409282700345","499.9999891627921","249.99999458139604","br","-28","40","1","4","-27","300"
"","psychophysics","68","356353","0.0-68.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","6640","key"," "," ","33.33199999999987","499.9999891627921","249.99999458139604","br","-20","40","1","18","-14","300"
"","psychophysics","69","360664","0.0-69.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","4309","key"," "," ","33.33199999999988","499.9999891627921","249.99999458139604","br","-21","-40","1","-26","12","300"
"","psychophysics","70","363696","0.0-70.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3028","key"," "," ","33.3393999999997","499.9999891627921","249.99999458139604","br","-19","-4","1","15","29","300"
"","psychophysics","71","366919","0.0-71.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3220","key"," "," ","33.332000000000335","499.9999891627921","249.99999458139604","br","-20","-18","1","-23","15","300"
"","psychophysics","72","369311","0.0-72.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2389","key"," "," ","33.331999999999795","499.9999891627921","249.99999458139604","br","-24","-30","1","3","-16","300"
"","psychophysics","73","372414","0.0-73.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3097","key"," "," ","33.33199999999994","499.9999891627921","249.99999458139604","br","-27","-38","1","-19","-25","300"
"","psychophysics","74","375594","0.0-74.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3179","key"," "," ","33.33555319148891","499.9999891627921","249.99999458139604","br","-24","-26","1","26","-15","300"
"","psychophysics","75","381447","0.0-75.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","5850","key"," "," ","33.3320000000002","499.9999891627921","249.99999458139604","br","-24","14","1","27","20","300"
"","psychophysics","76","385605","0.0-76.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","4154","key"," "," ","33.33200000000004","499.9999891627921","249.99999458139604","br","-20","-42","1","-16","-6","300"
"","psychophysics","77","386435","0.0-77.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","828","key"," "," ","33.33199999999994","499.9999891627921","249.99999458139604","inst","","","","","",""
"","psychophysics","78","388880","0.0-78.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2436","key"," "," ","33.33199999999966","499.9999891627921","249.99999458139604","instZol0","0","0","","0","0",""
"","psychophysics","79","406163","0.0-79.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","17279","key"," "," ","33.33393230174089","499.9999891627921","249.99999458139604","instZol1","-0.09999999999999998","-1.3","","0","0",""
"","psychophysics","80","436739","0.0-80.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","30571","key"," "," ","33.33272628135222","499.9999891627921","249.99999458139604","instZol2","-1.0999999999999992","2","2","0","0",""
"","psychophysics","81","437467","0.0-81.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","726","key"," "," ","33.3320000000007","499.9999891627921","249.99999458139604","inst","","","","","",""
"","psychophysics","82","444035","0.0-82.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","6562","key"," "," ","33.33523469387758","499.9999891627921","249.99999458139604","zol","-1.6000000000000003","-0.1","2","3","-6",""
"","psychophysics","83","450799","0.0-83.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","6760","key"," "," ","33.332000000000065","499.9999891627921","249.99999458139604","zol","-0.7700000000000001","-0.43","2","14","-2",""
"","psychophysics","84","469226","0.0-84.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","18421","key"," "," ","33.333206521739115","499.9999891627921","249.99999458139604","zol","0.19000000000000009","-0.59","2","-21","-24",""
"","psychophysics","85","470308","0.0-85.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","1079","key"," "," ","33.332000000000335","499.9999891627921","249.99999458139604","zol","-0.27","0.27","2","26","5",""
"","psychophysics","86","473949","0.0-86.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3639","key"," "," ","33.33508333333345","499.9999891627921","249.99999458139604","zol","-0.9499999999999998","-0.75","2","-9","29",""
"","psychophysics","87","479395","0.0-87.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","5442","key"," "," ","33.33199999999991","499.9999891627921","249.99999458139604","zol","-1.3800000000000001","-0.32","2","-2","-5",""
"","psychophysics","88","482534","0.0-88.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3134","key"," "," ","33.33199999999989","499.9999891627921","249.99999458139604","zol","-1.2100000000000002","0.01","2","-23","4",""
"","psychophysics","89","497851","0.0-89.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","15312","key"," "," ","33.333453159041504","499.9999891627921","249.99999458139604","zol","0.6599999999999998","0.74","2","7","1",""
"","psychophysics","90","501679","0.0-90.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3825","key"," "," ","33.33199999999999","499.9999891627921","249.99999458139604","zol","-2.5800000000000014","0.68","2","25","21",""
"","psychophysics","91","505623","0.0-91.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3940","key"," "," ","33.33485470085483","499.9999891627921","249.99999458139604","zol","-1.4900000000000002","-0.61","2","-7","24",""
"","psychophysics","92","508196","0.0-92.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2570","key"," "," ","33.331999999999475","499.9999891627921","249.99999458139604","zol","-0.8799999999999999","-0.72","2","14","-24",""
"","psychophysics","93","510543","0.0-93.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","2343","key"," "," ","33.3320000000007","499.9999891627921","249.99999458139604","zol","-0.8699999999999999","-0.13","2","-18","-27",""
"","psychophysics","94","514341","0.0-94.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3795","key"," "," ","33.33200000000003","499.9999891627921","249.99999458139604","zol","-1.7600000000000005","-0.54","2","-27","29",""
"","psychophysics","95","521850","0.0-95.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","7506","key"," "," ","33.331999999999816","499.9999891627921","249.99999458139604","zol","-0.9799999999999999","-0.72","2","-27","-17",""
"","psychophysics","96","525142","0.0-96.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","3289","key"," "," ","33.338795918367246","499.9999891627921","249.99999458139604","zol","-1.35","-0.05","2","-11","17",""
"","psychophysics","97","526125","0.0-97.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","981","key"," "," ","33.331999999999034","499.9999891627921","249.99999458139604","inst","","","","","",""
"","psychophysics","98","539447","0.0-98.0","571e332b1bdf1a00119149f2","64b441b4d8ecfb2d8a116aed","","","","","13318","key"," "," ","33.3328370927316","499.9999891627921","249.99999458139604","instPog0","160","190","1","0","0","160"
