"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","version","start","jitterX","jitterY","parA"
"true","fullscreen","0","4152","0.0-0.0","5b70ed4b99982e000145eb7b","64b44378efeb42b2ca945f5d","","","","","","","","","","","","","","","","","",""
"true","preload","1","4153","0.0-1.0","5b70ed4b99982e000145eb7b","64b44378efeb42b2ca945f5d","false","[]","[]","[]","","","","","","","","","","","","","",""
"","psychophysics","2","23110","0.0-2.0","5b70ed4b99982e000145eb7b","64b44378efeb42b2ca945f5d","","","","","18952","key"," "," ","16.683508802816903","500","250","inst","","","","","",""
"","psychophysics","3","29615","0.0-3.0","5b70ed4b99982e000145eb7b","64b44378efeb42b2ca945f5d","","","","","6502","key"," "," ","16.68385347043702","500","250","sample1","","","","","",""
"","psychophysics","4","47175","0.0-4.0","5b70ed4b99982e000145eb7b","64b44378efeb42b2ca945f5d","","","","","17559","key"," "," ","16.683786121673005","500","250","sample2","100","","","","",""
"","psychophysics","5","55344","0.0-5.0","5b70ed4b99982e000145eb7b","64b44378efeb42b2ca945f5d","","","","","8167","key"," "," ","16.683784836065584","500","250","sample3","102","","","","",""
"","psychophysics","6","64944","0.0-6.0","5b70ed4b99982e000145eb7b","64b44378efeb42b2ca945f5d","","","","","9595","key"," "," ","16.683754782608695","500","250","sample4","100","","","","",""
"","psychophysics","7","74865","0.0-7.0","5b70ed4b99982e000145eb7b","64b44378efeb42b2ca945f5d","","","","","9920","key"," "," ","16.683652613828","500","250","sample5","","","","","",""
"","psychophysics","8","84361","0.0-8.0","5b70ed4b99982e000145eb7b","64b44378efeb42b2ca945f5d","","","","","9493","key"," "," ","16.683831282952557","500","250","sample7","500","","","","",""
"","psychophysics","9","87793","0.0-9.0","5b70ed4b99982e000145eb7b","64b44378efeb42b2ca945f5d","","","","","3431","key"," "," ","16.68362254901962","500","250","inst","","","","","",""
"","psychophysics","10","92177","0.0-10.0","5b70ed4b99982e000145eb7b","64b44378efeb42b2ca945f5d","","","","","4382","key"," "," ","16.683809160305383","500","250","inst","","","","","",""
"","psychophysics","11","95057","0.0-11.0","5b70ed4b99982e000145eb7b","64b44378efeb42b2ca945f5d","","","","","2879","key"," "," ","16.68382558139536","500","250","inst","","","","","",""
"","psychophysics","12","97585","0.0-12.0","5b70ed4b99982e000145eb7b","64b44378efeb42b2ca945f5d","","","","","2527","key"," "," ","16.683853333333293","500","250","inst","","","","","",""
