pid task resp start version parA rt time_elapsed
571e332b1bdf1a00119149f2 eb 31 41 2 27 6715 142140
571e332b1bdf1a00119149f2 eb 45 29 2 44 8780 150923
571e332b1bdf1a00119149f2 eb 36 40 2 31 5904 156829
571e332b1bdf1a00119149f2 eb 31 34 2 27 4021 160852
571e332b1bdf1a00119149f2 eb 53 33 2 48 7131 167987
571e332b1bdf1a00119149f2 eb 44 32 2 40 5224 173213
571e332b1bdf1a00119149f2 eb 40 51 2 36 8381 181596
571e332b1bdf1a00119149f2 eb 57 36 2 54 4804 186406
571e332b1bdf1a00119149f2 eb 35 27 2 36 3804 190217
571e332b1bdf1a00119149f2 eb 30 42 2 28 3445 193666
571e332b1bdf1a00119149f2 eb 35 41 2 31 2437 196110
571e332b1bdf1a00119149f2 eb 55 52 2 48 2142 198254
571e332b1bdf1a00119149f2 eb 43 31 2 36 4065 202324
571e332b1bdf1a00119149f2 eb 42 52 2 34 3739 206066
571e332b1bdf1a00119149f2 eb 30 54 2 28 7577 213648
571e332b1bdf1a00119149f2 pz 36 33 2 49 4350 250461
571e332b1bdf1a00119149f2 pz 33 40 2 45 2345 252809
571e332b1bdf1a00119149f2 pz 41 38 2 53 2520 255335
571e332b1bdf1a00119149f2 pz 49 49 2 56 1732 257072
571e332b1bdf1a00119149f2 pz 49 49 2 55 1329 258403
571e332b1bdf1a00119149f2 pz 32 37 2 39 2678 261086
571e332b1bdf1a00119149f2 pz 28 41 2 40 5236 266325
571e332b1bdf1a00119149f2 pz 35 58 2 41 5455 271784
571e332b1bdf1a00119149f2 pz 22 20 2 31 2130 273921
571e332b1bdf1a00119149f2 pz 28 21 2 46 3271 277197
571e332b1bdf1a00119149f2 pz 37 40 2 60 1934 279136
571e332b1bdf1a00119149f2 pz 14 26 2 24 5678 284821
571e332b1bdf1a00119149f2 pz 36 34 2 52 1722 286547
571e332b1bdf1a00119149f2 pz 30 46 2 43 3911 290460
571e332b1bdf1a00119149f2 pz 20 27 2 28 2532 292996
571e332b1bdf1a00119149f2 br -19 26 1 300 6685 320670
571e332b1bdf1a00119149f2 br -23 16 1 300 5153 325827
571e332b1bdf1a00119149f2 br -25 -22 1 300 2460 328290
571e332b1bdf1a00119149f2 br -27 31 1 300 6896 335194
571e332b1bdf1a00119149f2 br -28 35 1 300 6579 341775
571e332b1bdf1a00119149f2 br -28 40 1 300 7935 349711
571e332b1bdf1a00119149f2 br -20 40 1 300 6640 356353
571e332b1bdf1a00119149f2 br -21 -40 1 300 4309 360664
571e332b1bdf1a00119149f2 br -19 -4 1 300 3028 363696
571e332b1bdf1a00119149f2 br -20 -18 1 300 3220 366919
571e332b1bdf1a00119149f2 br -24 -30 1 300 2389 369311
571e332b1bdf1a00119149f2 br -27 -38 1 300 3097 372414
571e332b1bdf1a00119149f2 br -24 -26 1 300 3179 375594
571e332b1bdf1a00119149f2 br -24 14 1 300 5850 381447
571e332b1bdf1a00119149f2 br -20 -42 1 300 4154 385605
571e332b1bdf1a00119149f2 zol -1.6 -0.1 2 NA 6562 444035
571e332b1bdf1a00119149f2 zol -0.77 -0.43 2 NA 6760 450799
571e332b1bdf1a00119149f2 zol 0.19 -0.59 2 NA 18421 469226
571e332b1bdf1a00119149f2 zol -0.27 0.27 2 NA 1079 470308
571e332b1bdf1a00119149f2 zol -0.95 -0.75 2 NA 3639 473949
571e332b1bdf1a00119149f2 zol -1.38 -0.32 2 NA 5442 479395
571e332b1bdf1a00119149f2 zol -1.21 0.01 2 NA 3134 482534
571e332b1bdf1a00119149f2 zol 0.66 0.74 2 NA 15312 497851
571e332b1bdf1a00119149f2 zol -2.58 0.68 2 NA 3825 501679
571e332b1bdf1a00119149f2 zol -1.49 -0.61 2 NA 3940 505623
571e332b1bdf1a00119149f2 zol -0.88 -0.72 2 NA 2570 508196
571e332b1bdf1a00119149f2 zol -0.87 -0.13 2 NA 2343 510543
571e332b1bdf1a00119149f2 zol -1.76 -0.54 2 NA 3795 514341
571e332b1bdf1a00119149f2 zol -0.98 -0.72 2 NA 7506 521850
571e332b1bdf1a00119149f2 zol -1.35 -0.05 2 NA 3289 525142
571e332b1bdf1a00119149f2 pog 156 135 1 130 4810 558794
571e332b1bdf1a00119149f2 pog 171 240 1 136 9489 568291
571e332b1bdf1a00119149f2 pog 213 101 1 188 12939 581233
571e332b1bdf1a00119149f2 pog 152 192 1 132 12005 593243
571e332b1bdf1a00119149f2 pog 169 158 1 148 6635 599879
571e332b1bdf1a00119149f2 pog 188 151 1 164 6771 606653
571e332b1bdf1a00119149f2 pog 215 158 1 193 8615 615272
571e332b1bdf1a00119149f2 pog 164 118 1 141 6733 622006
571e332b1bdf1a00119149f2 pog 201 93 1 181 13444 635452
571e332b1bdf1a00119149f2 pog 219 116 1 188 13267 648722
571e332b1bdf1a00119149f2 pog 221 94 1 195 14501 663226
571e332b1bdf1a00119149f2 pog 214 98 1 195 13987 677217
571e332b1bdf1a00119149f2 pog 164 164 1 154 1516 678735
571e332b1bdf1a00119149f2 pog 146 97 1 132 6425 685167
571e332b1bdf1a00119149f2 pog 179 212 1 157 7071 692241
571e332b1bdf1a00119149f2 zol 1.66 0.24 1 NA 4102 715954
571e332b1bdf1a00119149f2 zol 1.39 -0.09 1 NA 6782 722740
571e332b1bdf1a00119149f2 zol 1.06 0.14 1 NA 5411 728154
571e332b1bdf1a00119149f2 zol 1.84 -0.64 1 NA 3092 731249
571e332b1bdf1a00119149f2 zol 1.43 -0.03 1 NA 3695 734948
571e332b1bdf1a00119149f2 zol 1.72 0.18 1 NA 4644 739595
571e332b1bdf1a00119149f2 zol 0.48 0.62 1 NA 6965 746564
571e332b1bdf1a00119149f2 zol 1.37 -0.57 1 NA 5357 751925
571e332b1bdf1a00119149f2 zol 1.26 -0.26 1 NA 3789 755722
571e332b1bdf1a00119149f2 zol 1.35 -0.55 1 NA 3184 758910
