"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","version","start","jitterX","jitterY","parA"
"","psychophysics","172","19321","0.0-172.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","43","key"," "," ","6.945399999999791","500","250","instBr","40","1","40","0","0","300"
"","psychophysics","173","19495","0.0-173.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","173","key"," "," ","6.945333333333413","500","250","inst","","","","","",""
"","psychophysics","174","19537","0.0-174.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","41","key"," "," ","6.944599999999627","500","250","br","-28","1","-28","5","18","300"
"","psychophysics","175","19678","0.0-175.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","140","key"," "," ","7.333500000000034","500","250","br","25","1","25","8","19","300"
"","psychophysics","176","19793","0.0-176.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","114","key"," "," ","6.944937499999924","500","250","br","-24","1","-24","11","-25","300"
"","psychophysics","177","19910","0.0-177.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","116","key"," "," ","6.946249999999964","500","250","br","-26","1","-26","1","8","300"
"","psychophysics","178","20034","0.0-178.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","123","key"," "," ","6.944235294117628","500","250","br","15","1","15","20","-16","300"
"","psychophysics","179","20142","0.0-179.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","107","key"," "," ","6.945285714285741","500","250","br","16","1","16","30","-14","300"
"","psychophysics","180","20245","0.0-180.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","102","key"," "," ","6.945928571428469","500","250","br","31","1","31","8","10","300"
"","psychophysics","181","20339","0.0-181.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","93","key"," "," ","6.9449166666666615","500","250","br","-45","1","-45","-19","13","300"
"","psychophysics","182","20434","0.0-182.0","64b17f216cc95c7ca06cfc70","0xx0vzvg57je","","","","","94","key"," "," ","6.9463846153846065","500","250","br","-13","1","-13","-2","-21","300"
