"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","resp","version","start","jitterX","jitterY","parA"
"true","fullscreen","0","2124","0.0-0.0","DIYA","TEST","","","","","","","","","","","","","","","","","",""
"true","preload","1","2126","0.0-1.0","DIYA","TEST","false","[]","[]","[]","","","","","","","","","","","","","",""
"","psychophysics","2","6849","0.0-2.0","DIYA","TEST","","","","","4717","key"," "," ","33.332","500","250","inst","","","","","",""
"","psychophysics","3","19130","0.0-3.0","DIYA","TEST","","","","","12279","key"," "," ","33.332","500","250","sample1","","","","","",""
"","psychophysics","4","23363","0.0-4.0","DIYA","TEST","","","","","4227","key"," "," ","33.33838095238097","500","250","sample2","106","","","","",""
"","psychophysics","5","29200","0.0-5.0","DIYA","TEST","","","","","5835","key"," "," ","33.332","500","250","sample3","100","","","","",""
"","psychophysics","6","62356","0.0-6.0","DIYA","TEST","","","","","33155","key"," "," ","33.333620724346076","500","250","sample4","102","","","","",""
"","psychophysics","7","67573","0.0-7.0","DIYA","TEST","","","","","5210","key"," "," ","33.331999999999944","500","250","sample5","","","","","",""
"","psychophysics","8","84316","0.0-8.0","DIYA","TEST","","","","","16739","key"," "," ","33.33360479041916","500","250","sample7","500","","","","",""
"","psychophysics","9","88535","0.0-9.0","DIYA","TEST","","","","","4216","key"," "," ","33.33200000000007","500","250","inst","","","","","",""
"","psychophysics","10","89456","0.0-10.0","DIYA","TEST","","","","","920","key"," "," ","33.33199999999973","500","250","inst","","","","","",""
"","psychophysics","11","90157","0.0-11.0","DIYA","TEST","","","","","699","key"," "," ","33.33199999999997","500","250","inst","","","","","",""
"","psychophysics","12","90699","0.0-12.0","DIYA","TEST","","","","","541","key"," "," ","33.33199999999973","500","250","inst","","","","","",""
"","psychophysics","13","91240","0.0-13.0","DIYA","TEST","","","","","531","key"," "," ","33.33199999999973","500","250","inst","","","","","",""
"","psychophysics","14","151726","0.0-14.0","DIYA","TEST","","","","","60484","key"," "," ","33.36114790286975","500","250","instPog0","366.5","2","349.5","0","0","319.5"
"","psychophysics","15","200787","0.0-15.0","DIYA","TEST","","","","","49059","key"," "," ","33.333095173351445","500","250","instPog1","430.5","2","349.5","0","0","319.5"
"","psychophysics","16","212648","0.0-16.0","DIYA","TEST","","","","","11859","key"," "," ","33.33426760563374","500","250","instPog2","379.5","2","349.5","0","0","319.5"
"","psychophysics","17","213842","0.0-17.0","DIYA","TEST","","","","","1194","key"," "," ","33.3320000000007","500","250","inst","","","","","",""
"","psychophysics","18","225306","0.0-18.0","DIYA","TEST","","","","","11457","key"," "," ","33.333174927113646","500","250","pog","352.5","2","379.5","0","0","288.5"
"","psychophysics","19","261868","0.0-19.0","DIYA","TEST","","","","","36560","key"," "," ","33.36391141552512","500","250","pog","403.5","2","313.5","0","0","353.5"
"","psychophysics","20","282511","0.0-20.0","DIYA","TEST","","","","","20641","key"," "," ","33.333304207119674","500","250","pog","366.5","2","247.5","0","0","311.5"
"","psychophysics","21","319950","0.0-21.0","DIYA","TEST","","","","","37438","key"," "," ","33.377359821428556","500","250","pog","368.5","2","339.5","0","0","331.5"
"","psychophysics","22","334359","0.0-22.0","DIYA","TEST","","","","","14407","key"," "," ","33.334791666666675","500","250","pog","380.5","2","349.5","0","0","354.5"
"","psychophysics","23","346287","0.0-23.0","DIYA","TEST","","","","","11927","key"," "," ","33.331999999999944","500","250","pog","352.5","2","386.5","0","0","313.5"
