"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","parA","parB"
"5609","{""pid"":""4222""}","survey-text","0","5625","0.0-0.0","4222","","","","","","","","","","","",""
"18270"," ","psychophysics","1","23904","0.0-1.0","4222","key"," ","16.68322080291971","500","250","inst","","","","","",""
"2156"," ","psychophysics","2","26063","0.0-2.0","4222","key"," ","16.681750000000022","500","250","sample1","","","","","",""
"10187"," ","psychophysics","3","36255","0.0-3.0","4222","key"," ","16.683034426229504","500","250","sample2","102","","","","",""
"4734"," ","psychophysics","4","40991","0.0-4.0","4222","key"," ","16.682950530035342","500","250","sample3","100","","","","",""
"6366"," ","psychophysics","5","47359","0.0-5.0","4222","key"," ","16.683128608923877","500","250","sample4","102","","","","",""
"3566"," ","psychophysics","6","50927","0.0-6.0","4222","key"," ","16.682507042253537","500","250","sample5","","","","","",""
"9870"," ","psychophysics","7","60799","0.0-7.0","4222","key"," ","16.683594915254233","500","250","sample7","500","","","","",""
"6205"," ","psychophysics","8","67008","0.0-8.0","4222","key"," ","16.68357795698926","500","250","inst","","","","","",""
"5373"," ","psychophysics","9","72383","0.0-9.0","4222","key"," ","16.68419003115265","500","250","inst","","","","","",""
"4462"," ","psychophysics","10","76847","0.0-10.0","4222","key"," ","16.68300375939851","500","250","inst","","","","","",""
"1564"," ","psychophysics","11","78415","0.0-11.0","4222","key"," ","16.68234408602149","500","250","inst","","","","","",""
"3004"," ","psychophysics","12","81423","0.0-12.0","4222","key"," ","16.683777777777788","500","250","inst","","","","","",""
"2846"," ","psychophysics","13","84271","0.0-13.0","4222","key"," ","16.682911242603616","500","250","instBr0","-15","0","0","0","300",""
"7212"," ","psychophysics","14","91487","0.0-14.0","4222","key"," ","16.682706018518495","500","250","instBr1","-17","0","0","-40","300",""
"6526"," ","psychophysics","15","98015","0.0-15.0","4222","key"," ","16.682915384615384","500","250","instBr2","-16","0","0","40","300",""
"10174"," ","psychophysics","16","108191","0.0-16.0","4222","key"," ","16.683623973727407","500","250","instBr3","-10","0","0","40","300",""
"1407"," ","psychophysics","17","109600","0.0-17.0","4222","key"," ","16.687095238095242","500","250","inst","","","","","",""
"6188"," ","psychophysics","18","115791","0.0-18.0","4222","key"," ","16.683667567567593","500","250","br","-14","1","-14","8","300",""
"9982"," ","psychophysics","19","125774","0.0-19.0","4222","key"," ","16.683534338358445","500","250","br","-14","-25","17","19","300",""
"6846"," ","psychophysics","20","132623","0.0-20.0","4222","key"," ","16.68383414634147","500","250","br","-18","-12","-23","-26","300",""
"8397"," ","psychophysics","21","141022","0.0-21.0","4222","key"," ","16.683161354581646","500","250","br","-13","23","0","49","300",""
"10830"," ","psychophysics","22","151855","0.0-22.0","4222","key"," ","16.683492283950603","500","250","br","-17","28","-17","-32","300",""
"9917"," ","psychophysics","23","161774","0.0-23.0","4222","key"," ","16.683816498316506","500","250","br","-19","1","30","-33","300",""
"10494"," ","psychophysics","24","172270","0.0-24.0","4222","key"," ","16.683746815286643","500","250","br","-16","-26","-8","-15","300",""
"13887"," ","psychophysics","25","186160","0.0-25.0","4222","key"," ","16.683264423076917","500","250","br","-17","28","7","-30","300",""
"4236"," ","psychophysics","26","190399","0.0-26.0","4222","key"," ","16.68355335968373","500","250","br","-13","30","0","-6","300",""
"9582"," ","psychophysics","27","199983","0.0-27.0","4222","key"," ","16.68368062827222","500","250","br","-17","-4","26","41","300",""
"4318"," ","psychophysics","28","204303","0.0-28.0","4222","key"," ","16.682577519379773","500","250","br","-5","9","5","49","300",""
"8942"," ","psychophysics","29","213247","0.0-29.0","4222","key"," ","16.683263551401872","500","250","br","-18","-18","9","-18","300",""
"7454"," ","psychophysics","30","220703","0.0-30.0","4222","key"," ","16.68267264573993","500","250","br","-17","13","-5","-5","300",""
"6222"," ","psychophysics","31","226927","0.0-31.0","4222","key"," ","16.682956989247305","500","250","br","-22","12","-11","-48","300",""
"8686"," ","psychophysics","32","235615","0.0-32.0","4222","key"," ","16.683146153846163","500","250","br","-17","-4","10","-14","300",""
"1886"," ","psychophysics","33","237503","0.0-33.0","4222","key"," ","16.681178571428454","500","250","inst","","","","","",""
"1792"," ","psychophysics","34","239296","0.0-34.0","4222","key"," ","16.683074766355208","500","250","instEB0","40","0","0","40","40",""
"12060"," ","psychophysics","35","251358","0.0-35.0","4222","key"," ","16.68327700831025","500","250","instEB1","69","0","0","30","70",""
"10638"," ","psychophysics","36","261998","0.0-36.0","4222","key"," ","16.68315408805037","500","250","instEB2","43","0","0","60","40",""
"12187"," ","psychophysics","37","274190","0.0-37.0","4222","key"," ","16.68339589041098","500","250","instEB3","71","0","0","45","65",""
"10174"," ","psychophysics","38","284366","0.0-38.0","4222","key"," ","16.683615763546776","500","250","instEB4","70","0","0","45","65",""
"1118"," ","psychophysics","39","285486","0.0-39.0","4222","key"," ","16.686818181818428","500","250","inst","","","","","",""
"6542"," ","psychophysics","40","292030","0.0-40.0","4222","key"," ","16.683511508951472","500","250","eb","57","0","0","29","49",""
"8491"," ","psychophysics","41","300527","0.0-41.0","4222","key"," ","16.683349705304426","500","250","eb","53","0","0","44","46",""
"5614"," ","psychophysics","42","306143","0.0-42.0","4222","key"," ","16.684089552238756","500","250","eb","51","0","0","25","47",""
"6940"," ","psychophysics","43","313088","0.0-43.0","4222","key"," ","16.683552884615263","500","250","eb","59","0","0","39","53",""
"6654"," ","psychophysics","44","319744","0.0-44.0","4222","key"," ","16.68363316582917","500","250","eb","44","0","0","33","39",""
"9724"," ","psychophysics","45","329471","0.0-45.0","4222","key"," ","16.683640893470717","500","250","eb","26","0","0","28","24",""
"14846"," ","psychophysics","46","344319","0.0-46.0","4222","key"," ","16.683466816647933","500","250","eb","56","0","0","32","52",""
"7374"," ","psychophysics","47","351695","0.0-47.0","4222","key"," ","16.683151927437684","500","250","eb","31","0","0","35","27",""
"5278"," ","psychophysics","48","356975","0.0-48.0","4222","key"," ","16.682946031746116","500","250","eb","31","0","0","30","27",""
"9310"," ","psychophysics","49","366286","0.0-49.0","4222","key"," ","16.683560143626497","500","250","eb","57","0","0","32","49",""
"5244"," ","psychophysics","50","371534","0.0-50.0","4222","key"," ","16.683041401273996","500","250","eb","52","0","0","43","46",""
"6654"," ","psychophysics","51","378190","0.0-51.0","4222","key"," ","16.68352763819094","500","250","eb","57","0","0","54","52",""
"6238"," ","psychophysics","52","384430","0.0-52.0","4222","key"," ","16.683101876675657","500","250","eb","33","0","0","30","30",""
"9936"," ","psychophysics","53","394369","0.0-53.0","4222","key"," ","16.683238655462187","500","250","eb","35","0","0","29","31",""
