"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","parA","parB"
"1326204","{""pid"":""4235""}","survey-text","0","1326211","0.0-0.0","4235","","","","","","","","","","","",""
"2912"," ","psychophysics","1","1329129","0.0-1.0","4235","key"," ","16.667194285713403","500","250","inst","","","","","",""
"3237"," ","psychophysics","2","1332369","0.0-2.0","4235","key"," ","16.666592783505845","500","250","sample1","","","","","",""
"6271"," ","psychophysics","3","1338641","0.0-3.0","4235","key"," ","16.66662933333342","500","250","sample2","120","","","","",""
"4318"," ","psychophysics","4","1342961","0.0-4.0","4235","key"," ","16.666844961239754","500","250","sample3","86","","","","",""
"10774"," ","psychophysics","5","1353737","0.0-5.0","4235","key"," ","16.666622291021728","500","250","sample4","100","","","","",""
"3990"," ","psychophysics","6","1357729","0.0-6.0","4235","key"," ","16.66671428571459","500","250","sample5","","","","","",""
"10752"," ","psychophysics","7","1368483","0.0-7.0","4235","key"," ","16.666717829457447","500","250","sample7","502","","","","",""
"4013"," ","psychophysics","8","1372497","0.0-8.0","4235","key"," ","16.666799163179878","500","250","inst","","","","","",""
"3406"," ","psychophysics","9","1375905","0.0-9.0","4235","key"," ","16.66656862745089","500","250","inst","","","","","",""
"3622"," ","psychophysics","10","1379529","0.0-10.0","4235","key"," ","16.666518518519027","500","250","inst","","","","","",""
"1063"," ","psychophysics","11","1380593","0.0-11.0","4235","key"," ","16.666650793651886","500","250","inst","","","","","",""
"1215"," ","psychophysics","12","1381809","0.0-12.0","4235","key"," ","16.666777777776588","500","250","inst","","","","","",""
"1966"," ","psychophysics","13","1383777","0.0-13.0","4235","key"," ","16.666649572648762","500","250","instBr0","-15","0","0","0","300",""
"9478"," ","psychophysics","14","1393257","0.0-14.0","4235","key"," ","16.666705985915517","500","250","instBr1","-17","0","0","-40","300",""
"5198"," ","psychophysics","15","1398457","0.0-15.0","4235","key"," ","16.666633440514016","500","250","instBr2","-13","0","0","40","300",""
"12270"," ","psychophysics","16","1410729","0.0-16.0","4235","key"," ","16.666561904762155","500","250","instBr3","-15","0","0","40","300",""
"983"," ","psychophysics","17","1411713","0.0-17.0","4235","key"," ","16.667568965513933","500","250","inst","","","","","",""
"5750"," ","psychophysics","18","1417465","0.0-18.0","4235","key"," ","16.667069767442054","500","250","br","-13","10","12","23","300",""
"8565"," ","psychophysics","19","1426033","0.0-19.0","4235","key"," ","16.666499025340883","500","250","br","-16","14","6","35","300",""
"4326"," ","psychophysics","20","1430361","0.0-20.0","4235","key"," ","16.666891891892252","500","250","br","-21","-27","27","-20","300",""
"4494"," ","psychophysics","21","1434857","0.0-21.0","4235","key"," ","16.666550185874133","500","250","br","-18","8","-15","26","300",""
"4455"," ","psychophysics","22","1439313","0.0-22.0","4235","key"," ","16.66669548872186","500","250","br","-34","-24","-12","-38","300",""
"5167"," ","psychophysics","23","1444481","0.0-23.0","4235","key"," ","16.666737864078037","500","250","br","-20","-19","8","3","300",""
"7517"," ","psychophysics","24","1452001","0.0-24.0","4235","key"," ","16.66657427937916","500","250","br","-17","-13","-14","31","300",""
"4535"," ","psychophysics","25","1456537","0.0-25.0","4235","key"," ","16.666649446494507","500","250","br","-21","17","25","-33","300",""
"6535"," ","psychophysics","26","1463073","0.0-26.0","4235","key"," ","16.666777493606638","500","250","br","-19","24","18","-2","300",""
"5511"," ","psychophysics","27","1468585","0.0-27.0","4235","key"," ","16.66657272727285","500","250","br","-18","-12","-30","22","300",""
"2015"," ","psychophysics","28","1470601","0.0-28.0","4235","key"," ","16.666533333334762","500","250","br","-19","-23","15","-17","300",""
"2767"," ","psychophysics","29","1473369","0.0-29.0","4235","key"," ","16.666787878787993","500","250","br","-22","26","-22","-23","300",""
"3279"," ","psychophysics","30","1476650","0.0-30.0","4235","key"," ","16.666770408164034","500","250","br","-16","16","10","-2","300",""
"3838"," ","psychophysics","31","1480489","0.0-31.0","4235","key"," ","16.666703056767744","500","250","br","-13","-13","1","6","300",""
"3903"," ","psychophysics","32","1484393","0.0-32.0","4235","key"," ","16.6665450643784","500","250","br","-23","-6","14","-35","300",""
"1294"," ","psychophysics","33","1485689","0.0-33.0","4235","key"," ","16.66689610389642","500","250","inst","","","","","",""
"1655"," ","psychophysics","34","1487345","0.0-34.0","4235","key"," ","16.66704081632767","500","250","instEB0","40","0","0","40","40",""
"13271"," ","psychophysics","35","1500617","0.0-35.0","4235","key"," ","16.666621859296548","500","250","instEB1","70","0","0","30","70",""
"15942"," ","psychophysics","36","1516561","0.0-36.0","4235","key"," ","16.666698429319297","500","250","instEB2","45","0","0","60","40",""
"18262"," ","psychophysics","37","1534825","0.0-37.0","4235","key"," ","16.666652968036622","500","250","instEB3","69","0","0","45","65",""
"4302"," ","psychophysics","38","1539129","0.0-38.0","4235","key"," ","16.66680544747152","500","250","instEB4","45","0","0","45","65",""
"3175"," ","psychophysics","39","1542305","0.0-39.0","4235","key"," ","16.666721052632322","500","250","inst","","","","","",""
"10406"," ","psychophysics","40","1552713","0.0-40.0","4235","key"," ","16.66669181380406","500","250","eb","55","0","0","26","48",""
"12813"," ","psychophysics","41","1565529","0.0-41.0","4235","key"," ","16.666692708333056","500","250","eb","30","0","0","32","26",""
"10878"," ","psychophysics","42","1576409","0.0-42.0","4235","key"," ","16.666628834355816","500","250","eb","45","0","0","41","43",""
"13886"," ","psychophysics","43","1590297","0.0-43.0","4235","key"," ","16.666641826923016","500","250","eb","48","0","0","43","43",""
"5982"," ","psychophysics","44","1596283","0.0-44.0","4235","key"," ","16.66681337047402","500","250","eb","33","0","0","40","28",""
"6700"," ","psychophysics","45","1602985","0.0-45.0","4235","key"," ","16.666628428927606","500","250","eb","33","0","0","24","30",""
"5294"," ","psychophysics","46","1608281","0.0-46.0","4235","key"," ","16.66660759493685","500","250","eb","45","0","0","44","42",""
"5983"," ","psychophysics","47","1614267","0.0-47.0","4235","key"," ","16.666891364902803","500","250","eb","35","0","0","46","30",""
"4805"," ","psychophysics","48","1619073","0.0-48.0","4235","key"," ","16.666613240418016","500","250","eb","29","0","0","32","26",""
"7374"," ","psychophysics","49","1626449","0.0-49.0","4235","key"," ","16.666643990929686","500","250","eb","30","0","0","25","26",""
"5342"," ","psychophysics","50","1631794","0.0-50.0","4235","key"," ","16.666609374999826","500","250","eb","48","0","0","31","45",""
"9583"," ","psychophysics","51","1641378","0.0-51.0","4235","key"," ","16.666700348432034","500","250","eb","35","0","0","54","30",""
"5310"," ","psychophysics","52","1646690","0.0-52.0","4235","key"," ","16.666748427673177","500","250","eb","35","0","0","24","30",""
"5992"," ","psychophysics","53","1652683","0.0-53.0","4235","key"," ","16.66657381615547","500","250","eb","54","0","0","37","50",""
"7156"," ","psychophysics","54","1659841","0.0-54.0","4235","key"," ","16.666446261681838","500","250","eb","58","0","0","26","51",""
"927"," ","psychophysics","55","1660770","0.0-55.0","4235","key"," ","16.666618181820112","500","250","inst","","","","","",""
"6711"," ","psychophysics","56","1667482","0.0-56.0","4235","key"," ","16.666678304239372","500","250","instBis0","150","0","0","110","150",""
"10894"," ","psychophysics","57","1678378","0.0-57.0","4235","key"," ","16.66654977029094","500","250","instBis1","138","0","0","110","150",""
"21047"," ","psychophysics","58","1699425","0.0-58.0","4235","key"," ","16.66673296354984","500","250","instBis2","153","-29","-16","189","180",""
"999"," ","psychophysics","59","1700425","0.0-59.0","4235","key"," ","16.666898305081936","500","250","inst","","","","","",""
"11766"," ","psychophysics","60","1712193","0.0-60.0","4235","key"," ","16.666597163120734","500","250","bis","173","26","-12","273","195",""
"8895"," ","psychophysics","61","1721089","0.0-61.0","4235","key"," ","16.66679174484035","500","250","bis","168","0","22","150","209",""
"10670"," ","psychophysics","62","1731761","0.0-62.0","4235","key"," ","16.66671048513328","500","250","bis","259","-1","28","187","267",""
"11623"," ","psychophysics","63","1743385","0.0-63.0","4235","key"," ","16.666680057388778","500","250","bis","142","-15","-24","112","197",""
"14023"," ","psychophysics","64","1757409","0.0-64.0","4235","key"," ","16.666653571428366","500","250","bis","240","-6","-3","108","264",""
"9006"," ","psychophysics","65","1766417","0.0-65.0","4235","key"," ","16.666738888888656","500","250","bis","170","-9","10","192","192",""
"12655"," ","psychophysics","66","1779073","0.0-66.0","4235","key"," ","16.66673350923493","500","250","bis","268","19","-17","204","265",""
"10559"," ","psychophysics","67","1789634","0.0-67.0","4235","key"," ","16.66653712480226","500","250","bis","164","-6","13","242","173",""
"8413"," ","psychophysics","68","1798049","0.0-68.0","4235","key"," ","16.666721669980188","500","250","bis","183","-19","0","241","171",""
"9310"," ","psychophysics","69","1807361","0.0-69.0","4235","key"," ","16.666594982079204","500","250","bis","170","-16","12","196","178",""
"3935"," ","psychophysics","70","1811298","0.0-70.0","4235","key"," ","16.66695319149009","500","250","bis","212","4","-23","212","254",""
"14174"," ","psychophysics","71","1825473","0.0-71.0","4235","key"," ","16.666652941176505","500","250","bis","203","-1","24","263","224",""
"8367"," ","psychophysics","72","1833841","0.0-72.0","4235","key"," ","16.66647504989993","500","250","bis","169","-15","13","219","168",""
"15647"," ","psychophysics","73","1849489","0.0-73.0","4235","key"," ","16.666689765458404","500","250","bis","124","27","-17","222","113",""
"9976"," ","psychophysics","74","1859467","0.0-74.0","4235","key"," ","16.666683946488142","500","250","bis","147","-9","14","133","159",""
