"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","parA","parB"
"10556","{""pid"":""000""}","survey-text","0","10572","0.0-0.0","000","","","","","","","","","","","",""
"2442"," ","psychophysics","1","13018","0.0-1.0","000","key"," ","16.71034482758621","500","250","inst","","","","","",""
"4579"," ","psychophysics","2","17603","0.0-2.0","000","key"," ","16.708029197080293","500","250","sample1","","","","","",""
"18144"," ","psychophysics","3","35752","0.0-3.0","000","key"," ","16.710599078341012","500","250","sample2","100","","","","",""
"3763"," ","psychophysics","4","39518","0.0-4.0","000","key"," ","16.709821428571427","500","250","sample3","96","","","","",""
"6047"," ","psychophysics","5","45568","0.0-5.0","000","key"," ","16.71191135734072","500","250","sample4","96","","","","",""
"7741"," ","psychophysics","6","53311","0.0-6.0","000","key"," ","16.70995670995671","500","250","sample5","","","","","",""
"4988"," ","psychophysics","7","58302","0.0-7.0","000","key"," ","16.701342281879196","500","250","sample7","506","","","","",""
"5446"," ","psychophysics","8","63751","0.0-8.0","000","key"," ","16.71076923076923","500","250","inst","","","","","",""
"4527"," ","psychophysics","9","68280","0.0-9.0","000","key"," ","16.70740740740741","500","250","inst","","","","","",""
"6357"," ","psychophysics","10","74645","0.0-10.0","000","key"," ","16.705263157894738","500","250","inst","","","","","",""
"1121"," ","psychophysics","11","75768","0.0-11.0","000","key"," ","16.696969696969695","500","250","inst","","","","","",""
"1897"," ","psychophysics","12","77668","0.0-12.0","000","key"," ","16.716814159292035","500","250","inst","","","","","",""
"2791"," ","psychophysics","13","80463","0.0-13.0","000","key"," ","16.716867469879517","500","250","instBr0","-15","0","0","0","300",""
"5395"," ","psychophysics","14","85862","0.0-14.0","000","key"," ","16.711180124223603","500","250","instBr1","-17","0","0","-40","300",""
"4700"," ","psychophysics","15","90568","0.0-15.0","000","key"," ","16.704626334519574","500","250","instBr2","-12","0","0","40","300",""
"6749"," ","psychophysics","16","97322","0.0-16.0","000","key"," ","16.70967741935484","500","250","instBr3","-11","0","0","40","300",""
"1438"," ","psychophysics","17","98764","0.0-17.0","000","key"," ","16.705882352941178","500","250","inst","","","","","",""
"22856"," ","psychophysics","18","121625","0.0-18.0","000","key"," ","16.711046086320408","500","250","br","-18","-19","-18","-43","300",""
"3654"," ","psychophysics","19","125283","0.0-19.0","000","key"," ","16.71559633027523","500","250","br","-16","-7","-30","-12","300",""
"1403"," ","psychophysics","20","126689","0.0-20.0","000","key"," ","16.710843373493976","500","250","inst","","","","","",""
"2856"," ","psychophysics","21","129548","0.0-21.0","000","key"," ","16.71764705882353","500","250","instEB0","40","0","0","40","40",""
"9741"," ","psychophysics","22","139293","0.0-22.0","000","key"," ","16.711340206185568","500","250","instEB1","69","0","0","30","70",""
