"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","parA","parB"
"22274","{""pid"":""4276""}","survey-text","0","22287","0.0-0.0","4276","","","","","","","","","","","",""
"4014"," ","psychophysics","1","26310","0.0-1.0","4276","key"," ","16.683632231404953","500","250","inst","","","","","",""
"1756"," ","psychophysics","2","28068","0.0-2.0","4276","key"," ","16.68318269230769","500","250","sample1","","","","","",""
"12878"," ","psychophysics","3","40948","0.0-3.0","4276","key"," ","16.683439688715954","500","250","sample2","102","","","","",""
"2446"," ","psychophysics","4","43396","0.0-4.0","4276","key"," ","16.685054794520575","500","250","sample3","90","","","","",""
"8590"," ","psychophysics","5","51988","0.0-5.0","4276","key"," ","16.683145914396878","500","250","sample4","102","","","","",""
"2142"," ","psychophysics","6","54132","0.0-6.0","4276","key"," ","16.681889763779516","500","250","sample5","","","","","",""
"4492"," ","psychophysics","7","58628","0.0-7.0","4276","key"," ","16.682691449814126","500","250","sample7","500","","","","",""
"3182"," ","psychophysics","8","61812","0.0-8.0","4276","key"," ","16.682810526315773","500","250","inst","","","","","",""
"4910"," ","psychophysics","9","66724","0.0-9.0","4276","key"," ","16.68247781569966","500","250","inst","","","","","",""
"2910"," ","psychophysics","10","69636","0.0-10.0","4276","key"," ","16.68205172413791","500","250","inst","","","","","",""
"3390"," ","psychophysics","11","73028","0.0-11.0","4276","key"," ","16.683579207920786","500","250","inst","","","","","",""
"1150"," ","psychophysics","12","74180","0.0-12.0","4276","key"," ","16.683735294117522","500","250","inst","","","","","",""
"2014"," ","psychophysics","13","76196","0.0-13.0","4276","key"," ","16.68390833333336","500","250","instBr0","-15","0","0","0","300",""
"4766"," ","psychophysics","14","80964","0.0-14.0","4276","key"," ","16.684073684210563","500","250","instBr1","-12","0","0","-40","300",""
"4206"," ","psychophysics","15","85172","0.0-15.0","4276","key"," ","16.68438645418328","500","250","instBr2","-11","0","0","40","300",""
"8718"," ","psychophysics","16","93893","0.0-16.0","4276","key"," ","16.683955938697334","500","250","instBr3","-21","0","0","40","300",""
"701"," ","psychophysics","17","94596","0.0-17.0","4276","key"," ","16.685024390244152","500","250","inst","","","","","",""
"4415"," ","psychophysics","18","99014","0.0-18.0","4276","key"," ","16.682712121212084","500","250","br","-25","-13","16","7","300",""
"4348"," ","psychophysics","19","103364","0.0-19.0","4276","key"," ","16.683154440154404","500","250","br","-21","28","22","-47","300",""
"5166"," ","psychophysics","20","108532","0.0-20.0","4276","key"," ","16.68272491909385","500","250","br","-18","27","11","46","300",""
"3262"," ","psychophysics","21","111796","0.0-21.0","4276","key"," ","16.682789743589744","500","250","br","-29","-15","-25","-31","300",""
"3550"," ","psychophysics","22","115348","0.0-22.0","4276","key"," ","16.68274528301886","500","250","br","-26","16","-30","16","300",""
"9918"," ","psychophysics","23","125268","0.0-23.0","4276","key"," ","16.68328667790896","500","250","br","-10","-25","15","-43","300",""
"5566"," ","psychophysics","24","130836","0.0-24.0","4276","key"," ","16.683306306306342","500","250","br","-21","-25","-7","-15","300",""
"4606"," ","psychophysics","25","135444","0.0-25.0","4276","key"," ","16.684149090909102","500","250","br","-24","26","-5","13","300",""
"5230"," ","psychophysics","26","140676","0.0-26.0","4276","key"," ","16.68355591054316","500","250","br","-21","-11","-7","44","300",""
"4878"," ","psychophysics","27","145556","0.0-27.0","4276","key"," ","16.68304123711345","500","250","br","-19","12","-2","-48","300",""
"3533"," ","psychophysics","28","149092","0.0-28.0","4276","key"," ","16.68165876777245","500","250","br","-26","22","15","-39","300",""
"4046"," ","psychophysics","29","153140","0.0-29.0","4276","key"," ","16.68236363636357","500","250","br","-29","-11","23","-30","300",""
"3758"," ","psychophysics","30","156900","0.0-30.0","4276","key"," ","16.68337053571434","500","250","br","-23","-4","-26","-40","300",""
"6798"," ","psychophysics","31","163700","0.0-31.0","4276","key"," ","16.683825552825507","500","250","br","-16","-11","27","38","300",""
"7614"," ","psychophysics","32","171316","0.0-32.0","4276","key"," ","16.683210989011","500","250","br","-24","-14","9","34","300",""
"1869"," ","psychophysics","33","173189","0.0-33.0","4276","key"," ","16.68311607142849","500","250","inst","","","","","",""
"1245"," ","psychophysics","34","174436","0.0-34.0","4276","key"," ","16.682493150684735","500","250","instEB0","40","0","0","40","40",""
"7772"," ","psychophysics","35","182212","0.0-35.0","4276","key"," ","16.68355913978497","500","250","instEB1","70","0","0","30","70",""
"3197"," ","psychophysics","36","185412","0.0-36.0","4276","key"," ","16.6835706806283","500","250","instEB2","69","0","0","60","40",""
"10494"," ","psychophysics","37","195908","0.0-37.0","4276","key"," ","16.683055732484082","500","250","instEB3","69","0","0","45","65",""
"5707"," ","psychophysics","38","201620","0.0-38.0","4276","key"," ","16.68248538011697","500","250","instEB4","73","0","0","45","65",""
"1006"," ","psychophysics","39","202628","0.0-39.0","4276","key"," ","16.678779661017114","500","250","inst","","","","","",""
"8189"," ","psychophysics","40","210820","0.0-40.0","4276","key"," ","16.683195918367353","500","250","eb","59","0","0","39","53",""
"3869"," ","psychophysics","41","214692","0.0-41.0","4276","key"," ","16.683285714285745","500","250","eb","39","0","0","27","32",""
"4797"," ","psychophysics","42","219492","0.0-42.0","4276","key"," ","16.6831637630662","500","250","eb","50","0","0","26","44",""
"2686"," ","psychophysics","43","222180","0.0-43.0","4276","key"," ","16.68287500000006","500","250","eb","47","0","0","39","43",""
"3759"," ","psychophysics","44","225942","0.0-44.0","4276","key"," ","16.683644444444475","500","250","eb","47","0","0","30","44",""
"2204"," ","psychophysics","45","228148","0.0-45.0","4276","key"," ","16.68232824427488","500","250","eb","37","0","0","30","35",""
"2990"," ","psychophysics","46","231140","0.0-46.0","4276","key"," ","16.682685393258488","500","250","eb","40","0","0","36","40",""
"4254"," ","psychophysics","47","235396","0.0-47.0","4276","key"," ","16.683287401574777","500","250","eb","35","0","0","42","31",""
"3837"," ","psychophysics","48","239238","0.0-48.0","4276","key"," ","16.684621739130385","500","250","eb","32","0","0","34","26",""
"4780"," ","psychophysics","49","244020","0.0-49.0","4276","key"," ","16.683859649122788","500","250","eb","53","0","0","45","51",""
"6638"," ","psychophysics","50","250660","0.0-50.0","4276","key"," ","16.683123425692724","500","250","eb","52","0","0","28","49",""
"5502"," ","psychophysics","51","256164","0.0-51.0","4276","key"," ","16.682963525835888","500","250","eb","38","0","0","43","33",""
"4622"," ","psychophysics","52","260788","0.0-52.0","4276","key"," ","16.68316666666668","500","250","eb","46","0","0","48","40",""
"3855"," ","psychophysics","53","264646","0.0-53.0","4276","key"," ","16.684073593073627","500","250","eb","32","0","0","54","26",""
"4091"," ","psychophysics","54","268740","0.0-54.0","4276","key"," ","16.68320901639336","500","250","eb","44","0","0","48","40",""
