"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","parA","parB"
"1187488","{""pid"":""`4243""}","survey-text","0","1187496","0.0-0.0","`4243","","","","","","","","","","","",""
"1572"," ","psychophysics","1","1189079","0.0-1.0","`4243","key"," ","16.6834421052622","500","250","inst","","","","","",""
"3417"," ","psychophysics","2","1192502","0.0-2.0","`4243","key"," ","16.6833921568628","500","250","sample1","","","","","",""
"12122"," ","psychophysics","3","1204630","0.0-3.0","`4243","key"," ","16.683358126721785","500","250","sample2","100","","","","",""
"8490"," ","psychophysics","4","1213126","0.0-4.0","`4243","key"," ","16.6833536345777","500","250","sample3","98","","","","",""
"7437"," ","psychophysics","5","1220566","0.0-5.0","`4243","key"," ","16.68333033707851","500","250","sample4","102","","","","",""
"10589"," ","psychophysics","6","1231158","0.0-6.0","`4243","key"," ","16.683371248025313","500","250","sample5","","","","","",""
"10125"," ","psychophysics","7","1241288","0.0-7.0","`4243","key"," ","16.6833031301481","500","250","sample7","502","","","","",""
"4171"," ","psychophysics","8","1245462","0.0-8.0","`4243","key"," ","16.683341365461853","500","250","inst","","","","","",""
"2797"," ","psychophysics","9","1248262","0.0-9.0","`4243","key"," ","16.683377245509394","500","250","inst","","","","","",""
"5214"," ","psychophysics","10","1253478","0.0-10.0","`4243","key"," ","16.683279742765272","500","250","inst","","","","","",""
"2188"," ","psychophysics","11","1255670","0.0-11.0","`4243","key"," ","16.683603053434418","500","250","inst","","","","","",""
"1629"," ","psychophysics","12","1257303","0.0-12.0","`4243","key"," ","16.68310309278529","500","250","inst","","","","","",""
"3996"," ","psychophysics","13","1261302","0.0-13.0","`4243","key"," ","16.68349159663903","500","250","instBr0","-15","0","0","0","300",""
"9595"," ","psychophysics","14","1270902","0.0-14.0","`4243","key"," ","16.683356521739423","500","250","instBr1","-11","0","0","-40","300",""
"5230"," ","psychophysics","15","1276134","0.0-15.0","`4243","key"," ","16.683368589743996","500","250","instBr2","-15","0","0","40","300",""
"7579"," ","psychophysics","16","1283718","0.0-16.0","`4243","key"," ","16.68329735682859","500","250","instBr3","-10","0","0","40","300",""
"1150"," ","psychophysics","17","1284870","0.0-17.0","`4243","key"," ","16.683823529411764","500","250","inst","","","","","",""
"3870"," ","psychophysics","18","1288742","0.0-18.0","`4243","key"," ","16.683506493507057","500","250","br","-19","22","17","-2","300",""
"4318"," ","psychophysics","19","1293062","0.0-19.0","`4243","key"," ","16.683441860465038","500","250","br","-19","29","-29","-47","300",""
"4734"," ","psychophysics","20","1297798","0.0-20.0","`4243","key"," ","16.683268551236715","500","250","br","-12","27","-12","13","300",""
"4030"," ","psychophysics","21","1301830","0.0-21.0","`4243","key"," ","16.683348547717504","500","250","br","-8","23","-20","-2","300",""
"3645"," ","psychophysics","22","1305478","0.0-22.0","`4243","key"," ","16.683299539170832","500","250","br","-14","11","23","-44","300",""
"4285"," ","psychophysics","23","1309766","0.0-23.0","`4243","key"," ","16.68335546874914","500","250","br","-12","-23","-17","-40","300",""
"3950"," ","psychophysics","24","1313718","0.0-24.0","`4243","key"," ","16.683220338983013","500","250","br","-7","23","-26","27","300",""
"5806"," ","psychophysics","25","1319526","0.0-25.0","`4243","key"," ","16.68335734870317","500","250","br","-20","-26","-19","-41","300",""
"5710"," ","psychophysics","26","1325238","0.0-26.0","`4243","key"," ","16.6833596491229","500","250","br","-1","22","24","39","300",""
"1934"," ","psychophysics","27","1327173","0.0-27.0","`4243","key"," ","16.683295652173136","500","250","br","-21","3","-28","-21","300",""
"3486"," ","psychophysics","28","1330661","0.0-28.0","`4243","key"," ","16.683346153845868","500","250","br","-19","-18","-3","13","300",""
"3437"," ","psychophysics","29","1334101","0.0-29.0","`4243","key"," ","16.683380487805415","500","250","br","-8","-14","-26","22","300",""
"4670"," ","psychophysics","30","1338773","0.0-30.0","`4243","key"," ","16.68337634408606","500","250","br","-5","24","-26","23","300",""
"4190"," ","psychophysics","31","1342965","0.0-31.0","`4243","key"," ","16.6835","500","250","br","-12","28","-9","1","300",""
"1134"," ","psychophysics","32","1344101","0.0-32.0","`4243","key"," ","16.683313432837657","500","250","br","-17","12","-27","-16","300",""
"1597"," ","psychophysics","33","1345701","0.0-33.0","`4243","key"," ","16.683736842106047","500","250","inst","","","","","",""
"2446"," ","psychophysics","34","1348149","0.0-34.0","`4243","key"," ","16.683191780820618","500","250","instEB0","40","0","0","40","40",""
"18062"," ","psychophysics","35","1366213","0.0-35.0","`4243","key"," ","16.68337800369689","500","250","instEB1","71","0","0","30","70",""
"9150"," ","psychophysics","36","1375365","0.0-36.0","`4243","key"," ","16.68333820840965","500","250","instEB2","43","0","0","60","40",""
"6651"," ","psychophysics","37","1382021","0.0-37.0","`4243","key"," ","16.68345226130645","500","250","instEB3","71","0","0","45","65",""
"7757"," ","psychophysics","38","1389781","0.0-38.0","`4243","key"," ","16.6833857758621","500","250","instEB4","74","0","0","45","65",""
"1468"," ","psychophysics","39","1391253","0.0-39.0","`4243","key"," ","16.68332954545357","500","250","inst","","","","","",""
"6061"," ","psychophysics","40","1397317","0.0-40.0","`4243","key"," ","16.683290055248687","500","250","eb","53","0","0","30","44",""
"5469"," ","psychophysics","41","1402789","0.0-41.0","`4243","key"," ","16.68344036697279","500","250","eb","40","0","0","32","31",""
"5213"," ","psychophysics","42","1408005","0.0-42.0","`4243","key"," ","16.68324679487164","500","250","eb","63","0","0","25","52",""
"4990"," ","psychophysics","43","1412997","0.0-43.0","`4243","key"," ","16.683302013422267","500","250","eb","54","0","0","31","48",""
"2589"," ","psychophysics","44","1415589","0.0-44.0","`4243","key"," ","16.683337662337262","500","250","eb","42","0","0","41","33",""
"4939"," ","psychophysics","45","1420533","0.0-45.0","`4243","key"," ","16.683351351351735","500","250","eb","61","0","0","48","53",""
"6461"," ","psychophysics","46","1426997","0.0-46.0","`4243","key"," ","16.683406735751102","500","250","eb","60","0","0","25","54",""
"4110"," ","psychophysics","47","1431110","0.0-47.0","`4243","key"," ","16.68327642276474","500","250","eb","52","0","0","51","44",""
"4429"," ","psychophysics","48","1435541","0.0-48.0","`4243","key"," ","16.683356060606787","500","250","eb","46","0","0","29","37",""
"4652"," ","psychophysics","49","1440197","0.0-49.0","`4243","key"," ","16.68333812949596","500","250","eb","43","0","0","28","37",""
"1995"," ","psychophysics","50","1442197","0.0-50.0","`4243","key"," ","16.683109243697793","500","250","eb","49","0","0","40","40",""
"3245"," ","psychophysics","51","1445445","0.0-51.0","`4243","key"," ","16.683335051546592","500","250","eb","63","0","0","31","52",""
"4047"," ","psychophysics","52","1449494","0.0-52.0","`4243","key"," ","16.68357438016548","500","250","eb","42","0","0","25","42",""
"2972"," ","psychophysics","53","1452468","0.0-53.0","`4243","key"," ","16.683220338982682","500","250","eb","45","0","0","35","44",""
"3693"," ","psychophysics","54","1456164","0.0-54.0","`4243","key"," ","16.683500000000507","500","250","eb","32","0","0","54","29",""
"1452"," ","psychophysics","55","1457620","0.0-55.0","`4243","key"," ","16.68339080459588","500","250","inst","","","","","",""
"13566"," ","psychophysics","56","1471188","0.0-56.0","`4243","key"," ","16.68337315270933","500","250","instBis0","152","0","0","110","150",""
"4880"," ","psychophysics","57","1476070","0.0-57.0","`4243","key"," ","16.683458904109813","500","250","instBis1","134","0","0","110","150",""
"8828"," ","psychophysics","58","1484901","0.0-58.0","`4243","key"," ","16.6833106060605","500","250","instBis2","126","21","0","136","152",""
"653"," ","psychophysics","59","1485556","0.0-59.0","`4243","key"," ","16.68407894737136","500","250","inst","","","","","",""
"4142"," ","psychophysics","60","1489700","0.0-60.0","`4243","key"," ","16.683258064516497","500","250","bis","200","6","23","284","224",""
"3358"," ","psychophysics","61","1493060","0.0-61.0","`4243","key"," ","16.683490000000457","500","250","bis","105","-11","29","111","109",""
"3838"," ","psychophysics","62","1496900","0.0-62.0","`4243","key"," ","16.683353711789938","500","250","bis","142","23","1","160","148",""
"6734"," ","psychophysics","63","1503636","0.0-63.0","`4243","key"," ","16.683357320099645","500","250","bis","219","3","6","139","281",""
"3502"," ","psychophysics","64","1507139","0.0-64.0","`4243","key"," ","16.68322488038275","500","250","bis","136","27","10","126","166",""
"3886"," ","psychophysics","65","1511027","0.0-65.0","`4243","key"," ","16.683383620689334","500","250","bis","186","-14","27","240","194",""
"2702"," ","psychophysics","66","1513732","0.0-66.0","`4243","key"," ","16.683267080745665","500","250","bis","209","-21","22","271","223",""
"4750"," ","psychophysics","67","1518484","0.0-67.0","`4243","key"," ","16.683366197183513","500","250","bis","170","-4","-21","128","241",""
"3086"," ","psychophysics","68","1521572","0.0-68.0","`4243","key"," ","16.68352173913002","500","250","bis","146","-20","8","158","138",""
"6990"," ","psychophysics","69","1528564","0.0-69.0","`4243","key"," ","16.683361244019185","500","250","bis","123","6","19","291","120",""
"2894"," ","psychophysics","70","1531460","0.0-70.0","`4243","key"," ","16.683346820809486","500","250","bis","176","-16","21","160","196",""
"5502"," ","psychophysics","71","1536964","0.0-71.0","`4243","key"," ","16.683300911853696","500","250","bis","231","-16","-15","293","261",""
"4414"," ","psychophysics","72","1541379","0.0-72.0","`4243","key"," ","16.683463878326734","500","250","bis","212","25","19","236","267",""
"7070"," ","psychophysics","73","1548452","0.0-73.0","`4243","key"," ","16.683300236406808","500","250","bis","112","22","15","294","105",""
"3342"," ","psychophysics","74","1551796","0.0-74.0","`4243","key"," ","16.683225000000093","500","250","bis","152","25","-9","256","153",""
"1934"," ","psychophysics","75","1553732","0.0-75.0","`4243","key"," ","16.683156521739843","500","250","inst","","","","","",""
"1726"," ","psychophysics","76","1555460","0.0-76.0","`4243","key"," ","16.683352941176945","500","250","instZol0","0","0","0","0","",""
"10366"," ","psychophysics","77","1565828","0.0-77.0","`4243","key"," ","16.6833091787439","500","250","instZol1","-1.942890293094024e-16","0","0","-1.3","",""
"17516"," ","psychophysics","78","1583347","0.0-78.0","`4243","key"," ","16.6833641563393","500","250","instZol2","-1.4999999999999996","0","0","2","",""
"702"," ","psychophysics","79","1584051","0.0-79.0","`4243","key"," ","16.68353658536926","500","250","inst","","","","","",""
"8556"," ","psychophysics","80","1592611","0.0-80.0","`4243","key"," ","16.683400390624683","500","250","zol","-0.43000000000000016","-11","-2","0.63","",""
"8831"," ","psychophysics","81","1601445","0.0-81.0","`4243","key"," ","16.68330056710778","500","250","zol","-1.5200000000000005","19","13","-0.08","",""
"7514"," ","psychophysics","82","1608963","0.0-82.0","`4243","key"," ","16.683367483296074","500","250","zol","-1.4300000000000004","28","14","-0.67","",""
"5212"," ","psychophysics","83","1614179","0.0-83.0","`4243","key"," ","16.68335256410258","500","250","zol","-1.4100000000000004","30","-7","0.51","",""
"5549"," ","psychophysics","84","1619731","0.0-84.0","`4243","key"," ","16.683370481927582","500","250","zol","-1.6600000000000004","-20","25","0.46","",""
"4908"," ","psychophysics","85","1624643","0.0-85.0","`4243","key"," ","16.683385665528476","500","250","zol","-0.08999999999999986","-5","3","-0.11","",""
"6925"," ","psychophysics","86","1631572","0.0-86.0","`4243","key"," ","16.68340096618319","500","250","zol","-1.9400000000000008","-25","-1","-0.36","",""
"5931"," ","psychophysics","87","1637507","0.0-87.0","`4243","key"," ","16.683278873239473","500","250","zol","-0.6499999999999999","-5","25","0.45","",""
"4845"," ","psychophysics","88","1642355","0.0-88.0","`4243","key"," ","16.683375862068978","500","250","zol","-0.9699999999999999","-6","24","-0.03","",""
"2605"," ","psychophysics","89","1644963","0.0-89.0","`4243","key"," ","16.683496774193802","500","250","zol","-1.4100000000000004","-18","-18","0.31","",""
"2077"," ","psychophysics","90","1647043","0.0-90.0","`4243","key"," ","16.68361290322519","500","250","zol","-1.6000000000000003","3","-11","0.3","",""
"2637"," ","psychophysics","91","1649683","0.0-91.0","`4243","key"," ","16.683191082802168","500","250","zol","-1.9000000000000006","13","-27","0.6","",""
"2559"," ","psychophysics","92","1652245","0.0-92.0","`4243","key"," ","16.6833398692809","500","250","zol","-1.6200000000000006","22","19","0.02","",""
"3517"," ","psychophysics","93","1655766","0.0-93.0","`4243","key"," ","16.683366666666586","500","250","zol","-1.5000000000000002","8","-15","0","",""
"3995"," ","psychophysics","94","1659763","0.0-94.0","`4243","key"," ","16.683399159663765","500","250","zol","-1.12","-6","7","-0.38","",""
"702"," ","psychophysics","95","1660468","0.0-95.0","`4243","key"," ","16.682536585370034","500","250","inst","","","","","",""
"5211"," ","psychophysics","96","1665683","0.0-96.0","`4243","key"," ","16.683371794871235","500","250","instPz0","50","","","50","50",""
"5918"," ","psychophysics","97","1671603","0.0-97.0","`4243","key"," ","16.68335310734498","500","250","instPz1","50","","","25","50",""
"4302"," ","psychophysics","98","1675908","0.0-98.0","`4243","key"," ","16.683361867703642","500","250","instPz2","29","","","15","25",""
"6604"," ","psychophysics","99","1682515","0.0-99.0","`4243","key"," ","16.683379746834994","500","250","instPz3","36","","","15","25",""
"5805"," ","psychophysics","100","1688323","0.0-100.0","`4243","key"," ","16.683308357348725","500","250","instPz4","42","","","15","30",""
"702"," ","psychophysics","101","1689027","0.0-101.0","`4243","key"," ","16.683024390242856","500","250","inst","","","","","",""
"8413"," ","psychophysics","102","1697443","0.0-102.0","`4243","key"," ","16.683359126984012","500","250","pz","63","","","15","48",""
"5038"," ","psychophysics","103","1702483","0.0-103.0","`4243","key"," ","16.683388704319555","500","250","pz","33","","","15","20",""
"4638"," ","psychophysics","104","1707123","0.0-104.0","`4243","key"," ","16.68338628158911","500","250","pz","72","","","15","57",""
"5614"," ","psychophysics","105","1712739","0.0-105.0","`4243","key"," ","16.683434523809062","500","250","pz","41","","","15","31",""
"5212"," ","psychophysics","106","1717955","0.0-106.0","`4243","key"," ","16.68339228295868","500","250","pz","60","","","15","58",""
"4542"," ","psychophysics","107","1722499","0.0-107.0","`4243","key"," ","16.68327941176454","500","250","pz","49","","","15","36",""
"2861"," ","psychophysics","108","1725363","0.0-108.0","`4243","key"," ","16.68340000000043","500","250","pz","45","","","15","28",""
"4318"," ","psychophysics","109","1729683","0.0-109.0","`4243","key"," ","16.683507751937878","500","250","pz","79","","","15","60",""
"2862"," ","psychophysics","110","1732547","0.0-110.0","`4243","key"," ","16.68359649122818","500","250","pz","40","","","15","25",""
"3726"," ","psychophysics","111","1736275","0.0-111.0","`4243","key"," ","16.683373873874018","500","250","pz","43","","","15","26",""
"3868"," ","psychophysics","112","1740147","0.0-112.0","`4243","key"," ","16.683363636363968","500","250","pz","73","","","15","43",""
"3004"," ","psychophysics","113","1743155","0.0-113.0","`4243","key"," ","16.683538888887657","500","250","pz","42","","","15","28",""
"3199"," ","psychophysics","114","1746356","0.0-114.0","`4243","key"," ","16.68322513089028","500","250","pz","52","","","15","32",""
"4492"," ","psychophysics","115","1750850","0.0-115.0","`4243","key"," ","16.68325746268618","500","250","pz","55","","","15","42",""
"5102"," ","psychophysics","116","1755955","0.0-116.0","`4243","key"," ","16.683360655737857","500","250","pz","65","","","15","43",""
"990"," ","psychophysics","117","1756947","0.0-117.0","`4243","key"," ","16.6835000000027","500","250","inst","","","","","",""
"6316"," ","psychophysics","118","1763267","0.0-118.0","`4243","key"," ","16.683357142856856","500","250","instTilt0","-5","","","-5","-5","2"
"8798"," ","psychophysics","119","1772067","0.0-119.0","`4243","key"," ","16.683337760911158","500","250","instTilt1","-5","","","5","-5","2"
"5869"," ","psychophysics","120","1777939","0.0-120.0","`4243","key"," ","16.68335897435946","500","250","instTilt2","-7","","","5","-5","2"
"4397"," ","psychophysics","121","1782339","0.0-121.0","`4243","key"," ","16.683469465649367","500","250","instTilt","7","","","","9","2"
"7708"," ","psychophysics","122","1790051","0.0-122.0","`4243","key"," ","16.683287878787887","500","250","instTilt","5","","","","9","1"
"1198"," ","psychophysics","123","1791251","0.0-123.0","`4243","key"," ","16.683535211267028","500","250","inst","","","","","",""
"7118"," ","psychophysics","124","1798371","0.0-124.0","`4243","key"," ","16.68331058823558","500","250","tilt","2","","","","0","0"
"4844"," ","psychophysics","125","1803219","0.0-125.0","`4243","key"," ","16.683444827585483","500","250","tilt","1","","","","2","0"
"3390"," ","psychophysics","126","1806611","0.0-126.0","`4243","key"," ","16.683371287128555","500","250","tilt","-3","","","","-4","0"
"4812"," ","psychophysics","127","1811426","0.0-127.0","`4243","key"," ","16.68334375000025","500","250","tilt","-6","","","","-7","1"
"4925"," ","psychophysics","128","1816354","0.0-128.0","`4243","key"," ","16.683391156462243","500","250","tilt","-7","","","","-6","1"
