"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","parA","parB"
"6590"," ","psychophysics","49","1714927","0.0-49.0"," 4268","key"," ","16.683403553299343","500","250","eb","40","0","0","25","34",""
"6990"," ","psychophysics","50","1721919","0.0-50.0"," 4268","key"," ","16.683361244019185","500","250","eb","32","0","0","29","25",""
"9214"," ","psychophysics","51","1731135","0.0-51.0"," 4268","key"," ","16.683303085299457","500","250","eb","54","0","0","33","50",""
"3630"," ","psychophysics","52","1734767","0.0-52.0"," 4268","key"," ","16.683290322581605","500","250","eb","49","0","0","52","45",""
"5438"," ","psychophysics","53","1740207","0.0-53.0"," 4268","key"," ","16.684089230768954","500","250","eb","42","0","0","32","37",""
"3006"," ","psychophysics","54","1743215","0.0-54.0"," 4268","key"," ","16.683374301676103","500","250","eb","56","0","0","54","53",""
"1372"," ","psychophysics","55","1744591","0.0-55.0"," 4268","key"," ","16.682146341463255","500","250","inst","","","","","",""
"10350"," ","psychophysics","56","1754942","0.0-56.0"," 4268","key"," ","16.683363489499346","500","250","instBis0","146","0","0","110","150",""
"10958"," ","psychophysics","57","1765903","0.0-57.0"," 4268","key"," ","16.683327743902492","500","250","instBis1","132","0","0","110","150",""
"11710"," ","psychophysics","58","1777615","0.0-58.0"," 4268","key"," ","16.683348074179747","500","250","instBis2","99","-23","22","117","119",""
"1294"," ","psychophysics","59","1778911","0.0-59.0"," 4268","key"," ","16.683207792208783","500","250","inst","","","","","",""
"7391"," ","psychophysics","60","1786303","0.0-60.0"," 4268","key"," ","16.68331900452489","500","250","bis","117","-7","26","185","132",""
"5296"," ","psychophysics","61","1791600","0.0-61.0"," 4268","key"," ","16.68275394321754","500","250","bis","151","4","0","121","204",""
"12044"," ","psychophysics","62","1803646","0.0-62.0"," 4268","key"," ","16.683373092926573","500","250","bis","211","-5","23","177","256",""
"9391"," ","psychophysics","63","1813039","0.0-63.0"," 4268","key"," ","16.683437722419832","500","250","bis","128","13","3","238","143",""
"6190"," ","psychophysics","64","1819230","0.0-64.0"," 4268","key"," ","16.68407297297318","500","250","bis","275","28","-25","211","285",""
"7758"," ","psychophysics","65","1826990","0.0-65.0"," 4268","key"," ","16.683086206896657","500","250","bis","200","27","7","282","209",""
"12366"," ","psychophysics","66","1839358","0.0-66.0"," 4268","key"," ","16.6833283783783","500","250","bis","190","8","11","290","208",""
"7983"," ","psychophysics","67","1847342","0.0-67.0"," 4268","key"," ","16.682847280334876","500","250","bis","130","-4","-23","230","160",""
"6446"," ","psychophysics","68","1853790","0.0-68.0"," 4268","key"," ","16.68275064935049","500","250","bis","123","-10","9","267","120",""
"4830"," ","psychophysics","69","1858622","0.0-69.0"," 4268","key"," ","16.68337024221435","500","250","bis","175","-10","-23","237","194",""
"11488"," ","psychophysics","70","1870112","0.0-70.0"," 4268","key"," ","16.683329941860542","500","250","bis","170","-10","-17","288","212",""
"5869"," ","psychophysics","71","1875982","0.0-71.0"," 4268","key"," ","16.68342857142844","500","250","bis","134","-28","-15","162","156",""
"10348"," ","psychophysics","72","1886334","0.0-72.0"," 4268","key"," ","16.683711290322695","500","250","bis","198","29","17","204","249",""
"8878"," ","psychophysics","73","1895214","0.0-73.0"," 4268","key"," ","16.68373069679847","500","250","bis","204","16","-18","204","261",""
"4750"," ","psychophysics","74","1899966","0.0-74.0"," 4268","key"," ","16.68248943661989","500","250","bis","141","-2","-6","151","167",""
"5199"," ","psychophysics","75","1905166","0.0-75.0"," 4268","key"," ","16.683723472668923","500","250","inst","","","","","",""
