"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","taskPar","trial_type","trial_index","time_elapsed","internal_node_id","resp","pid","sid"
"7700","key"," "," ","16.668434782608696","500","250","bis","{""targetLen"":118,""respLen"":227,""x"":-9,""y"":-4}","psychophysics","0","7706","0.0-0.0","95","1","45"
"1086","key"," "," ","16.668125000000003","500","250","inst","","psychophysics","1","8795","0.0-1.0","","1","45"
"4779","key"," "," ","16.668780487804874","500","250","zol","{""start"":-0.45,""x"":-29,""y"":24}","psychophysics","2","13587","0.0-2.0","-1.8500000000000005","1","45"
"2419","key"," "," ","16.667777777777776","500","250","zol","{""start"":-0.28,""x"":-27,""y"":-3}","psychophysics","3","16011","0.0-3.0","-1.2200000000000002","1","45"
