"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","task","trial_type","trial_index","time_elapsed","internal_node_id","pid","start","jitterX","jitterY","parA","resp"
"333","key"," "," ","6.944574468085106","500","250","inst","psychophysics","0","333","0.0-0.0","","","","","",""
"207","key"," "," ","6.945413793103449","500","250","instEB0","psychophysics","1","541","0.0-1.0","","40","0","0","40","40"
"189","key"," "," ","6.945461538461538","500","250","instEB1","psychophysics","2","730","0.0-2.0","","30","0","0","70","30"
"184","key"," "," ","6.945769230769232","500","250","instEB2","psychophysics","3","915","0.0-3.0","","60","0","0","40","60"
"258","key"," "," ","6.936277777777775","500","250","instEB3","psychophysics","4","1174","0.0-4.0","","45","0","0","65","45"
"303","key"," "," ","6.945720930232556","500","250","instEB4","psychophysics","5","1478","0.0-5.0","","45","0","0","65","45"
"375","key"," "," ","6.94598113207547","500","250","inst","psychophysics","6","1853","0.0-6.0","","","","","",""
"697","key"," "," ","7.016571428571426","500","250","eb","psychophysics","7","2551","0.0-7.0","","25","0","0","54","25"
"415","key"," "," ","6.9453898305084785","500","250","eb","psychophysics","8","2967","0.0-8.0","","25","0","0","50","25"
