"rt","response","trial_type","trial_index","time_elapsed","internal_node_id","pid","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","jitterX","jitterY","start","parA","parB"
"5875","{""pid"":""4207""}","survey-text","0","5887","0.0-0.0","4207","","","","","","","","","","","",""
"16605"," ","psychophysics","1","22502","0.0-1.0","4207","key"," ","16.683602409638556","500","250","inst","","","","","",""
"2173"," ","psychophysics","2","24677","0.0-2.0","4207","key"," ","16.684736434108544","500","250","sample1","","","","","",""
"13083"," ","psychophysics","3","37765","0.0-3.0","4207","key"," ","16.683704081632655","500","250","sample2","98","","","","",""
"5630"," ","psychophysics","4","43397","0.0-4.0","4207","key"," ","16.683446428571425","500","250","sample3","104","","","","",""
"9116"," ","psychophysics","5","52517","0.0-5.0","4207","key"," ","16.68325457875458","500","250","sample4","100","","","","",""
"3246"," ","psychophysics","6","55765","0.0-6.0","4207","key"," ","16.683237113402036","500","250","sample5","","","","","",""
"5886"," ","psychophysics","7","61653","0.0-7.0","4207","key"," ","16.68351704545454","500","250","sample7","502","","","","",""
"3600"," ","psychophysics","8","65255","0.0-8.0","4207","key"," ","16.684548837209302","500","250","inst","","","","","",""
"748"," ","psychophysics","9","66005","0.0-9.0","4207","key"," ","16.683545454545477","500","250","inst","","","","","",""
"5614"," ","psychophysics","10","71621","0.0-10.0","4207","key"," ","16.6832328358209","500","250","inst","","","","","",""
"4014"," ","psychophysics","11","75638","0.0-11.0","4207","key"," ","16.682866666666634","500","250","inst","","","","","",""
"2127"," ","psychophysics","12","77767","0.0-12.0","4207","key"," ","16.684094488189015","500","250","inst","","","","","",""
"4060"," ","psychophysics","13","81829","0.0-13.0","4207","key"," ","16.684115702479325","500","250","instBr0","-13","0","0","0","300",""
"4030"," ","psychophysics","14","85861","0.0-14.0","4207","key"," ","16.68290456431536","500","250","instBr1","-22","0","0","-40","300",""
"4800"," ","psychophysics","15","90663","0.0-15.0","4207","key"," ","16.683153310104537","500","250","instBr2","-17","0","0","40","300",""
"6443"," ","psychophysics","16","97109","0.0-16.0","4207","key"," ","16.68365714285714","500","250","instBr3","-12","0","0","40","300",""
"1262"," ","psychophysics","17","98373","0.0-17.0","4207","key"," ","16.685599999999976","500","250","inst","","","","","",""
"2048"," ","psychophysics","18","100423","0.0-18.0","4207","key"," ","16.683877049180364","500","250","br","-11","-3","-23","13","300",""
"1868"," ","psychophysics","19","102293","0.0-19.0","4207","key"," ","16.68597297297294","500","250","br","-27","12","6","-49","300",""
"1278"," ","psychophysics","20","103573","0.0-20.0","4207","key"," ","16.685453333333328","500","250","br","-21","-5","8","-21","300",""
"2397"," ","psychophysics","21","105973","0.0-21.0","4207","key"," ","16.685195804195754","500","250","br","-25","-8","-22","-41","300",""
"4238"," ","psychophysics","22","110213","0.0-22.0","4207","key"," ","16.68430434782609","500","250","br","-9","18","16","37","300",""
"1532"," ","psychophysics","23","111749","0.0-23.0","4207","key"," ","16.68561538461526","500","250","br","-14","13","-15","3","300",""
"4013"," ","psychophysics","24","115765","0.0-24.0","4207","key"," ","16.683970833333298","500","250","br","-16","-27","-4","27","300",""
"1823"," ","psychophysics","25","117590","0.0-25.0","4207","key"," ","16.68578899082559","500","250","br","-27","-11","-14","-38","300",""
"3821"," ","psychophysics","26","121413","0.0-26.0","4207","key"," ","16.683280701754388","500","250","br","-12","22","4","27","300",""
"2238"," ","psychophysics","27","123653","0.0-27.0","4207","key"," ","16.683691729323286","500","250","br","-28","-8","-9","-35","300",""
"2638"," ","psychophysics","28","126293","0.0-28.0","4207","key"," ","16.68228662420386","500","250","br","-14","17","23","10","300",""
"894"," ","psychophysics","29","127189","0.0-29.0","4207","key"," ","16.683849056603613","500","250","br","-28","-7","13","-28","300",""
"4174"," ","psychophysics","30","131365","0.0-30.0","4207","key"," ","16.683301204819248","500","250","br","-15","15","6","48","300",""
"2878"," ","psychophysics","31","134245","0.0-31.0","4207","key"," ","16.683604651162717","500","250","br","-16","6","14","31","300",""
"1165"," ","psychophysics","32","135413","0.0-32.0","4207","key"," ","16.687173913043598","500","250","br","-19","-9","11","-19","300",""
"1838"," ","psychophysics","33","137253","0.0-33.0","4207","key"," ","16.683963302752257","500","250","inst","","","","","",""
"2494"," ","psychophysics","34","139749","0.0-34.0","4207","key"," ","16.684744966442967","500","250","instEB0","40","0","0","40","40",""
"4158"," ","psychophysics","35","143909","0.0-35.0","4207","key"," ","16.683826612903253","500","250","instEB1","69","0","0","30","70",""
"6430"," ","psychophysics","36","150341","0.0-36.0","4207","key"," ","16.682485714285672","500","250","instEB2","59","0","0","60","40",""
"5646"," ","psychophysics","37","155989","0.0-37.0","4207","key"," ","16.683400593471845","500","250","instEB3","68","0","0","45","65",""
"5630"," ","psychophysics","38","161621","0.0-38.0","4207","key"," ","16.683439169139433","500","250","instEB4","71","0","0","45","65",""
"1326"," ","psychophysics","39","162949","0.0-39.0","4207","key"," ","16.680974358974474","500","250","inst","","","","","",""
"2908"," ","psychophysics","40","165861","0.0-40.0","4207","key"," ","16.68187931034481","500","250","eb","62","0","0","35","49",""
"1597"," ","psychophysics","41","167461","0.0-41.0","4207","key"," ","16.680442105263385","500","250","eb","44","0","0","34","33",""
"1790"," ","psychophysics","42","169253","0.0-42.0","4207","key"," ","16.683716981132232","500","250","eb","54","0","0","54","50",""
"2014"," ","psychophysics","43","171269","0.0-43.0","4207","key"," ","16.68151666666672","500","250","eb","43","0","0","33","36",""
"1902"," ","psychophysics","44","173173","0.0-44.0","4207","key"," ","16.681203539822967","500","250","eb","39","0","0","31","30",""
"2158"," ","psychophysics","45","175333","0.0-45.0","4207","key"," ","16.685007751937828","500","250","eb","49","0","0","52","33",""
"1502"," ","psychophysics","46","176836","0.0-46.0","4207","key"," ","16.686460674157317","500","250","eb","45","0","0","41","40",""
"3982"," ","psychophysics","47","180820","0.0-47.0","4207","key"," ","16.68304621848728","500","250","eb","61","0","0","47","52",""
"2846"," ","psychophysics","48","183668","0.0-48.0","4207","key"," ","16.684289940828513","500","250","eb","34","0","0","24","25",""
"1611"," ","psychophysics","49","185284","0.0-49.0","4207","key"," ","16.68319791666666","500","250","eb","40","0","0","32","31",""
"1550"," ","psychophysics","50","186836","0.0-50.0","4207","key"," ","16.682347826086776","500","250","eb","46","0","0","33","40",""
"1839"," ","psychophysics","51","188678","0.0-51.0","4207","key"," ","16.68138181818173","500","250","eb","49","0","0","38","38",""
"1949"," ","psychophysics","52","190630","0.0-52.0","4207","key"," ","16.682896551724266","500","250","eb","50","0","0","51","34",""
"2734"," ","psychophysics","53","193366","0.0-53.0","4207","key"," ","16.684877300613554","500","250","eb","47","0","0","27","42",""
"1692"," ","psychophysics","54","195060","0.0-54.0","4207","key"," ","16.684959999999847","500","250","eb","56","0","0","45","40",""
"973"," ","psychophysics","55","196036","0.0-55.0","4207","key"," ","16.682465517241607","500","250","inst","","","","","",""
"7774"," ","psychophysics","56","203812","0.0-56.0","4207","key"," ","16.682810752688198","500","250","instBis0","152","0","0","110","150",""
"6878"," ","psychophysics","57","210693","0.0-57.0","4207","key"," ","16.68309489051097","500","250","instBis1","140","0","0","110","150",""
"4206"," ","psychophysics","58","214900","0.0-58.0","4207","key"," ","16.68360956175303","500","250","instBis2","140","-5","-8","176","147",""
"845"," ","psychophysics","59","215748","0.0-59.0","4207","key"," ","16.68890000000014","500","250","inst","","","","","",""
"1918"," ","psychophysics","60","217668","0.0-60.0","4207","key"," ","16.684815789473586","500","250","bis","234","29","-15","284","215",""
"4558"," ","psychophysics","61","222228","0.0-61.0","4207","key"," ","16.68324175824174","500","250","bis","215","-7","-5","267","242",""
"4958"," ","psychophysics","62","227188","0.0-62.0","4207","key"," ","16.68293581081073","500","250","bis","88","6","-26","188","117",""
"4063"," ","psychophysics","63","231253","0.0-63.0","4207","key"," ","16.682341563786043","500","250","bis","156","-2","4","280","209",""
"1245"," ","psychophysics","64","232500","0.0-64.0","4207","key"," ","16.683082191781093","500","250","bis","215","0","-4","217","278",""
"2013"," ","psychophysics","65","234516","0.0-65.0","4207","key"," ","16.681725000000007","500","250","bis","132","-6","2","152","224",""
"4142"," ","psychophysics","66","238660","0.0-66.0","4207","key"," ","16.68320564516128","500","250","bis","88","9","7","270","123",""
"3646"," ","psychophysics","67","242308","0.0-67.0","4207","key"," ","16.683875576036925","500","250","bis","228","10","17","114","296",""
"2686"," ","psychophysics","68","244996","0.0-68.0","4207","key"," ","16.682374999999958","500","250","bis","196","-1","9","230","273",""
"3389"," ","psychophysics","69","248388","0.0-69.0","4207","key"," ","16.683068965517243","500","250","bis","132","5","-18","100","192",""
"5614"," ","psychophysics","70","254004","0.0-70.0","4207","key"," ","16.68360597014926","500","250","bis","150","9","-12","208","206",""
"2702"," ","psychophysics","71","256708","0.0-71.0","4207","key"," ","16.685105590062086","500","250","bis","90","8","-7","166","106",""
"1469"," ","psychophysics","72","258180","0.0-72.0","4207","key"," ","16.686340909090756","500","250","bis","80","8","28","112","129",""
"3262"," ","psychophysics","73","261444","0.0-73.0","4207","key"," ","16.68481958762892","500","250","bis","195","18","30","197","282",""
"1006"," ","psychophysics","74","262452","0.0-74.0","4207","key"," ","16.685799999999777","500","250","bis","164","-7","-26","170","214",""
"1214"," ","psychophysics","75","263669","0.0-75.0","4207","key"," ","16.6865000000002","500","250","inst","","","","","",""
"11006"," ","psychophysics","76","274676","0.0-76.0","4207","key"," ","16.683636778115567","500","250","instZol0","0","0","0","0","",""
"7836"," ","psychophysics","77","282516","0.0-77.0","4207","key"," ","16.683567164179216","500","250","instZol1","-2.7755575615628914e-17","0","0","-1.3","",""
"24379"," ","psychophysics","78","306901","0.0-78.0","4207","key"," ","16.683373032169783","500","250","instZol2","-1.5","0","0","2","",""
"638"," ","psychophysics","79","307541","0.0-79.0","4207","key"," ","16.681324324323608","500","250","inst","","","","","",""
"4621"," ","psychophysics","80","312165","0.0-80.0","4207","key"," ","16.6831413043479","500","250","zol","-1.24","9","14","-0.66","",""
"3196"," ","psychophysics","81","315365","0.0-81.0","4207","key"," ","16.683623036649138","500","250","zol","-1.15","-9","18","0.05","",""
"1693"," ","psychophysics","82","317061","0.0-82.0","4207","key"," ","16.68169306930717","500","250","zol","-1.6900000000000004","-15","0","0.39","",""
"4397"," ","psychophysics","83","321461","0.0-83.0","4207","key"," ","16.68373384030413","500","250","zol","-1.8900000000000006","26","-22","-0.11","",""
"3261"," ","psychophysics","84","324725","0.0-84.0","4207","key"," ","16.684515463917386","500","250","zol","-1.6400000000000006","-30","-9","0.04","",""
"3517"," ","psychophysics","85","328245","0.0-85.0","4207","key"," ","16.68452857142852","500","250","zol","-1.5800000000000003","1","-11","0.18","",""
"8045"," ","psychophysics","86","336293","0.0-86.0","4207","key"," ","16.683970954356845","500","250","zol","-1.3100000000000003","12","0","-0.49","",""
"2461"," ","psychophysics","87","338757","0.0-87.0","4207","key"," ","16.68456164383559","500","250","zol","-1.17","-21","30","0.17","",""
"2011"," ","psychophysics","88","340773","0.0-88.0","4207","key"," ","16.685249999999844","500","250","zol","-1.18","-7","16","0.08","",""
"1965"," ","psychophysics","89","342741","0.0-89.0","4207","key"," ","16.68503418803398","500","250","zol","-1.6900000000000004","-15","-25","0.49","",""
"3149"," ","psychophysics","90","345893","0.0-90.0","4207","key"," ","16.683851063829856","500","250","zol","-1.24","-22","-18","-0.56","",""
"4989"," ","psychophysics","91","350885","0.0-91.0","4207","key"," ","16.68317114093947","500","250","zol","-1.36","-15","2","0.26","",""
"1661"," ","psychophysics","92","352549","0.0-92.0","4207","key"," ","16.683202020201897","500","250","zol","-0.6299999999999999","0","-23","-0.67","",""
