"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","back","targ","resp"
"2927","key"," "," ","6.960513064133016","500","250","psychophysics","0","2939","0.0-0.0","15","30","","",""
"3374","key"," "," ","6.944167010309279","500","250","psychophysics","1","6314","0.0-1.0","15","30","","",""
"null","key","null","null","6.94434230769231","500","250","psychophysics","2","8123","0.0-2.0","15","30","","",""
"3062","key"," "," ","6.944031818181818","500","250","psychophysics","3","11187","0.0-3.0","15","30","","",""
"9926","key"," "," ","6.978323715693174","500","250","psychophysics","4","21115","0.0-4.0","15","30","","",""
"8597","key"," "," ","6.944036348949919","500","250","psychophysics","5","29715","0.0-5.0","15","30","","",""
"5206","key"," "," ","6.944040053404539","500","250","psychophysics","6","34923","0.0-6.0","15","30","0","0.2","0.47"
"1199","key"," "," ","6.944343023255791","500","250","psychophysics","7","36124","0.0-7.0","15","30","","",""
"2085","key"," "," ","6.944290969899668","500","250","psychophysics","8","38211","0.0-8.0","15","30","","",""
"4429","key"," "," ","6.944037617554862","500","250","psychophysics","9","42643","0.0-9.0","15","30","0","0.8","0.7400000000000002"
"1326","key"," "," ","6.944052631578923","500","250","psychophysics","10","43970","0.0-10.0","15","30","","",""
"3590","key"," "," ","6.944060077519384","500","250","psychophysics","11","47563","0.0-11.0","15","30","0","0.28","0.3799999999999999"
"3774","key"," "," ","6.944123388581952","500","250","psychophysics","12","51339","0.0-12.0","15","30","1","0.6","0.6500000000000001"
"3885","key"," "," ","6.944132379248666","500","250","psychophysics","13","55227","0.0-13.0","15","30","1","0.76","0.8600000000000003"
"3950","key"," "," ","6.943980633802811","500","250","psychophysics","14","59179","0.0-14.0","15","30","0","0.76","0.7700000000000002"
"4447","key"," "," ","6.944107812499999","500","250","psychophysics","15","63628","0.0-15.0","15","30","0","0.76","0.8300000000000003"
"3269","key"," "," ","6.944251063829777","500","250","psychophysics","16","66899","0.0-16.0","15","30","1","0.2","0.2899999999999998"
"3582","key"," "," ","6.944149514563123","500","250","psychophysics","17","70482","0.0-17.0","15","30","0","0.54","0.5900000000000001"
"3014","key"," "," ","6.9440969976905516","500","250","psychophysics","18","73499","0.0-18.0","15","30","1","0.52","0.7100000000000002"
"3037","key"," "," ","6.944052631578963","500","250","psychophysics","19","76538","0.0-19.0","15","30","1","0.68","0.6500000000000001"
"3006","key"," "," ","6.944138888888894","500","250","psychophysics","20","79546","0.0-20.0","15","30","0","0.46","0.47"
"5046","key"," "," ","6.944137741046816","500","250","psychophysics","21","84594","0.0-21.0","15","30","0","0.5","0.5900000000000001"
"3128","key"," "," ","6.9439175946547955","500","250","psychophysics","22","87725","0.0-22.0","15","30","1","0.24","0.31999999999999984"
"3295","key"," "," ","6.944035789473687","500","250","psychophysics","23","91027","0.0-23.0","15","30","0","0.34","0.5900000000000001"
"2821","key"," "," ","6.944238916256168","500","250","psychophysics","24","93850","0.0-24.0","15","30","1","0.22","0.3799999999999999"
"3189","key"," "," ","6.944187772925784","500","250","psychophysics","25","97042","0.0-25.0","15","30","0","0.76","0.7700000000000002"
"3397","key"," "," ","6.9441615541922435","500","250","psychophysics","26","100442","0.0-26.0","15","30","0","0.8","0.8000000000000003"
"3536","key"," "," ","6.944194117647038","500","250","psychophysics","27","103987","0.0-27.0","15","30","0","0.56","0.6200000000000001"
"3237","key"," "," ","6.943941935483881","500","250","psychophysics","28","107226","0.0-28.0","15","30","0","0.68","0.7400000000000002"
"2926","key"," "," ","6.94412826603326","500","250","psychophysics","29","110154","0.0-29.0","15","30","0","0.52","0.56"
"2438","key"," "," ","6.9440285714285395","500","250","psychophysics","30","112595","0.0-30.0","15","30","0","0.22","0.43999999999999995"
"2838","key"," "," ","6.97846798029557","500","250","psychophysics","31","115434","0.0-31.0","15","30","1","0.24","0.34999999999999987"
"2557","key"," "," ","6.944114130434805","500","250","psychophysics","32","117994","0.0-32.0","15","30","0","0.36","0.56"
"3519","key"," "," ","6.944156126482189","500","250","psychophysics","33","121514","0.0-33.0","15","30","1","0.66","0.7400000000000002"
"3183","key"," "," ","6.944190371991237","500","250","psychophysics","34","124699","0.0-34.0","15","30","0","0.66","0.7100000000000002"
"3436","key"," "," ","6.944181818181838","500","250","psychophysics","35","128138","0.0-35.0","15","30","0","0.54","0.6800000000000002"
"2855","key"," "," ","6.944278048780511","500","250","psychophysics","36","130996","0.0-36.0","15","30","0","0.24","0.34999999999999987"
"3047","key"," "," ","6.944082191780826","500","250","psychophysics","37","134049","0.0-37.0","15","30","0","0.3","0.4099999999999999"
"2567","key"," "," ","6.944339622641525","500","250","psychophysics","38","136626","0.0-38.0","15","30","0","0.48","0.6200000000000001"
"3246","key"," "," ","6.944186295503207","500","250","psychophysics","39","139874","0.0-39.0","15","30","0","0.6","0.7100000000000002"
"3734","key"," "," ","6.944003724394773","500","250","psychophysics","40","143610","0.0-40.0","15","30","0","0.5","0.7100000000000002"
