"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","back","targ","trial_type","trial_index","time_elapsed","internal_node_id","resp","pid","sid"
"4534","key"," "," ","16.55272727272727","500","250","1","0.42","psychophysics","0","4565","0.0-0.0","0.47","mike","null"
"3267","key"," "," ","16.666666666666668","500","250","1","0.6","psychophysics","1","7836","0.0-1.0","0.43999999999999995","mike","null"
"4892","key"," "," ","16.668941979522184","500","250","0","0.62","psychophysics","2","12732","0.0-2.0","0.6500000000000001","mike","null"
"3470","key"," "," ","16.67149758454106","500","250","0","0.54","psychophysics","3","16205","0.0-3.0","0.3799999999999999","mike","null"
"4063","key"," "," ","16.670781893004115","500","250","0","0.66","psychophysics","4","20269","0.0-4.0","0.6200000000000001","mike","null"
"4068","key"," "," ","16.670781893004115","500","250","0","0.68","psychophysics","5","24340","0.0-5.0","0.6500000000000001","mike","null"
"3694","key"," "," ","16.669683257918553","500","250","1","0.64","psychophysics","6","28037","0.0-6.0","0.6200000000000001","mike","null"
"3324","key"," "," ","16.668341708542712","500","250","1","0.52","psychophysics","7","31363","0.0-7.0","0.43999999999999995","mike","null"
"5378","key"," "," ","16.667701863354036","500","250","1","0.2","psychophysics","8","36748","0.0-8.0","0.1999999999999998","mike","null"
"3891","key"," "," ","16.67241379310345","500","250","1","0.28","psychophysics","9","40643","0.0-9.0","0.2599999999999998","mike","null"
"3333","key"," "," ","16.668341708542712","500","250","0","0.78","psychophysics","10","43978","0.0-10.0","0.7700000000000002","mike","null"
"4996","key"," "," ","16.65886287625418","500","250","1","0.3","psychophysics","11","48978","0.0-11.0","0.2599999999999998","mike","null"
"3525","key"," "," ","16.66350710900474","500","250","1","0.32","psychophysics","12","52508","0.0-12.0","0.2899999999999998","mike","null"
"3875","key"," "," ","16.66810344827586","500","250","1","0.3","psychophysics","13","56387","0.0-13.0","0.31999999999999984","mike","null"
"3286","key"," "," ","16.668367346938776","500","250","1","0.64","psychophysics","14","59676","0.0-14.0","0.7100000000000002","mike","null"
"3260","key"," "," ","16.666666666666668","500","250","0","0.64","psychophysics","15","62939","0.0-15.0","0.6200000000000001","mike","null"
"3819","key"," "," ","16.67105263157895","500","250","0","0.56","psychophysics","16","66762","0.0-16.0","0.6200000000000001","mike","null"
"4372","key"," "," ","16.66793893129771","500","250","0","0.58","psychophysics","17","71138","0.0-17.0","0.6200000000000001","mike","null"
"3581","key"," "," ","16.677570093457945","500","250","1","0.5","psychophysics","18","74722","0.0-18.0","0.34999999999999987","mike","null"
"3955","key"," "," ","16.66949152542373","500","250","1","0.58","psychophysics","19","78682","0.0-19.0","0.5900000000000001","mike","null"
"3389","key"," "," ","16.67487684729064","500","250","1","0.64","psychophysics","20","82074","0.0-20.0","0.5900000000000001","mike","null"
"4452","key"," "," ","16.672932330827066","500","250","1","0.8","psychophysics","21","86529","0.0-21.0","0.8300000000000003","mike","null"
"2892","key"," "," ","16.670520231213874","500","250","1","0.52","psychophysics","22","89426","0.0-22.0","0.3799999999999999","mike","null"
"2987","key"," "," ","16.668539325842698","500","250","1","0.3","psychophysics","23","92417","0.0-23.0","0.2599999999999998","mike","null"
"3565","key"," "," ","16.671361502347416","500","250","1","0.8","psychophysics","24","95985","0.0-24.0","0.8300000000000003","mike","null"
"3478","key"," "," ","16.66826923076923","500","250","0","0.72","psychophysics","25","99465","0.0-25.0","0.8000000000000003","mike","null"
"3397","key"," "," ","16.67487684729064","500","250","1","0.7","psychophysics","26","102866","0.0-26.0","0.7700000000000002","mike","null"
"4218","key"," "," ","16.67063492063492","500","250","0","0.74","psychophysics","27","107088","0.0-27.0","0.7700000000000002","mike","null"
"3268","key"," "," ","16.658163265306122","500","250","1","0.74","psychophysics","28","110361","0.0-28.0","0.7700000000000002","mike","null"
"2989","key"," "," ","16.668539325842698","500","250","0","0.48","psychophysics","29","113352","0.0-29.0","0.2899999999999998","mike","null"
