"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","back","targ","resp"
"3167","key"," "," ","16.76785340314136","500","250","psychophysics","0","3209","0.0-0.0","14","28","","",""
"3132","key"," "," ","16.680539682539678","500","250","psychophysics","1","6375","0.0-1.0","14","28","","",""
"null","key","null","null","16.680570093457945","500","250","psychophysics","2","8180","0.0-2.0","14","28","","",""
"7967","key"," "," ","16.680515723270442","500","250","psychophysics","3","16151","0.0-3.0","14","28","","",""
"3266","key"," "," ","16.68053846153845","500","250","psychophysics","4","19422","0.0-4.0","14","28","","",""
"5438","key"," "," ","16.68051076923077","500","250","psychophysics","5","24863","0.0-5.0","14","28","","",""
"9268","key"," "," ","16.680513513513517","500","250","psychophysics","6","34143","0.0-6.0","14","28","0","0.2","0.31999999999999984"
"28380","key"," "," ","16.680527924750148","500","250","psychophysics","7","62527","0.0-7.0","14","28","","",""
"2264","key"," "," ","16.680533333333354","500","250","psychophysics","8","64799","0.0-8.0","14","28","","",""
"6737","key"," "," ","16.680529702970283","500","250","psychophysics","9","71551","0.0-9.0","14","28","0","0.8","0.8300000000000003"
"1237","key"," "," ","16.680534246575395","500","250","psychophysics","10","72791","0.0-10.0","14","28","","",""
"5306","key"," "," ","16.68053144654088","500","250","psychophysics","11","78111","0.0-11.0","14","28","1","0.46","0.4099999999999999"
"9225","key"," "," ","16.680522603978297","500","250","psychophysics","12","87343","0.0-12.0","14","28","1","0.66","0.7100000000000002"
"4163","key"," "," ","16.680538152610435","500","250","psychophysics","13","91512","0.0-13.0","14","28","1","0.6","0.6800000000000002"
"3954","key"," "," ","16.68049152542375","500","250","psychophysics","14","95471","0.0-14.0","14","28","0","0.56","0.6500000000000001"
"3659","key"," "," ","16.68051598173521","500","250","psychophysics","15","99136","0.0-15.0","14","28","1","0.44","0.5"
"3915","key"," "," ","16.680547008547038","500","250","psychophysics","16","103055","0.0-16.0","14","28","1","0.22","0.31999999999999984"
"4666","key"," "," ","16.68054121863799","500","250","psychophysics","17","107727","0.0-17.0","14","28","0","0.48","0.56"
"5539","key"," "," ","16.68054078549846","500","250","psychophysics","18","113271","0.0-18.0","14","28","1","0.78","0.8300000000000003"
"4650","key"," "," ","16.680489208633066","500","250","psychophysics","19","117927","0.0-19.0","14","28","0","0.54","0.6800000000000002"
"3635","key"," "," ","16.680529953917063","500","250","psychophysics","20","121568","0.0-20.0","14","28","0","0.7","0.7700000000000002"
"3212","key"," "," ","16.680476683937872","500","250","psychophysics","21","124791","0.0-21.0","14","28","1","0.52","0.6200000000000001"
"2777","key"," "," ","16.680554216867524","500","250","psychophysics","22","127575","0.0-22.0","14","28","0","0.38","0.53"
"2395","key"," "," ","16.680528169014046","500","250","psychophysics","23","129975","0.0-23.0","14","28","0","0.36","0.5"
"3197","key"," "," ","16.680536458333336","500","250","psychophysics","24","133183","0.0-24.0","14","28","1","0.3","0.3799999999999999"
"2867","key"," "," ","16.680567251462033","500","250","psychophysics","25","136055","0.0-25.0","14","28","1","0.44","0.5900000000000001"
"3571","key"," "," ","16.68050234741777","500","250","psychophysics","26","139631","0.0-26.0","14","28","1","0.66","0.7400000000000002"
"2900","key"," "," ","16.680511494252787","500","250","psychophysics","27","142551","0.0-27.0","14","28","0","0.52","0.6200000000000001"
"3577","key"," "," ","16.680504672897182","500","250","psychophysics","28","146135","0.0-28.0","14","28","0","0.62","0.7100000000000002"
"3802","key"," "," ","16.680506550218386","500","250","psychophysics","29","149961","0.0-29.0","14","28","1","0.72","0.8000000000000003"
"4130","key"," "," ","16.68055691056917","500","250","psychophysics","30","154095","0.0-30.0","14","28","0","0.78","0.8600000000000003"
"3825","key"," "," ","16.68055021834057","500","250","psychophysics","31","157927","0.0-31.0","14","28","0","0.52","0.8000000000000003"
"3161","key"," "," ","16.680565445026243","500","250","psychophysics","32","161120","0.0-32.0","14","28","0","0.36","0.47"
"3715","key"," "," ","16.680513513513482","500","250","psychophysics","33","164840","0.0-33.0","14","28","1","0.72","0.8300000000000003"
"3489","key"," "," ","16.680552380952367","500","250","psychophysics","34","168360","0.0-34.0","14","28","1","0.74","0.8300000000000003"
"3483","key"," "," ","16.68052884615379","500","250","psychophysics","35","171848","0.0-35.0","14","28","1","0.7","0.8300000000000003"
"3398","key"," "," ","16.680522167487723","500","250","psychophysics","36","175255","0.0-36.0","14","28","0","0.36","0.53"
"2587","key"," "," ","16.680506493506556","500","250","psychophysics","37","177847","0.0-37.0","14","28","0","0.38","0.53"
"3234","key"," "," ","16.680517948717952","500","250","psychophysics","38","181111","0.0-38.0","14","28","0","0.6","0.7100000000000002"
"2756","key"," "," ","16.68049696969701","500","250","psychophysics","39","183872","0.0-39.0","14","28","1","0.32","0.4099999999999999"
"4695","key"," "," ","16.680523131672544","500","250","psychophysics","40","188576","0.0-40.0","14","28","1","0.22","0.1999999999999998"
