90,18,18,18,18,91
91,18,18,18,18,91
91,18,18,18,18,91
91,18,18,18,18,91
91,18,18,15,18,95
91,18,18,18,18,91
91,20,17,18,18,91
91,18,18,18,18,92
96,18,18,18,18,91
91,18,18,18,17,92
91,18,18,19,18,91
91,18,18,18,18,91
91,19,18,19,17,91
91,19,17,18,19,91
91,18,18,18,18,91
91,13,16,19,18,91
91,18,18,19,17,91
91,14,18,17,18,91
91,18,18,22,14,91
91,18,18,18,18,91
91,18,18,18,18,91
91,18,18,18,18,91
91,18,18,18,18,91
91,18,18,18,18,91
92,18,17,18,18,91
91,18,14,16,18,91
91,18,18,19,18,91
91,18,18,19,17,92
92,18,18,18,18,91
92,18,18,15,15,91
91,18,18,14,16,91
91,18,19,17,18,92
91,18,18,18,18,91
91,16,20,19,18,91
92,16,18,18,18,91
91,18,18,18,18,91
91,18,25,19,17,91
91,18,18,18,19,91
91,20,16,18,18,91
91,18,18,18,18,91
91,18,18,18,18,91
93,16,13,19,17,92
92,17,18,18,18,91
92,17,18,20,17,91
91,18,18,18,18,91
93,15,15,19,18,91
91,18,18,19,18,92
91,18,18,18,18,92
91,19,18,20,17,91
91,14,17,18,18,91
92,18,19,17,18,91
91,18,18,18,18,91
93,13,17,18,26,95
97,18,23,14,18,91
91,18,19,17,18,91
92,17,18,18,18,91
91,18,18,18,18,91
91,19,18,19,17,91
91,18,18,18,18,91
91,18,19,18,18,91
91,18,18,18,18,91
91,18,18,18,18,91
91,18,18,18,18,91
91,18,18,19,19,95
91,18,18,18,18,91
92,17,18,18,19,91
91,18,18,18,18,91
91,18,18,18,18,91
91,19,18,18,18,91
91,15,16,18,18,91
91,14,16,18,19,96
91,18,18,18,18,91
91,18,18,13,17,91
91,18,18,19,18,91
91,14,16,18,18,91
91,18,18,13,17,91
91,18,18,18,18,91
91,18,18,18,18,91
91,18,18,18,19,91
91,19,18,18,18,91
91,18,18,18,18,91
91,18,18,18,18,91
91,18,18,18,18,91
92,18,18,18,18,91
91,18,19,19,17,91
91,19,17,18,18,91
91,19,18,18,18,91
92,18,18,18,19,96
91,18,18,18,18,91
91,18,19,18,18,93
92,18,17,18,18,91
91,18,13,17,18,91
91,19,18,18,18,91
91,18,18,19,17,91
91,18,18,18,18,91
91,18,18,18,18,91
91,18,18,18,18,91
91,18,18,18,18,91
91,18,18,18,19,96
91,18,18,18,18,91
