"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","targ","trial_type","trial_index","time_elapsed","internal_node_id","resp","pid","sid"
"3608","key"," "," ","16.760279069767442","500","250","139","psychophysics","0","3625","0.0-0.0","166","mike","null"
"7064","key"," "," ","16.68047281323877","500","250","169","psychophysics","1","10698","0.0-1.0","186","mike","null"
"6086","key"," "," ","16.681703296703294","500","250","170","psychophysics","2","16793","0.0-2.0","191","mike","null"
"4583","key"," "," ","16.68152727272728","500","250","164","psychophysics","3","21385","0.0-3.0","183","mike","null"
"1800","key"," "," ","16.678504672897215","500","250","148","psychophysics","4","23193","0.0-4.0","159","mike","null"
"2073","key"," "," ","16.679838709677412","500","250","147","psychophysics","5","25272","0.0-5.0","162","mike","null"
"6617","key"," "," ","16.679797979797982","500","250","156","psychophysics","6","31896","0.0-6.0","174","mike","null"
"4715","key"," "," ","16.68120567375886","500","250","191","psychophysics","7","36616","0.0-7.0","208","mike","null"
"3609","key"," "," ","16.681209302325577","500","250","136","psychophysics","8","40232","0.0-8.0","149","mike","null"
"7319","key"," "," ","16.68050113895216","500","250","193","psychophysics","9","47560","0.0-9.0","211","mike","null"
"5993","key"," "," ","16.67938547486034","500","250","171","psychophysics","10","53560","0.0-10.0","184","mike","null"
"7305","key"," "," ","16.680593607305934","500","250","187","psychophysics","11","60872","0.0-11.0","198","mike","null"
"3466","key"," "," ","16.684154589372028","500","250","162","psychophysics","12","64344","0.0-12.0","182","mike","null"
"5451","key"," "," ","16.682638036809795","500","250","176","psychophysics","13","69799","0.0-13.0","195","mike","null"
"2714","key"," "," ","16.782981366459612","500","250","153","psychophysics","14","72521","0.0-14.0","165","mike","null"
"6674","key"," "," ","16.680550000000004","500","250","120","psychophysics","15","79208","0.0-15.0","139","mike","null"
"3558","key"," "," ","16.68272300469483","500","250","138","psychophysics","16","82776","0.0-16.0","155","mike","null"
"8536","key"," "," ","16.680821917808206","500","250","176","psychophysics","17","91320","0.0-17.0","192","mike","null"
"1401","key"," "," ","16.67952380952383","500","250","146","psychophysics","18","92729","0.0-18.0","160","mike","null"
"8072","key"," "," ","16.68149068322982","500","250","123","psychophysics","19","100807","0.0-19.0","131","mike","null"
