"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","targ","trial_type","trial_index","time_elapsed","internal_node_id","resp","pid","sid"
"10039","key"," "," ","16.663500829187395","500","250","143","psychophysics","0","10071","0.0-0.0","175","null","null"
"5986","key"," "," ","16.66355988857939","500","250","156","psychophysics","1","16063","0.0-1.0","172","null","null"
"5116","key"," "," ","16.663627450980393","500","250","170","psychophysics","2","21183","0.0-2.0","186","null","null"
"6077","key"," "," ","16.66362087912087","500","250","199","psychophysics","3","27266","0.0-3.0","216","null","null"
"6677","key"," "," ","16.663644999999995","500","250","173","psychophysics","4","33948","0.0-4.0","191","null","null"
"1227","key"," "," ","16.663753424657507","500","250","146","psychophysics","5","35180","0.0-5.0","160","null","null"
"4136","key"," "," ","16.6637137096774","500","250","165","psychophysics","6","39323","0.0-6.0","187","null","null"
"2893","key"," "," ","16.663786127167626","500","250","162","psychophysics","7","42218","0.0-7.0","178","null","null"
"6880","key"," "," ","16.663777239709443","500","250","121","psychophysics","8","49130","0.0-8.0","139","null","null"
"5386","key"," "," ","16.66379256965946","500","250","128","psychophysics","9","54521","0.0-9.0","150","null","null"
"3372","key"," "," ","16.66387623762374","500","250","152","psychophysics","10","57896","0.0-10.0","175","null","null"
"4525","key"," "," ","16.663844444444436","500","250","123","psychophysics","11","62424","0.0-11.0","149","null","null"
"4907","key"," "," ","16.66388775510203","500","250","120","psychophysics","12","67334","0.0-12.0","145","null","null"
"3917","key"," "," ","16.663884615384625","500","250","157","psychophysics","13","71253","0.0-13.0","178","null","null"
"4092","key"," "," ","16.663885714285723","500","250","189","psychophysics","14","75349","0.0-14.0","214","null","null"
"2701","key"," "," ","16.663944099378906","500","250","124","psychophysics","15","78052","0.0-15.0","153","null","null"
"2545","key"," "," ","16.663887417218564","500","250","148","psychophysics","16","80601","0.0-16.0","165","null","null"
"2805","key"," "," ","16.664005917159788","500","250","160","psychophysics","17","83411","0.0-17.0","173","null","null"
"2685","key"," "," ","16.66404375000002","500","250","128","psychophysics","18","86099","0.0-18.0","154","null","null"
"3564","key"," "," ","16.663990610328607","500","250","177","psychophysics","19","89666","0.0-19.0","185","null","null"
