"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp"
"233.99999999999636","key"," "," ","16.692307692307693","500","250","psychophysics","54","22004","0.0-54.0","null","null","","","",""
"272","key"," "," ","16.6","500","250","psychophysics","55","22278","0.0-55.0","null","null","2","0","24","10"
"359.00000000000364","key"," "," ","16.714285714285715","500","250","psychophysics","56","22639","0.0-56.0","null","null","","","",""
"444","key"," "," ","16.72","500","250","psychophysics","57","23084","0.0-57.0","null","null","2","0","21","10"
"382","key"," "," ","16.652173913043477","500","250","psychophysics","58","23471","0.0-58.0","null","null","","","",""
"415","key"," "," ","16.708333333333332","500","250","psychophysics","59","23891","0.0-59.0","null","null","2","0","41","10"
"400","key"," "," ","16.695652173913043","500","250","psychophysics","60","24293","0.0-60.0","null","null","","","",""
"1573","key"," "," ","16.698924731182796","500","250","psychophysics","61","25868","0.0-61.0","null","null","","","",""
"226","key"," "," ","16.615384615384617","500","250","psychophysics","62","26097","0.0-62.0","null","null","","","",""
"214","key"," "," ","16.583333333333332","500","250","psychophysics","63","26313","0.0-63.0","null","null","3","5","47","10"
"185","key"," "," ","16.8","500","250","psychophysics","64","26500","0.0-64.0","null","null","3","0","21","10"
"192","key"," "," ","16.6","500","250","psychophysics","65","26694","0.0-65.0","null","null","3","5","26","10"
"222.00000000000364","key"," "," ","16.46153846153846","500","250","psychophysics","66","26921","0.0-66.0","null","null","3","0","56","10"
"201","key"," "," ","16.727272727272727","500","250","psychophysics","67","27124","0.0-67.0","null","null","3","5","48","10"
"209","key"," "," ","16.666666666666668","500","250","psychophysics","68","27334","0.0-68.0","null","null","3","0","26","10"
"204","key"," "," ","16.727272727272727","500","250","psychophysics","69","27542","0.0-69.0","null","null","3","5","47","10"
"214","key"," "," ","16.666666666666668","500","250","psychophysics","70","27758","0.0-70.0","null","null","3","0","55","10"
"214","key"," "," ","16.75","500","250","psychophysics","71","27975","0.0-71.0","null","null","3","5","47","10"
"207","key"," "," ","16.75","500","250","psychophysics","72","28184","0.0-72.0","null","null","3","0","33","10"
"200","key"," "," ","16.727272727272727","500","250","psychophysics","73","28387","0.0-73.0","null","null","3","5","41","10"
"230","key"," "," ","16.692307692307693","500","250","psychophysics","74","28619","0.0-74.0","null","null","3","0","53","10"
"203.00000000000364","key"," "," ","16.636363636363637","500","250","psychophysics","75","28825","0.0-75.0","null","null","3","5","34","10"
"236.99999999999636","key"," "," ","16.692307692307693","500","250","psychophysics","76","29065","0.0-76.0","null","null","3","0","34","10"
"214","key"," "," ","16.75","500","250","psychophysics","77","29281","0.0-77.0","null","null","3","5","32","10"
