"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","phase","guide","targ","resp"
"4070","key"," "," ","16.69795918367347","500","250","psychophysics","0","4117","0.0-0.0","null","null","","","",""
"240","key"," "," ","16.5","500","250","psychophysics","1","4366","0.0-1.0","null","null","","","",""
"200","key"," "," ","16.666666666666668","500","250","psychophysics","2","4574","0.0-2.0","null","null","","","",""
"187.0000000000009","key"," "," ","16.7","500","250","psychophysics","3","4764","0.0-3.0","null","null","","","",""
"185","key"," "," ","16.8","500","250","psychophysics","4","4951","0.0-4.0","null","null","","","",""
"204.9999999999991","key"," "," ","16.666666666666668","500","250","psychophysics","5","5158","0.0-5.0","null","null","","","",""
"223","key"," "," ","16.75","500","250","psychophysics","6","5383","0.0-6.0","null","null","","","",""
"191","key"," "," ","16.727272727272727","500","250","psychophysics","7","5576","0.0-7.0","null","null","","","",""
"231","key"," "," ","16.76923076923077","500","250","psychophysics","8","5811","0.0-8.0","null","null","1","0","48","10"
"191","key"," "," ","16.6","500","250","psychophysics","9","6004","0.0-9.0","null","null","1","5","25","10"
"181.0000000000009","key"," "," ","16.7","500","250","psychophysics","10","6187","0.0-10.0","null","null","1","0","25","10"
"186","key"," "," ","16.454545454545453","500","250","psychophysics","11","6379","0.0-11.0","null","null","1","5","56","10"
"247","key"," "," ","16.714285714285715","500","250","psychophysics","12","6628","0.0-12.0","null","null","1","0","44","10"
"223","key"," "," ","16.666666666666668","500","250","psychophysics","13","6853","0.0-13.0","null","null","1","5","24","10"
"176","key"," "," ","16.6","500","250","psychophysics","14","7031","0.0-14.0","null","null","1","0","50","10"
"188","key"," "," ","16.6","500","250","psychophysics","15","7221","0.0-15.0","null","null","1","5","27","10"
"173","key"," "," ","16.6","500","250","psychophysics","16","7395","0.0-16.0","null","null","1","0","21","10"
"182.9999999999991","key"," "," ","16.6","500","250","psychophysics","17","7580","0.0-17.0","null","null","1","5","35","10"
"172","key"," "," ","16.77777777777778","500","250","psychophysics","18","7754","0.0-18.0","null","null","1","0","37","10"
"189","key"," "," ","16.545454545454547","500","250","psychophysics","19","7946","0.0-19.0","null","null","1","5","57","10"
"183.00000000000182","key"," "," ","16.6","500","250","psychophysics","20","8130","0.0-20.0","null","null","1","0","31","10"
"182","key"," "," ","16.7","500","250","psychophysics","21","8314","0.0-21.0","null","null","1","5","27","10"
"187.99999999999818","key"," "," ","16.7","500","250","psychophysics","22","8504","0.0-22.0","null","null","1","0","29","10"
"192","key"," "," ","16.636363636363637","500","250","psychophysics","23","8700","0.0-23.0","null","null","1","5","59","10"
"209","key"," "," ","16.636363636363637","500","250","psychophysics","24","8912","0.0-24.0","null","null","1","0","43","10"
"186","key"," "," ","16.727272727272727","500","250","psychophysics","25","9104","0.0-25.0","null","null","1","5","49","10"
"187","key"," "," ","16.7","500","250","psychophysics","26","9294","0.0-26.0","null","null","1","0","40","10"
"190","key"," "," ","16.727272727272727","500","250","psychophysics","27","9485","0.0-27.0","null","null","1","5","31","10"
"190","key"," "," ","16.7","500","250","psychophysics","28","9678","0.0-28.0","null","null","","","",""
"225","key"," "," ","16.76923076923077","500","250","psychophysics","29","9904","0.0-29.0","null","null","","","",""
"205","key"," "," ","16.818181818181817","500","250","psychophysics","30","10112","0.0-30.0","null","null","","","",""
"196.99999999999818","key"," "," ","16.727272727272727","500","250","psychophysics","31","10311","0.0-31.0","null","null","2","0","43","10"
"4464","key"," "," ","16.524163568773233","500","250","psychophysics","32","14779","0.0-32.0","null","null","","","",""
"233","key"," "," ","16.428571428571427","500","250","psychophysics","33","15017","0.0-33.0","null","null","2","0","46","10"
"192","key"," "," ","16.8","500","250","psychophysics","34","15212","0.0-34.0","null","null","","","",""
"203.99999999999818","key"," "," ","16.75","500","250","psychophysics","35","15418","0.0-35.0","null","null","2","0","34","10"
"224","key"," "," ","16.75","500","250","psychophysics","36","15644","0.0-36.0","null","null","","","",""
"190.99999999999818","key"," "," ","16.818181818181817","500","250","psychophysics","37","15837","0.0-37.0","null","null","2","0","41","10"
"189.99999999999636","key"," "," ","16.8","500","250","psychophysics","38","16029","0.0-38.0","null","null","","","",""
"207.99999999999818","key"," "," ","16.666666666666668","500","250","psychophysics","39","16238","0.0-39.0","null","null","2","0","45","10"
"237","key"," "," ","16.615384615384617","500","250","psychophysics","40","16478","0.0-40.0","null","null","","","",""
"198","key"," "," ","16.727272727272727","500","250","psychophysics","41","16678","0.0-41.0","null","null","2","0","21","10"
"215","key"," "," ","16.666666666666668","500","250","psychophysics","42","16896","0.0-42.0","null","null","","","",""
"258","key"," "," ","16.733333333333334","500","250","psychophysics","43","17157","0.0-43.0","null","null","2","0","45","10"
"269","key"," "," ","16.8","500","250","psychophysics","44","17427","0.0-44.0","null","null","","","",""
"294","key"," "," ","16.764705882352942","500","250","psychophysics","45","17725","0.0-45.0","null","null","2","0","33","10"
"324","key"," "," ","16.72222222222222","500","250","psychophysics","46","18051","0.0-46.0","null","null","","","",""
"610","key"," "," ","16.72222222222222","500","250","psychophysics","47","18663","0.0-47.0","null","null","2","0","57","10"
"1029","key"," "," ","16.704918032786885","500","250","psychophysics","48","19694","0.0-48.0","null","null","","","",""
"1248","key"," "," ","16.726027397260275","500","250","psychophysics","49","20944","0.0-49.0","null","null","2","0","53","10"
"209.99999999999636","key"," "," ","16.75","500","250","psychophysics","50","21160","0.0-50.0","null","null","","","",""
"202","key"," "," ","16.818181818181817","500","250","psychophysics","51","21363","0.0-51.0","null","null","2","0","31","10"
"201","key"," "," ","16.666666666666668","500","250","psychophysics","52","21569","0.0-52.0","null","null","","","",""
"198","key"," "," ","16.727272727272727","500","250","psychophysics","53","21768","0.0-53.0","null","null","2","0","54","10"
