"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","version","start","jitterX","jitterY","parA"
"true","fullscreen","0","3797","0.0-0.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","","","","","","","","","","","","","","",""
"true","preload","1","3938","0.0-1.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","html-button-response","2","5773","0.0-2.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","1832","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","",""
"","psychophysics","3","12418","0.0-3.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","6595",""," ","key"," ","16.751594458438287","960","250","","","","","","",""
"","psychophysics","4","14481","0.0-4.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","2060",""," ","key"," ","16.80419672131147","500","250","inst","","","","","",""
"","psychophysics","5","20268","0.0-5.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","5783",""," ","key"," ","16.66760693641618","500","250","sample0","","","","","",""
"","psychophysics","6","23150","0.0-6.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","2879",""," ","key"," ","16.667563953488372","500","250","sample1","","","","","",""
"","psychophysics","7","36596","0.0-7.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","13430",""," ","key"," ","16.667604218362282","500","250","sample2","100","","","","",""
"","psychophysics","8","48611","0.0-8.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","12012",""," ","key"," ","16.66761474269819","500","250","sample3","100","","","","",""
"","psychophysics","9","56475","0.0-9.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","7859",""," ","key"," ","16.66760509554139","500","250","sample4","100","","","","",""
"","psychophysics","10","64008","0.0-10.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","7519",""," ","key"," ","16.667611973392464","500","250","sample5","","","","","",""
"","psychophysics","11","73131","0.0-11.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","9115",""," ","key"," ","16.667612431444244","500","250","sample6","500","","","","",""
"","psychophysics","12","79582","0.0-12.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","6448",""," ","key"," ","16.66760621761657","500","250","inst","","","","","",""
"","psychophysics","13","86556","0.0-13.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","6971",""," ","key"," ","16.667609112709858","500","250","inst","","","","","",""
"","psychophysics","14","90726","0.0-14.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","4166",""," ","key"," ","16.667654618473893","500","250","inst","","","","","",""
"","psychophysics","15","92321","0.0-15.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","1592",""," ","key"," ","16.66752631578956","500","250","inst","","","","","",""
"","psychophysics","16","93956","0.0-16.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","1633",""," ","key"," ","16.667628865979328","500","250","inst","","","","","",""
"","psychophysics","17","105475","0.0-17.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","11516",""," ","key"," ","16.667597101449285","500","250","instPog0","340","2","370","0","0","340"
"","psychophysics","18","120022","0.0-18.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","14544",""," ","key"," ","16.686753157290468","500","250","instPog1","370","2","370","0","0","340"
"","psychophysics","19","128919","0.0-19.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","8895",""," ","key"," ","16.667630393996266","500","250","instPog2","326","2","340","0","0","340"
"","psychophysics","20","131884","0.0-20.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","2964",""," ","key"," ","16.667556818181765","500","250","inst","","","","","",""
"","psychophysics","21","137826","0.0-21.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","5934",""," ","key"," ","16.667581460674196","500","250","pog","340","2","322","0","0","372"
"","psychophysics","22","144680","0.0-22.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","6851",""," ","key"," ","16.667641463414654","500","250","pog","303","2","311","0","0","328"
"","psychophysics","23","150630","0.0-23.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","5943",""," ","key"," ","16.66760112359558","500","250","pog","289","2","299","0","0","318"
"","psychophysics","24","156346","0.0-24.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","5710",""," ","key"," ","16.66761695906436","500","250","pog","315","2","373","0","0","341"
"","psychophysics","25","160224","0.0-25.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","3871",""," ","key"," ","16.667568965517322","500","250","pog","309","2","297","0","0","334"
"","psychophysics","26","168229","0.0-26.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","null","","null","key","null","16.66763256784969","500","250","pog","328","2","346","0","0","339"
"","psychophysics","27","173672","0.0-27.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","5441",""," ","key"," ","16.667613496932493","500","250","pog","357","2","393","0","0","372"
"","psychophysics","28","180170","0.0-28.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","6495",""," ","key"," ","16.6675912596401","500","250","pog","282","2","392","0","0","303"
"","psychophysics","29","185496","0.0-29.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","5322",""," ","key"," ","16.667641509433956","500","250","pog","349","2","393","0","0","362"
"","psychophysics","30","190886","0.0-30.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","5388",""," ","key"," ","16.667624223602413","500","250","pog","370","2","304","0","0","378"
"","psychophysics","31","195538","0.0-31.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","4642",""," ","key"," ","16.667591397849467","500","250","pog","337","2","351","0","0","343"
"","psychophysics","32","199097","0.0-32.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","3556",""," ","key"," ","16.6676132075471","500","250","pog","341","2","341","0","0","345"
"","psychophysics","33","204115","0.0-33.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","5016",""," ","key"," ","16.66758666666661","500","250","pog","347","2","313","0","0","354"
"","psychophysics","34","209044","0.0-34.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","4922",""," ","key"," ","16.667616949152592","500","250","pog","368","2","290","0","0","374"
"","psychophysics","35","214029","0.0-35.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","4982",""," ","key"," ","16.66761409395971","500","250","pog","331","2","347","0","0","340"
"","psychophysics","36","216113","0.0-36.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","2082",""," ","key"," ","16.667499999999915","500","250","inst","","","","","",""
"","psychophysics","37","219922","0.0-37.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","3807",""," ","key"," ","16.667565789473628","500","250","instZol0","0","","0","0","0",""
"","psychophysics","38","241808","0.0-38.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","21883",""," ","key"," ","16.66761509146341","500","250","instZol1","-2.7755575615628914e-17","","-1.3","0","0",""
"","psychophysics","39","259285","0.0-39.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","17472",""," ","key"," ","16.667602674307528","500","250","instZol2","2.3000000000000016","1","2","0","0",""
"","psychophysics","40","261249","0.0-40.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","1961",""," ","key"," ","16.667632478632335","500","250","inst","","","","","",""
"","psychophysics","41","268092","0.0-41.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","6828",""," ","key"," ","16.667604878048763","500","250","zol","2.040000000000001","1","-0.74","30","-25",""
"","psychophysics","42","273476","0.0-42.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","5378",""," ","key"," ","16.66762732919244","500","250","zol","1.9200000000000008","1","-0.12","10","0",""
"","psychophysics","43","279971","0.0-43.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","6492",""," ","key"," ","16.66759536082475","500","250","zol","1.9700000000000006","1","0.53","-12","18",""
"","psychophysics","44","287010","0.0-44.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","7030",""," ","key"," ","16.667609004739404","500","250","zol","1.9900000000000007","1","0.11","13","12",""
"","psychophysics","45","291860","0.0-45.0","61078342b757ebe17dfbb5ad","64cab22242f37b207914755a","","","","","4842",""," ","key"," ","16.667627586206773","500","250","zol","2.0000000000000004","1","-0.5","4","-28",""
