"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","start","parA","version","jitterX","jitterY"
"true","fullscreen","0","4314","0.0-0.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","","","","","","","","","","","","","","",""
"true","preload","1","4426","0.0-1.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","false","[]","[]","[]","","","","","","","","","","","","","","",""
"","html-button-response","2","5705","0.0-2.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","1279","Please Make Sure Your Audio Is On.","0","","","","","","","","","","","",""
"","psychophysics","3","10226","0.0-3.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","4517",""," ","key"," ","16.683729629629624","960","250","","","","","","",""
"","psychophysics","4","13505","0.0-4.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","3277",""," ","key"," ","16.68366666666667","500","250","inst","","","","","",""
"","psychophysics","5","16985","0.0-5.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","3479",""," ","key"," ","16.683259615384607","500","250","sample0","","","","","",""
"","psychophysics","6","18626","0.0-6.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","1639",""," ","key"," ","16.683484536082464","500","250","sample1","","","","","",""
"","psychophysics","7","28371","0.0-7.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","9744",""," ","key"," ","16.683384219554025","500","250","sample2","100","","","","",""
"","psychophysics","8","33644","0.0-8.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","5272",""," ","key"," ","16.683273015873002","500","250","sample3","100","","","","",""
"","psychophysics","9","42758","0.0-9.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","9112",""," ","key"," ","16.683774725274727","500","250","sample4","100","","","","",""
"","psychophysics","10","46047","0.0-10.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","3287",""," ","key"," ","16.682158163265314","500","250","sample5","","","","","",""
"","psychophysics","11","54856","0.0-11.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","8808",""," ","key"," ","16.68342504743833","500","250","sample6","500","","","","",""
"","psychophysics","12","58544","0.0-12.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","3688",""," ","key"," ","16.682527272727285","500","250","inst","","","","","",""
"","psychophysics","13","61401","0.0-13.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","2856",""," ","key"," ","16.681905882352936","500","250","inst","","","","","",""
"","psychophysics","14","64889","0.0-14.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","3488",""," ","key"," ","16.68401923076922","500","250","inst","","","","","",""
"","psychophysics","15","66825","0.0-15.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","1935",""," ","key"," ","16.68262608695659","500","250","inst","","","","","",""
"","psychophysics","16","68154","0.0-16.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","1328",""," ","key"," ","16.68179746835435","500","250","inst","","","","","",""
"","psychophysics","17","72425","0.0-17.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","4270",""," ","key"," ","16.68334509803926","500","250","instPz0","50","50","50","2","",""
"","psychophysics","18","82755","0.0-18.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","10329",""," ","key"," ","16.683398058252422","500","250","instPz1","46","25","50","2","",""
"","psychophysics","19","89245","0.0-19.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","6488",""," ","key"," ","16.683306701030908","500","250","instPz2","25","15","25","2","",""
"","psychophysics","20","98934","0.0-20.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","9688",""," ","key"," ","16.683391379310343","500","250","instPz3","44","25","50","2","",""
"","psychophysics","21","107759","0.0-21.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","8824",""," ","key"," ","16.68335795454547","500","250","instPz4","22","15","30","2","",""
"","psychophysics","22","111896","0.0-22.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","4136",""," ","key"," ","16.683481781376546","500","250","inst","","","","","",""
"","psychophysics","23","117433","0.0-23.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","5535",""," ","key"," ","16.683746223564977","500","250","pz","19","33","21","2","",""
"","psychophysics","24","124266","0.0-24.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","6832",""," ","key"," ","16.682583333333348","500","250","pz","22","50","25","2","",""
"","psychophysics","25","129003","0.0-25.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","4735",""," ","key"," ","16.683901060070653","500","250","pz","47","50","56","2","",""
"","psychophysics","26","135637","0.0-26.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","6632",""," ","key"," ","16.683607052896743","500","250","pz","31","53","38","2","",""
"","psychophysics","27","138389","0.0-27.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","2751",""," ","key"," ","16.68413414634149","500","250","pz","21","20","27","2","",""
"","psychophysics","28","146391","0.0-28.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","null","","null","key","null","16.682926778242706","500","250","pz","43","23","57","2","",""
"","psychophysics","29","146462","0.0-29.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","70",""," ","key"," ","16.676250000004075","500","250","pz","32","32","46","2","",""
"","psychophysics","30","149510","0.0-30.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","3047",""," ","key"," ","16.68349723756916","500","250","pz","20","26","25","2","",""
"","psychophysics","31","154623","0.0-31.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","5112",""," ","key"," ","16.683339869281088","500","250","pz","21","58","24","2","",""
"","psychophysics","32","159216","0.0-32.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","4591",""," ","key"," ","16.684302919708067","500","250","pz","45","39","52","2","",""
"","psychophysics","33","164193","0.0-33.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","4975",""," ","key"," ","16.68310774410765","500","250","pz","21","46","23","2","",""
"","psychophysics","34","169458","0.0-34.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","5261",""," ","key"," ","16.683342857142847","500","250","pz","27","49","31","2","",""
"","psychophysics","35","172362","0.0-35.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","2903",""," ","key"," ","16.681768786127147","500","250","pz","50","51","57","2","",""
"","psychophysics","36","176827","0.0-36.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","4464",""," ","key"," ","16.68310861423226","500","250","pz","47","56","55","2","",""
"","psychophysics","37","181043","0.0-37.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","4215",""," ","key"," ","16.683932270916397","500","250","pz","41","56","42","2","",""
"","psychophysics","38","184876","0.0-38.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","3830",""," ","key"," ","16.683471615720585","500","250","inst","","","","","",""
"","psychophysics","39","187205","0.0-39.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","2327",""," ","key"," ","16.682546762590004","500","250","instBr0","NaN","0","300","","0","0"
"","psychophysics","40","192990","0.0-40.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","5783",""," ","key"," ","16.682933526011514","500","250","instBr1","NaN","-40","300","","0","0"
"","psychophysics","41","202487","0.0-41.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","9495",""," ","key"," ","16.683360915492916","500","250","instBr","-11","40","300","1","0","0"
"","psychophysics","42","204072","0.0-42.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","1584",""," ","key"," ","16.683925531914785","500","250","inst","","","","","",""
"","psychophysics","43","207705","0.0-43.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","3631",""," ","key"," ","16.682792626728098","500","250","br","-12","21","232","1","16","-15"
"","psychophysics","44","210513","0.0-44.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","2807",""," ","key"," ","16.68462874251505","500","250","br","-12","-8","297","1","-5","-19"
"","psychophysics","45","215058","0.0-45.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","4543",""," ","key"," ","16.682361623616284","500","250","br","-12","10","224","1","-27","-3"
"","psychophysics","46","219706","0.0-46.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","4647",""," ","key"," ","16.683086330935204","500","250","br","-16","17","230","1","-16","4"
"","psychophysics","47","226043","0.0-47.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","6336",""," ","key"," ","16.683240105540907","500","250","br","-15","9","220","1","25","21"
"","psychophysics","48","229556","0.0-48.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","3511",""," ","key"," ","16.683311004784713","500","250","br","-21","-37","241","1","12","-11"
"","psychophysics","49","231676","0.0-49.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","2118",""," ","key"," ","16.68308730158721","500","250","br","-18","-16","256","1","15","-17"
"","psychophysics","50","235021","0.0-50.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","3343",""," ","key"," ","16.683505000000004","500","250","br","-17","-40","205","1","0","-29"
"","psychophysics","51","238805","0.0-51.0","60d5353d0248aca07f34435e","64cab0c5e7ad99f28c8f2b31","","","","","3783",""," ","key"," ","16.683190265486783","500","250","br","-19","26","208","1","19","-16"
