pid task resp start version parA rt time_elapsed
5f79809ea692be01b666c74a pz 61 33 1 55 4622 842968
5f79809ea692be01b666c74a pz 41 37 1 34 3304 846275
5f79809ea692be01b666c74a pz 65 27 1 58 7505 853781
5f79809ea692be01b666c74a pz 61 46 1 52 5298 859082
5f79809ea692be01b666c74a pz 50 51 1 40 2793 861877
5f79809ea692be01b666c74a zol 0.01 0.19 2 NA 6694 894109
5f79809ea692be01b666c74a zol -0.04 -0.06 2 NA 5206 899317
5f79809ea692be01b666c74a zol 0.21 -0.31 2 NA 6746 906065
5f79809ea692be01b666c74a zol 0.31 -0.61 2 NA null 914068
5f79809ea692be01b666c74a zol 0.02 -0.62 2 NA 4671 918741
5f79809ea692be01b666c74a zol -0.03 0.03 2 NA 4050 922793
5f79809ea692be01b666c74a zol -0.0399999999999999 -0.56 2 NA 6784 929582
5f79809ea692be01b666c74a zol 0.04 0.36 2 NA null 937585
5f79809ea692be01b666c74a zol -0.04 -0.16 2 NA 3406 940992
5f79809ea692be01b666c74a zol -0.43 0.33 2 NA 5006 946001
5f79809ea692be01b666c74a zol 0.01 -0.51 2 NA 7041 953044
5f79809ea692be01b666c74a zol -0.07 0.27 2 NA 6974 960022
5f79809ea692be01b666c74a zol -0.23 0.33 2 NA 6960 966984
5f79809ea692be01b666c74a zol -0.14 0.24 2 NA null 974988
5f79809ea692be01b666c74a zol 0.02 -0.22 2 NA 5541 980532
5f79809ea692be01b666c74a pog 316 384 2 327 5276 1006433
5f79809ea692be01b666c74a pog 346 382 2 363 4540 1010975
5f79809ea692be01b666c74a pog 292 296 2 302 2979 1013955
5f79809ea692be01b666c74a pog 313 375 2 329 5481 1019438
5f79809ea692be01b666c74a pog 343 293 2 366 5036 1024476
5f79809ea692be01b666c74a pog 330 334 2 340 5909 1030387
5f79809ea692be01b666c74a pog 313 283 2 332 3698 1034087
5f79809ea692be01b666c74a pog 333 379 2 348 5483 1039571
5f79809ea692be01b666c74a pog 354 356 2 367 2664 1042237
5f79809ea692be01b666c74a pog 295 293 2 313 5154 1047392
5f79809ea692be01b666c74a pog 351 387 2 366 null 1055395
5f79809ea692be01b666c74a pog 341 385 2 346 4519 1059917
5f79809ea692be01b666c74a pog 322 304 2 336 5772 1065691
5f79809ea692be01b666c74a pog 283 283 2 302 3206 1068898
5f79809ea692be01b666c74a pog 351 293 2 373 5873 1074772
5f79809ea692be01b666c74a br -29 -30 1 268 2673 1085818
5f79809ea692be01b666c74a br -22 31 1 278 7449 1093269
5f79809ea692be01b666c74a br -20 6 1 250 5342 1098613
5f79809ea692be01b666c74a br -17 32 1 257 5153 1103768
5f79809ea692be01b666c74a br -19 9 1 288 4378 1108148
5f79809ea692be01b666c74a br -18 12 1 275 4257 1112406
5f79809ea692be01b666c74a br -17 18 1 238 7341 1119749
5f79809ea692be01b666c74a br -23 -50 1 222 5965 1125715
5f79809ea692be01b666c74a br -22 2 1 263 5839 1131556
5f79809ea692be01b666c74a br -18 48 1 267 7439 1138997
5f79809ea692be01b666c74a br -22 -22 1 251 2032 1141031
5f79809ea692be01b666c74a br -19 42 1 220 null 1149034
5f79809ea692be01b666c74a br -25 -44 1 266 5875 1154912
5f79809ea692be01b666c74a br -28 -33 1 251 5350 1160266
5f79809ea692be01b666c74a br -23 28 1 300 5657 1165925
604227d56f34b50536d0df92 br 23 47 2 205 4628 108855
604227d56f34b50536d0df92 br 24 28 2 259 5152 114021
604227d56f34b50536d0df92 br 27 -49 2 300 6363 120390
604227d56f34b50536d0df92 br 29 -33 2 271 5862 126266
604227d56f34b50536d0df92 br 27 -25 2 262 5997 132280
604227d56f34b50536d0df92 br 26 30 2 267 2786 135073
604227d56f34b50536d0df92 br 23 25 2 247 3166 138252
604227d56f34b50536d0df92 br 28 10 2 285 4864 143132
604227d56f34b50536d0df92 br 24 38 2 251 5179 148319
604227d56f34b50536d0df92 br 29 10 2 278 6467 154798
604227d56f34b50536d0df92 br 27 15 2 253 6175 160982
604227d56f34b50536d0df92 br 24 -37 2 272 7439 168436
604227d56f34b50536d0df92 br 24 46 2 283 4967 173416
604227d56f34b50536d0df92 br 23 -26 2 216 4965 178392
604227d56f34b50536d0df92 br 25 -46 2 222 7349 185748
604227d56f34b50536d0df92 zol 0.82 -0.32 1 NA null 272913
604227d56f34b50536d0df92 zol -0.47 0.47 1 NA 68 273001
604227d56f34b50536d0df92 zol 0.99 0.71 1 NA 3300 276314
604227d56f34b50536d0df92 zol 1.28 0.42 1 NA 3721 280050
604227d56f34b50536d0df92 zol 1.89 -0.49 1 NA 4795 284883
604227d56f34b50536d0df92 zol 1.19 0.11 1 NA 3886 288795
604227d56f34b50536d0df92 zol 0.9 0.7 1 NA 3758 292570
604227d56f34b50536d0df92 zol 1.27 0.33 1 NA 3333 295928
604227d56f34b50536d0df92 zol 1.07 -0.47 1 NA 2325 298269
604227d56f34b50536d0df92 zol 1.32 -0.12 1 NA 3478 301764
604227d56f34b50536d0df92 zol 1.7 -0.6 1 NA 3096 304885
604227d56f34b50536d0df92 zol 1.09 0.11 1 NA 2786 307688
604227d56f34b50536d0df92 zol 1.23 0.57 1 NA 3892 311604
604227d56f34b50536d0df92 zol 1.64 0.46 1 NA 5655 317274
604227d56f34b50536d0df92 zol 1.37 0.03 1 NA 5737 323030
604227d56f34b50536d0df92 eb 28 49 2 25 4596 367679
604227d56f34b50536d0df92 eb 51 34 2 46 6250 373952
604227d56f34b50536d0df92 eb 48 51 2 42 3032 377003
604227d56f34b50536d0df92 eb 56 34 2 51 5571 382593
604227d56f34b50536d0df92 eb 38 51 2 32 5674 388284
604227d56f34b50536d0df92 eb 42 33 2 37 4029 392329
604227d56f34b50536d0df92 eb 51 52 2 46 5231 397578
604227d56f34b50536d0df92 eb 56 53 2 51 4773 402373
604227d56f34b50536d0df92 eb 52 45 2 47 7111 409491
604227d56f34b50536d0df92 eb 47 31 2 41 6756 416261
604227d56f34b50536d0df92 eb 53 45 2 48 7147 423428
604227d56f34b50536d0df92 eb 43 44 2 37 4833 428276
604227d56f34b50536d0df92 eb 48 50 2 42 3631 431924
604227d56f34b50536d0df92 eb 51 32 2 47 null 439937
604227d56f34b50536d0df92 eb 48 48 2 42 158 440102
604227d56f34b50536d0df92 pz 24 60 1 20 5867 487852
604227d56f34b50536d0df92 pz 46 42 1 40 3945 491807
604227d56f34b50536d0df92 pz 30 46 1 25 3946 495772
604227d56f34b50536d0df92 pz 39 32 1 34 4156 499942
604227d56f34b50536d0df92 pz 30 31 1 25 4943 504894
604227d56f34b50536d0df92 pz 60 39 1 49 6886 511787
604227d56f34b50536d0df92 pz 55 38 1 42 5736 517538
604227d56f34b50536d0df92 pz 56 44 1 47 5558 523110
604227d56f34b50536d0df92 pz 29 24 1 25 4204 527321
604227d56f34b50536d0df92 pz 34 52 1 30 null 535329
604227d56f34b50536d0df92 pz 47 34 1 40 6121 541466
604227d56f34b50536d0df92 pz 50 58 1 43 4090 545576
604227d56f34b50536d0df92 pz 62 52 1 53 4335 549926
604227d56f34b50536d0df92 pz 53 42 1 42 4160 554149
604227d56f34b50536d0df92 pz 49 32 1 40 4653 558815
604227d56f34b50536d0df92 pog 177 131 1 158 4641 596095
604227d56f34b50536d0df92 pog 204 170 1 179 3960 600068
604227d56f34b50536d0df92 pog 142 142 1 125 1149 601233
604227d56f34b50536d0df92 pog 181 201 1 151 4146 605383
604227d56f34b50536d0df92 pog 176 176 1 155 957 606347
604227d56f34b50536d0df92 pog 200 132 1 175 7584 613940
604227d56f34b50536d0df92 pog 194 144 1 172 5498 619450
604227d56f34b50536d0df92 pog 198 176 1 172 6106 625563
604227d56f34b50536d0df92 pog 200 182 1 181 5925 631494
604227d56f34b50536d0df92 pog 185 117 1 174 7179 638679
604227d56f34b50536d0df92 pog 135 205 1 125 6108 644796
604227d56f34b50536d0df92 pog 188 144 1 177 4297 649104
604227d56f34b50536d0df92 pog 163 187 1 152 6244 655359
604227d56f34b50536d0df92 pog 170 142 1 149 6177 661541
604227d56f34b50536d0df92 pog 183 119 1 168 7725 669280
604227d56f34b50536d0df92 pz 49 60 2 54 5663 684527
604227d56f34b50536d0df92 pz 24 43 2 29 4388 688922
604227d56f34b50536d0df92 pz 31 24 2 36 3378 692312
604227d56f34b50536d0df92 pz 23 44 2 26 4697 697022
604227d56f34b50536d0df92 pz 21 43 2 25 4715 701744
604227d56f34b50536d0df92 pz 16 41 2 20 5581 707340
604227d56f34b50536d0df92 pz 49 39 2 58 4934 712283
604227d56f34b50536d0df92 pz 47 26 2 56 4542 716839
604227d56f34b50536d0df92 pz 31 41 2 37 5333 722181
604227d56f34b50536d0df92 pz 34 30 2 38 2668 724861
604227d56f34b50536d0df92 pz 31 41 2 38 3928 728799
604227d56f34b50536d0df92 pz 31 43 2 36 3713 732524
604227d56f34b50536d0df92 pz 32 32 2 39 2276 734806
604227d56f34b50536d0df92 pz 19 35 2 23 5857 740670
604227d56f34b50536d0df92 pz 34 37 2 41 5045 745721
604227d56f34b50536d0df92 br -18 -10 1 268 4935 764683
604227d56f34b50536d0df92 br -13 35 1 218 5990 770681
604227d56f34b50536d0df92 br -18 3 1 224 5419 776108
604227d56f34b50536d0df92 br -15 -28 1 283 5066 781188
604227d56f34b50536d0df92 br -17 17 1 250 5581 786779
604227d56f34b50536d0df92 br -16 43 1 291 7470 794256
604227d56f34b50536d0df92 br -11 -16 1 268 5953 800223
604227d56f34b50536d0df92 br -18 15 1 235 7329 807562
604227d56f34b50536d0df92 br -11 -28 1 285 5536 813113
604227d56f34b50536d0df92 br -15 30 1 240 5943 819062
604227d56f34b50536d0df92 br -14 -23 1 243 4111 823186
604227d56f34b50536d0df92 br -16 47 1 245 7665 830865
604227d56f34b50536d0df92 br -12 -27 1 295 4231 835108
604227d56f34b50536d0df92 br -12 -24 1 241 3491 838607
604227d56f34b50536d0df92 br -8 -10 1 224 3008 841625
604227d56f34b50536d0df92 zol -0.9 0.7 2 NA 4329 856163
604227d56f34b50536d0df92 zol -1.59 0.39 2 NA 3216 859395
604227d56f34b50536d0df92 zol -1.73 0.03 2 NA 3153 862563
604227d56f34b50536d0df92 zol -2.64 0.64 2 NA 3637 866218
604227d56f34b50536d0df92 zol -2.04 -0.66 2 NA 4168 870405
604227d56f34b50536d0df92 zol -2.49 -0.51 2 NA 3951 874376
604227d56f34b50536d0df92 zol -2.52 0.42 2 NA 6528 880924
604227d56f34b50536d0df92 zol -1.51 -0.49 2 NA 4364 885306
604227d56f34b50536d0df92 zol -1.37 0.47 2 NA 4017 889339
604227d56f34b50536d0df92 zol -2.01 -0.09 2 NA 4187 893542
604227d56f34b50536d0df92 zol -2 -0.4 2 NA 2739 896298
604227d56f34b50536d0df92 zol -1.6 -0.6 2 NA 2730 899044
604227d56f34b50536d0df92 zol -2 -0.1 2 NA 2591 901654
604227d56f34b50536d0df92 zol -1.11 -0.69 2 NA 4187 905855
604227d56f34b50536d0df92 zol -1.49 0.59 2 NA 6735 912607
604227d56f34b50536d0df92 pog 284 372 2 304 4272 927615
604227d56f34b50536d0df92 pog 326 330 2 345 1796 929418
604227d56f34b50536d0df92 pog 321 351 2 332 3254 932677
604227d56f34b50536d0df92 pog 327 353 2 334 2465 935156
604227d56f34b50536d0df92 pog 280 280 2 306 1157 936324
604227d56f34b50536d0df92 pog 305 391 2 319 6585 942923
604227d56f34b50536d0df92 pog 352 368 2 370 3046 945982
604227d56f34b50536d0df92 pog 366 388 2 373 3131 949132
604227d56f34b50536d0df92 pog 334 340 2 341 1757 950895
604227d56f34b50536d0df92 pog 337 313 2 346 5115 956016
604227d56f34b50536d0df92 pog 336 336 2 349 1163 957184
604227d56f34b50536d0df92 pog 355 291 2 363 5667 962863
604227d56f34b50536d0df92 pog 295 309 2 304 2554 965426
604227d56f34b50536d0df92 pog 358 346 2 369 4306 969741
604227d56f34b50536d0df92 pog 321 353 2 326 5024 974778
604227d56f34b50536d0df92 eb 40 28 1 33 3913 986787
604227d56f34b50536d0df92 eb 54 54 1 48 1921 988727
604227d56f34b50536d0df92 eb 46 46 1 35 1232 989967
604227d56f34b50536d0df92 eb 41 32 1 34 4111 994106
604227d56f34b50536d0df92 eb 28 26 1 24 4853 998977
604227d56f34b50536d0df92 eb 28 45 1 25 4623 1003609
604227d56f34b50536d0df92 eb 39 48 1 32 5047 1008664
604227d56f34b50536d0df92 eb 55 42 1 48 6515 1015194
604227d56f34b50536d0df92 eb 31 28 1 27 7498 1022711
604227d56f34b50536d0df92 eb 46 52 1 41 5986 1028717
604227d56f34b50536d0df92 eb 29 38 1 26 5944 1034678
604227d56f34b50536d0df92 eb 53 35 1 47 6947 1041643
604227d56f34b50536d0df92 eb 57 29 1 49 6584 1048245
604227d56f34b50536d0df92 eb 59 54 1 51 4443 1052708
604227d56f34b50536d0df92 eb 60 34 1 53 5805 1058528
60d5353d0248aca07f34435e pz 19 33 2 21 5535 117433
60d5353d0248aca07f34435e pz 22 50 2 25 6832 124266
60d5353d0248aca07f34435e pz 47 50 2 56 4735 129003
60d5353d0248aca07f34435e pz 31 53 2 38 6632 135637
60d5353d0248aca07f34435e pz 21 20 2 27 2751 138389
60d5353d0248aca07f34435e pz 43 23 2 57 null 146391
60d5353d0248aca07f34435e pz 32 32 2 46 70 146462
60d5353d0248aca07f34435e pz 20 26 2 25 3047 149510
