"success","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","response_type","key_press","avg_frame_time","center_x","center_y","task","resp","start","version","jitterX","jitterY","parA"
"","psychophysics","27","222481","0.0-27.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","null","","null","key","null","16.635416666666668","500","250","eb","62","25","2","0","0","54"
"","psychophysics","28","222519","0.0-28.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","13",""," ","key"," ","14","500","250","eb","41","41","2","0","0","54"
"","psychophysics","29","225377","0.0-29.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","2853",""," ","key"," ","16.625730994152047","500","250","eb","43","40","2","0","0","40"
"","psychophysics","30","230402","0.0-30.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","5010",""," ","key"," ","16.605960264900663","500","250","eb","29","40","2","0","0","25"
"","psychophysics","31","237445","0.0-31.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","7031",""," ","key"," ","16.644549763033176","500","250","eb","52","40","2","0","0","44"
"","psychophysics","32","244832","0.0-32.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","7359",""," ","key"," ","16.623024830699773","500","250","eb","55","29","2","0","0","51"
"","psychophysics","33","250793","0.0-33.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","5942",""," ","key"," ","16.60335195530726","500","250","eb","39","48","2","0","0","34"
"","psychophysics","34","257469","0.0-34.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","6662",""," ","key"," ","16.625935162094763","500","250","eb","47","32","2","0","0","40"
"","psychophysics","35","262237","0.0-35.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","4754",""," ","key"," ","16.632867132867133","500","250","eb","46","39","2","0","0","38"
"","psychophysics","36","266805","0.0-36.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","4554",""," ","key"," ","16.616788321167885","500","250","eb","59","40","2","0","0","52"
"","psychophysics","37","270677","0.0-37.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","3861",""," ","key"," ","16.61637931034483","500","250","eb","61","44","2","0","0","54"
"","psychophysics","38","272697","0.0-38.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","2010",""," ","key"," ","16.52892561983471","500","250","inst","","","","","",""
"","psychophysics","39","278816","0.0-39.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","6114",""," ","key"," ","16.605978260869566","500","250","instZol0","0","0","","0","0",""
"","psychophysics","40","287086","0.0-40.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","8261",""," ","key"," ","16.659274193548388","500","250","instZol1","0.10000000000000003","-1.3","","0","0",""
"","psychophysics","41","294265","0.0-41.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","7172",""," ","key"," ","16.641860465116277","500","250","instZol2","-8.199999999999987","2","1","0","0",""
"","psychophysics","42","297327","0.0-42.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","3058",""," ","key"," ","16.554347826086957","500","250","inst","","","","","",""
"","psychophysics","43","305334","0.0-43.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","null","","null","key","null","16.632016632016633","500","250","zol","1.5800000000000007","-0.08","1","30","30",""
"","psychophysics","44","306782","0.0-44.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","1439",""," ","key"," ","16.67058823529412","500","250","zol","0.62","-0.42","1","4","5",""
"","psychophysics","45","309325","0.0-45.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","2530",""," ","key"," ","16.516339869281047","500","250","zol","-0.23999999999999996","0.44","1","14","-24",""
"","psychophysics","46","310248","0.0-46.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","911",""," ","key"," ","16.4","500","250","zol","0.62","-0.62","1","11","19",""
"","psychophysics","47","310748","0.0-47.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","491",""," ","key"," ","15.966666666666667","500","250","zol","0.24","-0.24","1","7","15",""
"","psychophysics","48","311507","0.0-48.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","748",""," ","key"," ","16.17391304347826","500","250","zol","0.19","-0.19","1","-28","6",""
"","psychophysics","49","312039","0.0-49.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","522",""," ","key"," ","16.25","500","250","zol","-0.48","0.48","1","21","30",""
"","psychophysics","50","312251","0.0-50.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","203",""," ","key"," ","15.76923076923077","500","250","zol","-0.51","0.51","1","-9","-24",""
"","psychophysics","51","312468","0.0-51.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","211",""," ","key"," ","16.076923076923077","500","250","zol","0.08","-0.08","1","-16","20",""
"","psychophysics","52","312638","0.0-52.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","163",""," ","key"," ","15.8","500","250","zol","-0.37","0.37","1","28","-17",""
"","psychophysics","53","312821","0.0-53.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","174",""," ","key"," ","15.636363636363637","500","250","zol","0.57","-0.57","1","-15","0",""
"","psychophysics","54","315820","0.0-54.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","2986",""," ","key"," ","16.6","500","250","zol","-2.550000000000001","-0.05","1","7","-20",""
"","psychophysics","55","321553","0.0-55.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","5723",""," ","key"," ","16.642441860465116","500","250","zol","-11.109999999999978","-0.19","1","4","-26",""
"","psychophysics","56","329558","0.0-56.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","null","","null","key","null","16.647916666666667","500","250","zol","4.130000000000002","-0.03","1","23","-7",""
"","psychophysics","57","337564","0.0-57.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","null","","null","key","null","16.668058455114824","500","250","zol","-3.630000000000002","-0.47","1","-15","15",""
"","psychophysics","58","339511","0.0-58.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","1934",""," ","key"," ","16.629310344827587","500","250","inst","","","","","",""
"","psychophysics","59","352717","0.0-59.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","13202",""," ","key"," ","16.64564943253468","500","250","instPog0","340","370","2","0","0","340"
"","psychophysics","60","364568","0.0-60.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","11836",""," ","key"," ","16.661040787623065","500","250","instPog1","332","370","2","0","0","340"
"","psychophysics","61","369848","0.0-61.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","5276",""," ","key"," ","16.645569620253166","500","250","instPog2","310","340","2","0","0","340"
"","psychophysics","62","372377","0.0-62.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","2524",""," ","key"," ","16.532894736842106","500","250","inst","","","","","",""
"","psychophysics","63","377558","0.0-63.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","5176",""," ","key"," ","16.617363344051448","500","250","pog","290","352","2","0","0","315"
"","psychophysics","64","382033","0.0-64.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","4461",""," ","key"," ","16.62313432835821","500","250","pog","279","319","2","0","0","300"
"","psychophysics","65","387690","0.0-65.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","5629",""," ","key"," ","16.6","500","250","pog","284","322","2","0","0","305"
"","psychophysics","66","392291","0.0-66.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","4582",""," ","key"," ","16.6231884057971","500","250","pog","362","396","2","0","0","377"
"","psychophysics","67","397842","0.0-67.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","5531",""," ","key"," ","16.62762762762763","500","250","pog","327","381","2","0","0","355"
"","psychophysics","68","401907","0.0-68.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","4052",""," ","key"," ","16.610655737704917","500","250","pog","333","385","2","0","0","372"
"","psychophysics","69","409717","0.0-69.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","7789",""," ","key"," ","16.63888888888889","500","250","pog","320","398","2","0","0","337"
"","psychophysics","70","413135","0.0-70.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","3404",""," ","key"," ","16.567961165048544","500","250","pog","298","292","2","0","0","335"
"","psychophysics","71","417435","0.0-71.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","4290",""," ","key"," ","16.643410852713178","500","250","pog","338","388","2","0","0","369"
"","psychophysics","72","421576","0.0-72.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","4134",""," ","key"," ","16.633064516129032","500","250","pog","279","359","2","0","0","314"
"","psychophysics","73","423606","0.0-73.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","2018",""," ","key"," ","16.557377049180328","500","250","pog","322","332","2","0","0","356"
"","psychophysics","74","425457","0.0-74.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","1837",""," ","key"," ","16.56756756756757","500","250","pog","299","299","2","0","0","342"
"","psychophysics","75","430287","0.0-75.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","4814",""," ","key"," ","16.610344827586207","500","250","pog","313","297","2","0","0","373"
"","psychophysics","76","435036","0.0-76.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","4728",""," ","key"," ","16.63859649122807","500","250","pog","306","388","2","0","0","345"
"","psychophysics","77","439363","0.0-77.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","4320",""," ","key"," ","16.633204633204635","500","250","pog","296","378","2","0","0","333"
"","psychophysics","78","442158","0.0-78.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","2782",""," ","key"," ","16.553571428571427","500","250","inst","","","","","",""
"","psychophysics","79","448353","0.0-79.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","6191",""," ","key"," ","16.631720430107528","500","250","instPz0","50","50","1","","","50"
"","psychophysics","80","454971","0.0-80.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","6599",""," ","key"," ","16.649874055415616","500","250","instPz1","25","25","1","","","50"
"","psychophysics","81","462862","0.0-81.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","7886",""," ","key"," ","16.646934460887948","500","250","instPz2","26","15","1","","","25"
"","psychophysics","82","475238","0.0-82.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","12371",""," ","key"," ","16.643337819650068","500","250","instPz3","111","25","1","","","50"
"","psychophysics","83","479653","0.0-83.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","4412",""," ","key"," ","16.633962264150945","500","250","instPz4","53","15","1","","","30"
"","psychophysics","84","482812","0.0-84.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","3141",""," ","key"," ","16.62962962962963","500","250","inst","","","","","",""
"","psychophysics","85","490817","0.0-85.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","null","","null","key","null","16.62993762993763","500","250","pz","100","20","1","","","46"
"","psychophysics","86","491103","0.0-86.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","277",""," ","key"," ","16.6875","500","250","pz","38","36","1","","","34"
"","psychophysics","87","494890","0.0-87.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","3780",""," ","key"," ","16.634361233480178","500","250","pz","86","33","1","","","37"
"","psychophysics","88","497417","0.0-88.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","2517",""," ","key"," ","16.596026490066226","500","250","pz","52","32","1","","","28"
"","psychophysics","89","500597","0.0-89.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","3171",""," ","key"," ","16.54973821989529","500","250","pz","82","43","1","","","35"
"","psychophysics","90","506083","0.0-90.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","5472",""," ","key"," ","16.61094224924012","500","250","pz","116","27","1","","","57"
"","psychophysics","91","508799","0.0-91.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","2703",""," ","key"," ","16.533742331288344","500","250","pz","82","59","1","","","45"
"","psychophysics","92","513153","0.0-92.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","4346",""," ","key"," ","16.591603053435115","500","250","pz","110","33","1","","","57"
"","psychophysics","93","515857","0.0-93.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","2695",""," ","key"," ","16.62962962962963","500","250","pz","69","38","1","","","26"
"","psychophysics","94","518609","0.0-94.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","2738",""," ","key"," ","16.6","500","250","pz","59","33","1","","","26"
"","psychophysics","95","523724","0.0-95.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","5101",""," ","key"," ","16.62540716612378","500","250","pz","145","45","1","","","56"
"","psychophysics","96","526133","0.0-96.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","2394",""," ","key"," ","16.59027777777778","500","250","pz","73","56","1","","","30"
"","psychophysics","97","531281","0.0-97.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","5135",""," ","key"," ","16.588996763754047","500","250","pz","150","49","1","","","55"
"","psychophysics","98","534547","0.0-98.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","3248",""," ","key"," ","16.571428571428573","500","250","pz","74","30","1","","","25"
"","psychophysics","99","536192","0.0-99.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","1634",""," ","key"," ","16.474747474747474","500","250","pz","58","57","1","","","23"
"","psychophysics","100","538282","0.0-100.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","2082",""," ","key"," ","16.576","500","250","inst","","","","","",""
"","psychophysics","101","542021","0.0-101.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","3733",""," ","key"," ","16.573333333333334","500","250","instBr0","NaN","0","","0","0","300"
"","psychophysics","102","547765","0.0-102.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","5740",""," ","key"," ","16.6453488372093","500","250","instBr1","NaN","-40","","0","0","300"
"","psychophysics","103","556973","0.0-103.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","9204",""," ","key"," ","16.632911392405063","500","250","instBr","-27","40","1","0","0","300"
"","psychophysics","104","557936","0.0-104.0","63d0272f5a38c78b4d6fa5e2","64cab2b9a779223b1c08e8c2","","","","","958",""," ","key"," ","16.46551724137931","500","250","inst","","","","","",""
