"rt","response_type","key_press","response","avg_frame_time","center_x","center_y","trial_type","trial_index","time_elapsed","internal_node_id","pid","sid","back","targ","resp"
"3597","key"," "," ","17.074817307692307","500","250","psychophysics","0","3636","0.0-0.0","10","23","","",""
"4085","key"," "," ","17.3701625","500","250","psychophysics","1","7729","0.0-1.0","10","23","","",""
"null","key","null","null","16.673999999999985","500","250","psychophysics","2","9533","0.0-2.0","10","23","","",""
"5397","key"," "," ","16.674","500","250","psychophysics","3","14932","0.0-3.0","10","23","","",""
"2415","key"," "," ","16.79213194444444","500","250","psychophysics","4","17350","0.0-4.0","10","23","","",""
"2078","key"," "," ","16.673999999999978","500","250","psychophysics","5","19443","0.0-5.0","10","23","","",""
"4299","key"," "," ","16.67399999999999","500","250","psychophysics","6","23745","0.0-6.0","10","23","0","0.2","0.5"
"2683","key"," "," ","16.67611875","500","250","psychophysics","7","26429","0.0-7.0","10","23","","",""
"15040","key"," "," ","16.67437430786268","500","250","psychophysics","8","41500","0.0-8.0","10","23","","",""
"8333","key"," "," ","16.674677354709413","500","250","psychophysics","9","49839","0.0-9.0","10","23","0","0.8","0.6500000000000001"
"11271","key"," "," ","16.699240356083088","500","250","psychophysics","10","61112","0.0-10.0","10","23","","",""
"4445","key"," "," ","16.73692075471701","500","250","psychophysics","11","65561","0.0-11.0","10","23","0","0.66","0.6800000000000002"
"5719","key"," "," ","16.67498830409354","500","250","psychophysics","12","71282","0.0-12.0","10","23","1","0.78","0.7700000000000002"
"4448","key"," "," ","16.674","500","250","psychophysics","13","75734","0.0-13.0","10","23","0","0.52","0.47"
"3544","key"," "," ","16.67559433962262","500","250","psychophysics","14","79284","0.0-14.0","10","23","1","0.42","0.43999999999999995"
"4865","key"," "," ","16.731496551724156","500","250","psychophysics","15","84152","0.0-15.0","10","23","0","0.66","0.8000000000000003"
"4005","key"," "," ","16.67541422594142","500","250","psychophysics","16","88162","0.0-16.0","10","23","1","0.56","0.6800000000000002"
"3842","key"," "," ","16.74681222707419","500","250","psychophysics","17","92011","0.0-17.0","10","23","0","0.7","0.8000000000000003"
"4291","key"," "," ","16.675319066147864","500","250","psychophysics","18","96308","0.0-18.0","10","23","1","0.74","0.8000000000000003"
"3387","key"," "," ","16.674000000000007","500","250","psychophysics","19","99697","0.0-19.0","10","23","0","0.46","0.3799999999999999"
"3434","key"," "," ","17.1767336683417","500","250","psychophysics","20","103134","0.0-20.0","10","23","0","0.5","0.56"
"4857","key"," "," ","16.732460481099633","500","250","psychophysics","21","108021","0.0-21.0","10","23","0","0.78","0.8000000000000003"
"3519","key"," "," ","16.674000000000035","500","250","psychophysics","22","111545","0.0-22.0","10","23","0","0.66","0.7100000000000002"
"3845","key"," "," ","16.894361233480193","500","250","psychophysics","23","115395","0.0-23.0","10","23","1","0.8","0.8300000000000003"
"3758","key"," "," ","16.900846846846836","500","250","psychophysics","24","119164","0.0-24.0","10","23","0","0.76","0.8000000000000003"
"7676","key"," "," ","16.674738562091505","500","250","psychophysics","25","126843","0.0-25.0","10","23","1","0.32","0.2599999999999998"
"4287","key"," "," ","16.67400000000004","500","250","psychophysics","26","131133","0.0-26.0","10","23","1","0.74","0.8300000000000003"
"3640","key"," "," ","16.82627397260273","500","250","psychophysics","27","134816","0.0-27.0","10","23","0","0.46","0.4099999999999999"
"3930","key"," "," ","16.675434042553125","500","250","psychophysics","28","138750","0.0-28.0","10","23","0","0.56","0.56"
"7423","key"," "," ","16.67400000000005","500","250","psychophysics","29","146177","0.0-29.0","10","23","1","0.32","0.31999999999999984"
"11010","key"," "," ","16.700369300911845","500","250","psychophysics","30","157191","0.0-30.0","10","23","1","0.24","0"
"3312","key"," "," ","16.67399999999995","500","250","psychophysics","31","160511","0.0-31.0","10","23","1","0.54","0.5900000000000001"
"3155","key"," "," ","16.673999999999992","500","250","psychophysics","32","163674","0.0-32.0","10","23","0","0.3","0.34999999999999987"
"4272","key"," "," ","16.67532549019613","500","250","psychophysics","33","167948","0.0-33.0","10","23","0","0.34","0.56"
"3120","key"," "," ","16.763645161290324","500","250","psychophysics","34","171074","0.0-34.0","10","23","0","0.52","0.6500000000000001"
"3151","key"," "," ","16.853290322580644","500","250","psychophysics","35","174228","0.0-35.0","10","23","0","0.54","0.6500000000000001"
"4138","key"," "," ","16.675368421052596","500","250","psychophysics","36","178369","0.0-36.0","10","23","1","0.24","0.1399999999999998"
"3217","key"," "," ","16.673999999999978","500","250","psychophysics","37","181588","0.0-37.0","10","23","0","0.62","0.7100000000000002"
"3563","key"," "," ","16.75265094339625","500","250","psychophysics","38","185156","0.0-38.0","10","23","1","0.42","0.3799999999999999"
"3059","key"," "," ","16.675852459016454","500","250","psychophysics","39","188218","0.0-39.0","10","23","1","0.44","0.5"
"3919","key"," "," ","16.745562231759596","500","250","psychophysics","40","192140","0.0-40.0","10","23","1","0.5","0.5900000000000001"
