pid sid task resp start version parA rt time_elapsed block
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol -1.82 -0.68 2 NA 5766 595049 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 35 44 2 42 6379 647153 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 20 24 2 25 7076 654233 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 20 34 2 24 4900 659138 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 22 36 2 25 3956 663098 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 24 54 2 29 5427 668531 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 22 23 2 30 2595 671130 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 33 46 2 41 5556 676690 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 33 31 2 46 5721 682417 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 21 59 2 30 null 690423 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 32 32 2 36 178 690610 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 39 34 2 56 5001 695618 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 14 26 2 20 4249 699873 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 33 21 2 41 5144 705026 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 21 47 2 22 6089 711121 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 pz 37 45 2 52 5268 716393 0
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 32 43 2 27 6016 754233 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 43 34 2 36 5667 759905 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 53 38 2 48 6688 766601 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 47 54 2 36 3292 769898 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 59 30 2 49 6785 776689 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 45 43 2 35 4465 781162 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 31 29 2 24 2729 783898 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 49 31 2 42 6738 790641 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 48 35 2 41 5904 796554 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 29 53 2 25 6125 802689 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 29 43 2 25 5303 808002 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 61 40 2 54 6667 814673 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 57 39 2 53 6128 820809 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 36 43 2 32 5176 825994 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 eb 49 48 2 45 3944 829946 NA
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol 0.83 0.67 1 NA 6492 860002 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol 1.41 0.69 1 NA 7218 867234 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol 0.72 0.68 1 NA 7233 874474 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol 1.14 -0.64 1 NA 4480 878963 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol 1.16 0.54 1 NA 4561 883530 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol -0.75 0.45 1 NA 3162 886698 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol 1.85 -0.35 1 NA null 894707 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol -0.45 0.45 1 NA 246 894962 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol 1.6 0.2 1 NA null 902969 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol -0.51 0.51 1 NA 266 903241 1
55a2fa33fdf99b073cd94947 64e50b81e019272f8535c9c0 zol -0.47 -0.33 1 NA null 911249 1
