97,37,28,34,100
99,33,33,34,100
100,33,33,33,101
101,33,33,32,100
100,33,33,33,101
99,33,34,33,100
101,33,33,33,100
100,33,33,33,100
100,33,33,34,99
101,33,33,34,99
99,34,34,33,99
100,33,33,33,100
100,34,34,32,100
100,34,33,33,100
99,33,34,33,99
100,34,33,34,100
100,33,33,33,100
99,33,34,32,100
101,32,33,33,100
99,34,33,34,99
100,33,32,33,100
100,33,33,33,100
99,33,33,34,101
99,34,32,33,101
99,33,33,33,100
101,33,34,33,100
99,34,32,35,99
100,33,33,33,101
100,33,33,34,99
99,34,33,34,101
99,33,34,33,99
99,33,33,34,100
100,34,33,33,100
101,33,33,33,100
99,34,33,34,100
100,33,33,34,100
100,33,33,33,100
99,34,33,33,100
101,33,33,33,100
101,32,33,33,100
100,33,33,33,100
100,34,34,32,100
100,33,33,33,101
99,34,32,33,100
99,34,33,33,100
101,33,34,32,100
101,34,33,33,101
99,34,32,33,100
99,33,33,33,100
100,33,33,33,100
101,33,33,34,99
99,34,33,33,101
98,33,33,33,100
101,32,34,33,100
100,34,33,34,100
101,34,33,33,100
99,33,33,33,100
100,34,33,34,99
99,33,33,34,100
99,33,33,33,100
99,33,33,33,100
100,33,34,33,100
100,33,33,33,101
99,34,33,33,100
100,33,33,33,99
99,34,33,33,100
100,33,33,33,100
99,33,34,33,101
100,33,34,33,100
99,33,33,33,99
99,33,33,33,101
100,33,33,33,101
100,33,35,32,100
100,33,37,30,100
99,33,33,33,100
99,34,33,33,100
100,33,33,33,100
100,33,33,33,101
101,33,33,34,100
100,33,33,33,100
100,33,33,33,101
100,33,33,33,100
100,33,33,33,100
99,33,33,34,100
100,33,33,33,100
100,34,33,34,99
100,33,34,33,99
99,33,35,32,101
99,34,33,33,101
100,33,33,34,100
99,33,33,34,99
99,33,33,34,100
100,33,33,33,100
100,33,33,33,100
100,33,33,33,100
100,33,33,33,100
100,33,33,33,101
100,33,33,34,100
99,33,33,33,100
100,34,33,34,100
