104,31,34,32,101
100,33,33,33,100
99,35,33,33,99
99,32,34,33,101
100,33,33,34,100
99,33,33,34,100
100,33,33,33,101
103,31,35,32,99
102,31,33,34,100
100,33,34,32,101
102,31,33,34,100
102,31,32,34,99
102,31,33,34,102
99,34,33,33,103
102,32,33,33,101
100,33,33,33,101
99,33,33,33,100
100,33,33,34,102
101,33,33,33,102
101,32,33,34,102
100,33,33,34,100
100,33,35,32,99
101,32,33,33,100
101,33,32,32,101
99,34,33,34,100
100,33,33,33,100
100,33,33,34,100
100,32,32,34,101
101,33,33,34,102
103,31,33,33,100
100,33,33,34,100
99,32,46,39,99
99,35,32,34,99
102,31,34,32,100
100,33,34,33,102
100,33,34,33,99
100,33,33,33,103
102,31,33,33,103
100,33,33,34,100
99,34,33,33,101
102,31,34,33,100
98,34,33,33,100
102,31,33,33,101
103,30,33,34,99
100,33,33,33,100
100,33,34,33,101
100,32,34,33,101
102,32,33,32,100
102,31,33,33,103
100,33,33,34,100
101,33,33,33,101
100,33,33,34,102
101,33,33,33,102
101,34,32,32,101
102,31,33,33,100
100,33,33,33,103
99,35,32,33,101
100,33,33,34,99
102,30,33,33,100
100,33,33,33,100
100,33,33,34,100
100,32,34,33,100
100,33,34,33,100
103,30,33,33,100
100,33,32,34,100
100,32,34,32,99
101,32,33,33,100
100,33,33,33,100
99,34,33,33,100
101,33,34,32,101
101,33,33,33,99
101,33,34,32,100
99,34,34,33,100
98,33,35,32,100
100,34,32,34,100
99,33,35,32,100
101,33,623,27,102
102,31,33,34,99
100,32,33,33,101
101,33,32,34,101
100,33,34,32,101
100,33,33,33,100
100,33,33,33,179
99,33,33,33,100
101,33,34,33,100
100,33,33,33,101
100,33,33,34,102
99,33,34,33,102
103,31,33,33,101
102,31,33,32,98
102,33,32,32,100
102,33,32,34,99
100,32,35,32,102
101,32,33,33,100
98,33,34,32,103
99,32,33,33,101
101,33,33,33,100
99,34,34,33,99
100,33,33,33,100
101,33,33,33,101
